test/episode,train/success_rate,train/critic_loss,stats_o/mean,test/ag_g_dist,epoch,test/mean_Q,stats_g/mean,stats_g/std,stats_o/std,train/episode,test/success_rate
20.0,0.2416666666666667,0.08800169,0.26244897,0.088688634,0,-0.34575543,0.87414485,0.098448314,0.031568415,20.0,0.6916666666666668
40.0,0.5750000000000001,0.05661883,0.26324406,0.058462124,1,-0.30075333,0.8768449,0.090569906,0.029445698,40.0,0.9833333333333334
60.0,0.7333333333333334,0.037758093,0.26312605,0.042044383,2,-0.23217781,0.8765138,0.08859507,0.029046888,60.0,1.0
80.0,0.7833333333333332,0.028243884,0.26345924,0.041470625,3,-0.18842928,0.87831926,0.08788037,0.029095476,80.0,1.0
100.0,0.7833333333333333,0.023450935,0.26321086,0.044403363,4,-0.16120213,0.8773853,0.08689008,0.029119605,100.0,1.0
120.0,0.7833333333333333,0.020021247,0.26277262,0.045017432,5,-0.09537689,0.87569636,0.08662454,0.029269189,120.0,1.0
140.0,0.8083333333333332,0.013878893,0.26253897,0.045865525,6,-0.11354985,0.8748217,0.08605819,0.029372195,140.0,1.0
160.0,0.7583333333333333,0.011665101,0.26254252,0.047310963,7,-0.045253884,0.8748906,0.0856148,0.029431617,160.0,1.0
180.0,0.7416666666666666,0.0092661455,0.26246423,0.04812796,8,-0.0840044,0.87458986,0.08559731,0.02958276,180.0,1.0
200.0,0.7333333333333334,0.0077966186,0.26251838,0.04864149,9,-0.049490053,0.8747048,0.08545324,0.029664963,200.0,1.0
220.0,0.75,0.0063627656,0.26237053,0.047361422,10,-0.025089582,0.8742266,0.08534966,0.029737597,220.0,1.0
240.0,0.7666666666666666,0.0051151547,0.26222318,0.049260926,11,-0.053067863,0.87371737,0.08518735,0.029766003,240.0,1.0
260.0,0.6833333333333332,0.0044601806,0.26226327,0.0491922,12,-0.044907693,0.8738231,0.08495563,0.02978614,260.0,1.0
280.0,0.6833333333333332,0.005038189,0.26246017,0.05033548,13,-0.03443415,0.87459964,0.08494613,0.029848754,280.0,1.0
300.0,0.6999999999999998,0.0044349506,0.2624253,0.048490394,14,-0.035282303,0.8744878,0.08464539,0.029811502,300.0,1.0
320.0,0.75,0.003978118,0.2624845,0.049778532,15,-0.019084832,0.87471634,0.08466691,0.02985547,320.0,1.0
340.0,0.7000000000000001,0.004261214,0.2624442,0.049476188,16,-0.038933214,0.8745956,0.08472843,0.029892966,340.0,1.0
360.0,0.6583333333333333,0.0039525987,0.26245174,0.04969344,17,-0.038087383,0.8746415,0.08469445,0.02992942,360.0,1.0
380.0,0.7166666666666667,0.0045886603,0.2623762,0.04990822,18,-0.02726197,0.8743262,0.08466802,0.029963518,380.0,1.0
400.0,0.725,0.0040727067,0.2624482,0.050649915,19,-0.055787068,0.87459856,0.08486342,0.030040061,400.0,1.0
420.0,0.7333333333333333,0.005102232,0.26255408,0.050047368,20,-0.04837234,0.8749518,0.084969275,0.030093824,420.0,1.0
440.0,0.7083333333333334,0.0037895038,0.26251367,0.050348084,21,-0.03421034,0.87483233,0.08493757,0.030110797,440.0,1.0
460.0,0.6999999999999998,0.0032744186,0.26254043,0.049754214,22,-0.03975713,0.87494177,0.084835194,0.030096794,460.0,1.0
