test/mean_Q,test/ag_g_dist,epoch,stats_g/std,train/episode,train/success_rate,stats_g/mean,stats_o/mean,test/success_rate,train/critic_loss,stats_o/std,test/episode
-2.4611552,0.47583237,0,0.12060843,100.0,0.0016666666666666668,0.74175125,0.17696135,0.0,0.004500833,0.056611765,20.0
-4.497923,0.44084987,1,0.12853734,200.0,0.005,0.7429523,0.17675965,0.0,0.0040195337,0.06022863,40.0
-6.4127984,0.41289258,2,0.13352482,300.0,0.0033333333333333335,0.74543506,0.17759539,0.0,0.004830217,0.06053849,60.0
-8.215072,0.45996186,3,0.14248526,400.0,0.0033333333333333335,0.74823874,0.17818844,0.008333333333333333,0.00649862,0.063790046,80.0
-9.854203,0.43573284,4,0.148899,500.0,0.018333333333333337,0.7514215,0.17909838,0.025000000000000005,0.009516844,0.0680372,100.0
-11.025319,0.43426493,5,0.15475927,600.0,0.011666666666666667,0.75264674,0.17953618,0.025000000000000005,0.010778405,0.07110504,120.0
-12.478948,0.41622862,6,0.15880466,700.0,0.02,0.7549283,0.18019457,0.03333333333333333,0.011607903,0.0729376,140.0
-11.985694,0.34829772,7,0.16224952,800.0,0.021666666666666667,0.75723535,0.18046455,0.08333333333333333,0.02273131,0.07593338,160.0
-13.091384,0.38392353,8,0.16531183,900.0,0.043333333333333335,0.75961703,0.18090753,0.125,0.018561611,0.077588886,180.0
-13.200072,0.3292472,9,0.16982621,1000.0,0.051666666666666666,0.76269346,0.18156354,0.10833333333333334,0.052067596,0.08002408,200.0
-12.240088,0.2961768,10,0.17348795,1100.0,0.053333333333333344,0.76679325,0.18214206,0.18333333333333335,0.03992403,0.082234316,220.0
-13.926795,0.28627256,11,0.17477848,1200.0,0.09333333333333334,0.77084345,0.18288277,0.09166666666666667,0.039174415,0.083628744,240.0
-14.061534,0.28546306,12,0.175574,1300.0,0.08666666666666667,0.7742796,0.18355411,0.21666666666666667,0.05315265,0.084340274,260.0
-13.221341,0.30436733,13,0.17582701,1400.0,0.10000000000000002,0.77647763,0.18392257,0.2333333333333333,0.048104208,0.084763326,280.0
-12.701633,0.26284152,14,0.17655583,1500.0,0.10666666666666667,0.7782753,0.18415958,0.2833333333333334,0.0667788,0.085707515,300.0
-12.0392275,0.24408478,15,0.17762487,1600.0,0.12833333333333333,0.7805066,0.18467897,0.35000000000000003,0.092337005,0.086671956,320.0
-10.913669,0.21957801,16,0.17866178,1700.0,0.125,0.7821038,0.18508501,0.4083333333333334,0.06658114,0.087780274,340.0
-12.061101,0.25630805,17,0.17948562,1800.0,0.11333333333333333,0.7842873,0.18546814,0.39166666666666666,0.105957545,0.08884647,360.0
-12.459999,0.23968954,18,0.1807639,1900.0,0.12333333333333334,0.78565496,0.18580694,0.325,0.072745435,0.09072205,380.0
-10.912242,0.21752639,19,0.18211561,2000.0,0.13333333333333333,0.7868603,0.18604964,0.43333333333333335,0.17987375,0.09208094,400.0
-11.872822,0.21157686,20,0.18323506,2100.0,0.13166666666666668,0.7884496,0.18636768,0.3583333333333334,0.20475443,0.093573846,420.0
-12.748558,0.21642013,21,0.1838423,2200.0,0.15333333333333335,0.78968126,0.18662591,0.3,0.16256161,0.09447482,440.0
-10.25847,0.17813718,22,0.18445879,2300.0,0.17,0.7907997,0.18672985,0.4666666666666666,0.09372463,0.09536352,460.0
-11.906381,0.18963854,23,0.18473564,2400.0,0.19833333333333333,0.7920182,0.18698163,0.35000000000000003,0.14981648,0.09599454,480.0
-9.943898,0.16339304,24,0.18487449,2500.0,0.16833333333333333,0.7934761,0.18719788,0.5083333333333333,0.20066686,0.09665368,500.0
-11.224153,0.17240913,25,0.18464684,2600.0,0.17,0.7947495,0.18745057,0.43333333333333335,0.15730208,0.09721286,520.0
-10.271485,0.17075956,26,0.18413752,2700.0,0.18499999999999997,0.7958584,0.18763882,0.5,0.21207595,0.09785217,540.0
