stats_g/mean,test/mean_Q,test/success_rate,train/success_rate,train/episode,test/episode,stats_g/std,stats_o/std,test/ag_g_dist,epoch,stats_o/mean,train/critic_loss
0.7420762,-2.5761423,0.008333333333333333,0.0016666666666666668,100.0,20.0,0.120398164,0.05350214,0.47729614,0,0.17735414,0.0030246514
0.7433335,-4.5420365,0.0,0.006666666666666667,200.0,40.0,0.1260037,0.057378475,0.44476926,1,0.17688562,0.003348848
0.7451582,-6.3730774,0.0,0.005,300.0,60.0,0.12931581,0.057692762,0.4244952,2,0.17756544,0.0041700397
0.7470264,-8.5104265,0.016666666666666666,0.0033333333333333335,400.0,80.0,0.13849564,0.061612245,0.4638218,3,0.17808378,0.0057893097
0.7499562,-10.130496,0.008333333333333333,0.008333333333333333,500.0,100.0,0.14588882,0.06406085,0.4460205,4,0.17879002,0.010662291
0.75086045,-11.571465,0.008333333333333333,0.005,600.0,120.0,0.15016441,0.066473916,0.44116005,5,0.17904341,0.009786385
0.7537317,-12.33533,0.10000000000000002,0.011666666666666667,700.0,140.0,0.15870267,0.06957572,0.42025518,6,0.17974539,0.009759574
0.7545123,-12.545108,0.06666666666666667,0.02666666666666666,800.0,160.0,0.16455679,0.07183512,0.36696735,7,0.17990534,0.019926282
0.7559123,-13.315479,0.10833333333333335,0.028333333333333335,900.0,180.0,0.1708941,0.07623572,0.39969584,8,0.18006563,0.036123738
0.75807947,-14.01563,0.13333333333333333,0.06166666666666667,1000.0,200.0,0.17443605,0.07957968,0.32584813,9,0.18043463,0.05506419
0.76177484,-13.947025,0.11666666666666665,0.07166666666666667,1100.0,220.0,0.17762512,0.08189817,0.33993077,10,0.18070157,0.045814786
0.7649028,-13.8756075,0.15,0.075,1200.0,240.0,0.18002969,0.08386087,0.31725442,11,0.18095656,0.05772403
0.7680499,-13.567571,0.25,0.10000000000000002,1300.0,260.0,0.18055849,0.085186385,0.30257884,12,0.18143488,0.045386463
0.770945,-14.23577,0.19166666666666668,0.07833333333333334,1400.0,280.0,0.18076305,0.0860849,0.30460668,13,0.1817636,0.040135108
0.773413,-13.642314,0.2583333333333333,0.08,1500.0,300.0,0.18136597,0.08708865,0.29100174,14,0.18197991,0.04627945
0.7761324,-13.963178,0.27499999999999997,0.11499999999999999,1600.0,320.0,0.18241735,0.08804717,0.25616992,15,0.182427,0.052714515
0.7782746,-12.533188,0.20833333333333334,0.10666666666666667,1700.0,340.0,0.18479516,0.09029006,0.20985632,16,0.18265522,0.17773467
0.7809034,-12.889996,0.3,0.13,1800.0,360.0,0.18637629,0.09203157,0.2658173,17,0.18302731,0.15288004
0.7830806,-13.864289,0.2333333333333333,0.12833333333333333,1900.0,380.0,0.18691014,0.09343686,0.26768902,18,0.18341023,0.09729967
0.78453493,-12.982025,0.30833333333333335,0.13,2000.0,400.0,0.18738835,0.094504975,0.22491251,19,0.18361442,0.12007606
0.7863395,-13.923232,0.325,0.16,2100.0,420.0,0.18813092,0.095553964,0.23156948,20,0.18388283,0.16951258
