epoch,test/mean_Q,train/episode,train/critic_loss,test/success_rate,stats_g/std,test/episode,stats_o/mean,train/success_rate,stats_o/std,test/ag_g_dist,stats_g/mean
0,-3.048851,100.0,0.0027957081,0.0,0.121946014,20.0,0.17652279,0.0016666666666666668,0.057297412,0.47815052,0.7417914
1,-5.1186256,200.0,0.005293907,0.0,0.12089286,40.0,0.1762049,0.0016666666666666668,0.056692008,0.45125112,0.74318045
2,-6.978821,300.0,0.0062507577,0.0,0.12353778,60.0,0.17682505,0.0033333333333333335,0.05773146,0.4295299,0.7448129
3,-9.159096,400.0,0.0100289,0.0,0.12700987,80.0,0.1774844,0.005,0.058856014,0.4646752,0.7463108
4,-10.677825,500.0,0.010238391,0.016666666666666666,0.13178119,100.0,0.17821388,0.0033333333333333335,0.060182884,0.44098058,0.7479741
5,-12.422111,600.0,0.015894318,0.008333333333333333,0.13582945,120.0,0.17830943,0.008333333333333333,0.061821252,0.46649265,0.748342
6,-13.645106,700.0,0.023492148,0.008333333333333333,0.1415589,140.0,0.17901824,0.016666666666666666,0.06404673,0.43486264,0.75048995
7,-14.092784,800.0,0.034283336,0.016666666666666666,0.14589362,160.0,0.17944439,0.023333333333333334,0.06636817,0.36671615,0.7534613
8,-15.031919,900.0,0.124403335,0.06666666666666667,0.15035874,180.0,0.17993857,0.016666666666666666,0.06907775,0.4229289,0.75650454
9,-15.131016,1000.0,0.06249543,0.025000000000000005,0.15453021,200.0,0.1803695,0.03333333333333333,0.07176588,0.41433513,0.75836474
10,-16.354063,1100.0,0.16145207,0.08333333333333333,0.15831634,220.0,0.1808728,0.03,0.07390125,0.4252704,0.7598851
11,-15.562871,1200.0,0.11326352,0.08333333333333333,0.16277806,240.0,0.18129976,0.04833333333333334,0.07660444,0.37527844,0.76171714
12,-14.086768,1300.0,0.13250756,0.21666666666666667,0.16604061,260.0,0.18181182,0.07,0.07869921,0.32662532,0.7640467
13,-13.755653,1400.0,0.19745941,0.19166666666666665,0.16800626,280.0,0.18266185,0.10666666666666667,0.08015987,0.25855663,0.76769894
14,-13.956474,1500.0,0.097296976,0.14166666666666666,0.1695897,300.0,0.18347926,0.09833333333333333,0.081131265,0.23257548,0.7722052
15,-15.089265,1600.0,0.15624635,0.10833333333333334,0.17010844,320.0,0.18436317,0.10166666666666667,0.081589796,0.22153501,0.77639836
16,-12.882627,1700.0,0.22143774,0.2916666666666667,0.17031616,340.0,0.18497889,0.12,0.081895545,0.22217453,0.779409
17,-13.602878,1800.0,0.18620695,0.2916666666666667,0.17006767,360.0,0.1855316,0.10999999999999999,0.08221416,0.2583743,0.7821817
18,-13.658333,1900.0,0.19413167,0.275,0.17002238,380.0,0.1860277,0.12,0.08240857,0.26184627,0.7841762
19,-15.084332,2000.0,0.2470056,0.27499999999999997,0.17035748,400.0,0.18637294,0.12333333333333334,0.08281351,0.23697193,0.7860009
20,-13.555882,2100.0,0.23127007,0.2916666666666667,0.1706817,420.0,0.18679257,0.15333333333333335,0.08324641,0.21261205,0.7879889
21,-13.2693815,2200.0,0.3059076,0.35833333333333334,0.17077821,440.0,0.18731058,0.12333333333333334,0.08360251,0.18632282,0.7899533
22,-12.549133,2300.0,0.27375388,0.375,0.1708352,460.0,0.18766832,0.16166666666666665,0.084196895,0.19434063,0.7915955
23,-13.53136,2400.0,0.346662,0.4166666666666667,0.17053092,480.0,0.18810959,0.16833333333333333,0.08439777,0.19920023,0.79331166
24,-10.994891,2500.0,0.30475798,0.5333333333333333,0.17100962,500.0,0.18860829,0.19166666666666668,0.085108854,0.16321993,0.79535824
