test/mean_Q,stats_o/mean,epoch,train/critic_loss,test/ag_g_dist,stats_o/std,stats_g/mean,test/success_rate,stats_g/std,test/episode,train/episode,train/success_rate
-3.101733,0.17662199,0,0.09186608,0.47847572,0.059614945,0.7414529,0.0,0.12425055,20.0,100.0,0.0033333333333333335
-5.134267,0.17632008,1,0.09172698,0.4491651,0.057900738,0.74192554,0.0,0.124545634,40.0,200.0,0.0016666666666666668
-7.008307,0.1769696,2,0.085002236,0.4272729,0.05853794,0.7431845,0.0,0.12542704,60.0,300.0,0.005
-9.010583,0.17741041,3,0.09295743,0.46946082,0.060219724,0.7448487,0.0,0.13173203,80.0,400.0,0.0
-10.635326,0.17814772,4,0.09419084,0.44966134,0.06264854,0.74696773,0.008333333333333333,0.13788597,100.0,500.0,0.0033333333333333335
-12.171387,0.17813309,5,0.09668237,0.48065352,0.06531763,0.7467384,0.025000000000000005,0.14344798,120.0,600.0,0.0033333333333333335
-13.476359,0.17841266,6,0.10992857,0.47642994,0.070408545,0.74766046,0.016666666666666666,0.15357392,140.0,700.0,0.0033333333333333335
-13.732148,0.17890672,7,0.10857201,0.4207174,0.07454061,0.7496961,0.0,0.16278847,160.0,800.0,0.015
-14.262877,0.17952968,8,0.15898263,0.42528763,0.079058625,0.75271577,0.05833333333333334,0.17298968,180.0,900.0,0.018333333333333333
-14.528924,0.18037121,9,0.21318454,0.40801844,0.084257744,0.7562732,0.03333333333333333,0.18352519,200.0,1000.0,0.016666666666666666
-14.689781,0.18145193,10,0.18984358,0.38900837,0.08704313,0.76193374,0.008333333333333333,0.18905227,220.0,1100.0,0.02
-14.233468,0.1825688,11,0.30678275,0.35997966,0.08904747,0.7669191,0.08333333333333333,0.19136441,240.0,1200.0,0.04833333333333334
-15.71948,0.18328251,12,0.2817067,0.3981359,0.09068131,0.7703018,0.05833333333333334,0.19325967,260.0,1300.0,0.04833333333333334
-16.358461,0.18383668,13,0.37144288,0.3951083,0.09216716,0.7728024,0.05000000000000001,0.19502163,280.0,1400.0,0.03833333333333333
-18.206448,0.18427247,14,0.60755414,0.39753363,0.094357215,0.7750425,0.025000000000000005,0.19787872,300.0,1500.0,0.02666666666666666
-17.47193,0.18470009,15,0.50926536,0.3669211,0.09580181,0.77718407,0.10000000000000002,0.20050742,320.0,1600.0,0.03666666666666667
-17.216581,0.1849945,16,0.61933637,0.31898674,0.09763211,0.7790928,0.125,0.20288964,340.0,1700.0,0.051666666666666666
-17.989283,0.18531328,17,1.2421358,0.32338655,0.09934331,0.78149563,0.10833333333333334,0.20531763,360.0,1800.0,0.03166666666666667
-15.968524,0.18577498,18,0.6993399,0.27373925,0.10175916,0.78357464,0.125,0.20783967,380.0,1900.0,0.065
-18.188421,0.1861071,19,1.2172347,0.30917662,0.103771724,0.7858548,0.11666666666666665,0.21012641,400.0,2000.0,0.07833333333333334
-16.810608,0.18644346,20,0.82651734,0.28579938,0.10552321,0.78819007,0.17500000000000002,0.21183826,420.0,2100.0,0.08333333333333333
-17.051788,0.18669732,21,0.9434781,0.26355934,0.10653242,0.7900136,0.11666666666666665,0.21276732,440.0,2200.0,0.07666666666666666
-17.366043,0.18697952,22,1.9250517,0.28639492,0.107402675,0.7916596,0.16666666666666666,0.21350724,460.0,2300.0,0.055
-16.09691,0.18732719,23,2.1331952,0.25048473,0.10785148,0.79303664,0.20833333333333334,0.21360339,480.0,2400.0,0.09000000000000001
-16.16278,0.18757862,24,1.8656725,0.22115068,0.10870389,0.7947386,0.2833333333333333,0.21425223,500.0,2500.0,0.09500000000000001
-17.187841,0.18789984,25,1.588399,0.2316782,0.10967646,0.7959983,0.16666666666666666,0.21452023,520.0,2600.0,0.09166666666666667
-15.601025,0.18813102,26,0.6695693,0.22317053,0.11054984,0.7970383,0.26666666666666666,0.21475749,540.0,2700.0,0.11666666666666668
-18.438494,0.1883809,27,1.5389,0.23584454,0.11107892,0.79841214,0.2333333333333333,0.21474756,560.0,2800.0,0.11666666666666665
-14.827939,0.1886226,28,3.0770462,0.19102508,0.11139178,0.79928726,0.3166666666666667,0.21460329,580.0,2900.0,0.11666666666666665
-16.80994,0.18885492,29,1.5700231,0.21299136,0.11153659,0.80035377,0.26666666666666666,0.21402007,600.0,3000.0,0.10833333333333334
-15.405823,0.18896835,30,3.0951948,0.20732535,0.111955136,0.8011616,0.2833333333333333,0.21366976,620.0,3100.0,0.15833333333333335
-16.406073,0.18913169,31,1.8374091,0.18798596,0.11211324,0.80220133,0.30000000000000004,0.21318847,640.0,3200.0,0.13833333333333334
-12.841583,0.1892788,32,2.3700485,0.17784552,0.11224661,0.80285996,0.425,0.21282153,660.0,3300.0,0.11166666666666665
-18.699049,0.1894762,33,1.6122862,0.2114879,0.1125513,0.8036707,0.225,0.21239598,680.0,3400.0,0.13
-15.735904,0.18960376,34,2.5228064,0.19976127,0.112849034,0.80405617,0.39166666666666666,0.21196179,700.0,3500.0,0.1516666666666667
-18.042616,0.18978393,35,2.2042978,0.21128382,0.112884015,0.8047981,0.2833333333333334,0.2112502,720.0,3600.0,0.15666666666666665
-14.813321,0.18992634,36,2.9778588,0.17905016,0.1129553,0.8054576,0.35833333333333334,0.21064113,740.0,3700.0,0.145
-15.580783,0.19002914,37,3.0802557,0.18507148,0.11319265,0.8059028,0.3666666666666667,0.210304,760.0,3800.0,0.17333333333333334
-14.455968,0.1901571,38,3.4332082,0.1836824,0.11341105,0.8065931,0.35000000000000003,0.20975386,780.0,3900.0,0.18000000000000002
-16.224497,0.19030173,39,2.9979656,0.20098011,0.113321505,0.8071454,0.27499999999999997,0.20902635,800.0,4000.0,0.15333333333333335
-13.787143,0.19043274,40,2.5612535,0.18265112,0.113290645,0.80782455,0.3416666666666666,0.2084679,820.0,4100.0,0.16666666666666666
-16.94095,0.1905217,41,5.089643,0.20962591,0.11326728,0.8080673,0.3,0.20811881,840.0,4200.0,0.135
-18.119444,0.1905698,42,3.0200398,0.19415458,0.11328313,0.8083048,0.3333333333333333,0.20765515,860.0,4300.0,0.1466666666666667
-16.063873,0.19063298,43,2.6055648,0.1745611,0.11327726,0.8086238,0.39166666666666666,0.20719056,880.0,4400.0,0.17166666666666666
