train/episode,epoch,train/critic_loss,test/mean_Q,test/episode,test/success_rate,stats_g/std,stats_o/std,stats_o/mean,train/success_rate,test/ag_g_dist,stats_g/mean
100.0,0,0.24464138,-3.0021021,20.0,0.0,0.12091354,0.05363826,0.17677574,0.0016666666666666668,0.47845408,0.7426986
200.0,1,0.2616373,-5.180556,40.0,0.0,0.122888215,0.05626468,0.176428,0.0016666666666666668,0.4488751,0.7433652
300.0,2,1.5354134,-7.2208176,60.0,0.0,0.12021494,0.054972395,0.17679155,0.0033333333333333335,0.4272578,0.74386257
400.0,3,0.18890731,-9.258513,80.0,0.016666666666666666,0.121046424,0.0548747,0.17694922,0.0033333333333333335,0.4618647,0.74404174
500.0,4,0.89040023,-11.25199,100.0,0.0,0.1223053,0.055210385,0.1772583,0.0,0.44467366,0.7446914
600.0,5,0.8594735,-13.036499,120.0,0.0,0.12296924,0.055991817,0.17721646,0.0,0.4701146,0.74429363
700.0,6,0.33106592,-14.859519,140.0,0.0,0.1250687,0.056671306,0.17729314,0.0033333333333333335,0.45815387,0.74466723
800.0,7,0.60212904,-16.263845,160.0,0.0,0.12752809,0.05750147,0.17719336,0.0016666666666666668,0.40860668,0.7445733
900.0,8,0.21007459,-17.842348,180.0,0.0,0.12890851,0.058094162,0.17723532,0.005,0.46958804,0.7448563
1000.0,9,0.46435547,-19.012882,200.0,0.0,0.13139129,0.059986874,0.1773239,0.0,0.4561653,0.7448492
1100.0,10,0.65686405,-20.452833,220.0,0.0,0.13341108,0.061813798,0.17740823,0.005,0.502559,0.74511766
1200.0,11,0.66834706,-21.598318,240.0,0.0,0.137262,0.06386815,0.17735974,0.005,0.48367915,0.7448527
1300.0,12,0.91946536,-22.219198,260.0,0.0,0.14182761,0.06599467,0.177424,0.005,0.4700428,0.7449344
1400.0,13,0.92138416,-23.495775,280.0,0.0,0.14632656,0.06892824,0.17752855,0.005,0.46053362,0.74527717
1500.0,14,0.97620267,-24.004751,300.0,0.0,0.15227129,0.07171175,0.17770404,0.0033333333333333335,0.45078528,0.74570113
1600.0,15,1.3355497,-24.664589,320.0,0.008333333333333333,0.15947671,0.0747546,0.17788202,0.006666666666666667,0.4462146,0.7464504
1700.0,16,1.0365996,-24.047167,340.0,0.0,0.16607033,0.07855188,0.1780587,0.018333333333333333,0.44440618,0.7467479
1800.0,17,1.2363096,-23.776022,360.0,0.008333333333333333,0.17054416,0.08105655,0.17835124,0.005,0.4791491,0.74785095
1900.0,18,0.938329,-24.01674,380.0,0.008333333333333333,0.17553337,0.083559744,0.17856865,0.01,0.47889757,0.74862725
2000.0,19,1.2292062,-23.160416,400.0,0.016666666666666666,0.17887068,0.08552572,0.17880918,0.02,0.43467852,0.7491867
2100.0,20,1.3127327,-23.001318,420.0,0.008333333333333333,0.18181683,0.087575816,0.1791435,0.008333333333333333,0.41306067,0.75068855
2200.0,21,1.6900495,-23.686607,440.0,0.008333333333333333,0.18513232,0.08994371,0.17945921,0.015,0.41965446,0.7524374
2300.0,22,1.1682745,-24.198778,460.0,0.016666666666666666,0.18843679,0.092178166,0.17962857,0.015,0.41664037,0.75428504
2400.0,23,1.2035112,-23.569016,480.0,0.025000000000000005,0.19158185,0.09435784,0.1799493,0.025000000000000005,0.43021116,0.7561155
2500.0,24,0.7929701,-22.10457,500.0,0.03333333333333333,0.19433357,0.09610879,0.18026966,0.024999999999999998,0.37553978,0.7582324
2600.0,25,1.0229269,-23.874039,520.0,0.008333333333333333,0.19610304,0.09768424,0.18053454,0.023333333333333334,0.41902876,0.7599245
2700.0,26,1.1175798,-23.582651,540.0,0.025000000000000005,0.19738418,0.09870788,0.18073826,0.021666666666666667,0.3873721,0.76155996
2800.0,27,1.1432871,-23.699228,560.0,0.024999999999999998,0.19852857,0.09975431,0.18098567,0.021666666666666667,0.4048392,0.76320505
2900.0,28,1.664505,-24.558226,580.0,0.025000000000000005,0.19975345,0.10096703,0.18138449,0.016666666666666666,0.3670453,0.7652084
3000.0,29,2.4409056,-25.256418,600.0,0.0,0.20160854,0.1022157,0.18181759,0.018333333333333333,0.38785878,0.7675374
3100.0,30,2.3415751,-24.96123,620.0,0.03333333333333333,0.20330326,0.10365037,0.18222255,0.021666666666666667,0.37408265,0.76963997
3200.0,31,2.158367,-24.291716,640.0,0.008333333333333333,0.20503394,0.10469359,0.18271165,0.021666666666666667,0.36352313,0.7719972
3300.0,32,1.5337468,-23.612795,660.0,0.05833333333333333,0.2060812,0.10555961,0.18306698,0.023333333333333334,0.35888717,0.77370316
3400.0,33,1.7349685,-26.455559,680.0,0.03333333333333333,0.20707315,0.10625655,0.18345906,0.028333333333333335,0.37536857,0.7755501
3500.0,34,1.7692086,-23.750687,700.0,0.025000000000000005,0.20797034,0.10684749,0.18376704,0.02666666666666667,0.3677381,0.77717686
3600.0,35,2.3049052,-24.703238,720.0,0.03333333333333333,0.20876123,0.107558824,0.18416949,0.028333333333333335,0.3581361,0.778971
3700.0,36,2.3565204,-23.993774,740.0,0.05000000000000001,0.20918997,0.10797715,0.18442829,0.028333333333333335,0.33341625,0.78034407
3800.0,37,2.8574622,-24.091446,760.0,0.008333333333333333,0.20953923,0.10823781,0.18466015,0.03166666666666667,0.34214258,0.78158426
3900.0,38,2.3906257,-26.926506,780.0,0.008333333333333333,0.20993955,0.10837317,0.18496041,0.03333333333333333,0.33742794,0.7830041
4000.0,39,2.9870327,-24.437317,800.0,0.025000000000000005,0.20998706,0.108412616,0.1850955,0.04666666666666667,0.38918838,0.78394246
4100.0,40,2.5555584,-25.556503,820.0,0.041666666666666664,0.21013086,0.108406484,0.18528618,0.03333333333333333,0.347245,0.7848447
4200.0,41,4.5683312,-22.250084,840.0,0.016666666666666666,0.21002264,0.10834844,0.18546294,0.043333333333333335,0.37318552,0.785688
4300.0,42,2.626241,-25.124025,860.0,0.016666666666666666,0.20975123,0.10813453,0.1855524,0.049999999999999996,0.31739452,0.786184
4400.0,43,3.159772,-24.296762,880.0,0.03333333333333333,0.2095776,0.108049355,0.18569297,0.049999999999999996,0.34836137,0.7868455
4500.0,44,3.401499,-24.027863,900.0,0.041666666666666664,0.20937274,0.10805473,0.18583447,0.05000000000000001,0.28744742,0.78762156
4600.0,45,1.7738498,-23.660074,920.0,0.09166666666666667,0.20909001,0.1079263,0.18596573,0.07,0.29274192,0.7883814
4700.0,46,3.3287973,-24.61795,940.0,0.075,0.20869876,0.10783192,0.186037,0.07333333333333333,0.2916042,0.7889922
4800.0,47,3.8748028,-24.415237,960.0,0.11666666666666668,0.20828836,0.10770007,0.18614374,0.05666666666666667,0.29300162,0.7895481
4900.0,48,4.464602,-26.889,980.0,0.041666666666666664,0.20780964,0.107492484,0.18620956,0.055,0.32704556,0.790018
5000.0,49,2.2518923,-25.164038,1000.0,0.075,0.2072769,0.10728273,0.18630254,0.06833333333333334,0.3420787,0.79040176
5100.0,50,3.2729475,-24.876287,1020.0,0.09166666666666667,0.20686899,0.10720221,0.18640321,0.04666666666666667,0.29176474,0.79082537
5200.0,51,3.217495,-26.192179,1040.0,0.05833333333333333,0.20636697,0.1070976,0.18641001,0.06166666666666667,0.31876853,0.7911307
5300.0,52,3.0055077,-25.220497,1060.0,0.1416666666666667,0.20586698,0.107032426,0.18645884,0.06999999999999999,0.3199349,0.7913923
5400.0,53,1.1218476,-25.64518,1080.0,0.13333333333333333,0.20538087,0.10703612,0.18655376,0.09333333333333334,0.25444388,0.79190636
5500.0,54,2.8529987,-25.711054,1100.0,0.11666666666666665,0.20500839,0.10703406,0.1866594,0.05833333333333333,0.27758166,0.79245
5600.0,55,3.1473067,-26.079832,1120.0,0.07500000000000001,0.20457213,0.10712657,0.1867489,0.07833333333333332,0.24752855,0.79294795
5700.0,56,4.056644,-24.72931,1140.0,0.11666666666666668,0.20429665,0.10738423,0.18688309,0.07166666666666667,0.2614108,0.7933957
5800.0,57,4.215218,-25.42634,1160.0,0.09999999999999999,0.20380956,0.10748819,0.18701208,0.085,0.28281972,0.794008
5900.0,58,3.1802433,-24.103666,1180.0,0.20833333333333334,0.20340364,0.10756421,0.18708985,0.07833333333333332,0.26948923,0.79434067
6000.0,59,2.7187903,-25.651342,1200.0,0.09166666666666667,0.20304386,0.10761961,0.1872145,0.075,0.21831207,0.79498225
6100.0,60,2.926611,-22.939184,1220.0,0.17500000000000002,0.20267312,0.10757596,0.18732353,0.07166666666666667,0.24011527,0.79552895
6200.0,61,3.5440998,-26.420813,1240.0,0.15833333333333335,0.20230938,0.10754598,0.1874364,0.09500000000000001,0.28410116,0.7959802
6300.0,62,4.616174,-26.343597,1260.0,0.16666666666666666,0.20188801,0.10743449,0.18750413,0.09666666666666666,0.23821719,0.79642814
6400.0,63,6.8801827,-24.530916,1280.0,0.17500000000000002,0.20161027,0.10735967,0.18761265,0.10333333333333333,0.24489649,0.7969745
6500.0,64,4.3124905,-23.774231,1300.0,0.26666666666666666,0.20121412,0.10718948,0.18771787,0.09166666666666667,0.1889051,0.79757625
6600.0,65,3.3636475,-24.173815,1320.0,0.32499999999999996,0.20080774,0.10703411,0.18786581,0.10333333333333333,0.2041443,0.79820085
6700.0,66,3.9935338,-25.305216,1340.0,0.21666666666666665,0.20034896,0.106843315,0.18798344,0.125,0.21337648,0.79874873
6800.0,67,3.895605,-27.289755,1360.0,0.19166666666666665,0.19985203,0.10659465,0.18809311,0.10833333333333334,0.2221867,0.79924804
6900.0,68,4.936674,-26.327261,1380.0,0.25,0.19942562,0.10641133,0.18819685,0.11166666666666665,0.24602842,0.7997537
7000.0,69,5.109401,-26.81295,1400.0,0.11666666666666668,0.19898885,0.10621322,0.18830757,0.08833333333333333,0.27658892,0.8001897
7100.0,70,3.662124,-27.682907,1420.0,0.19999999999999998,0.19858651,0.10605821,0.18834722,0.08666666666666667,0.2543514,0.80052894
7200.0,71,6.166624,-27.9139,1440.0,0.09999999999999999,0.19829084,0.10598979,0.188417,0.08666666666666667,0.29067263,0.80086917
7300.0,72,4.8470364,-26.633612,1460.0,0.18333333333333332,0.1978897,0.105870865,0.18846361,0.08833333333333333,0.29763392,0.8010691
7400.0,73,3.06995,-25.840322,1480.0,0.20833333333333334,0.19752651,0.10573878,0.18850374,0.08833333333333333,0.26286665,0.80120677
7500.0,74,3.5198343,-26.750235,1500.0,0.22499999999999998,0.19722591,0.105613224,0.18858577,0.07666666666666667,0.22647476,0.8014014
7600.0,75,6.8059974,-28.51835,1520.0,0.11666666666666668,0.19695514,0.1054815,0.18862611,0.08833333333333333,0.24668157,0.80158025
7700.0,76,2.8513956,-23.518763,1540.0,0.25833333333333336,0.19661741,0.10537519,0.18868315,0.08333333333333333,0.22395752,0.80178434
7800.0,77,3.9337502,-26.469866,1560.0,0.15,0.19635792,0.105372995,0.18874286,0.10333333333333333,0.23934968,0.8020477
7900.0,78,3.8384943,-23.846512,1580.0,0.27499999999999997,0.19609618,0.10538808,0.18884353,0.11166666666666668,0.25284207,0.80241424
8000.0,79,3.6786053,-23.322021,1600.0,0.19166666666666665,0.19579272,0.10538394,0.18892355,0.10333333333333333,0.196047,0.80278325
8100.0,80,8.190019,-23.63147,1620.0,0.20833333333333334,0.19549479,0.105368994,0.18900578,0.135,0.22306406,0.8031059
8200.0,81,3.9409325,-25.050102,1640.0,0.20833333333333334,0.19518556,0.105343856,0.1890866,0.10166666666666667,0.22693741,0.80345005
8300.0,82,5.440376,-23.605963,1660.0,0.2833333333333334,0.19488262,0.105262846,0.18914945,0.11,0.2548716,0.8037775
8400.0,83,4.85047,-25.158117,1680.0,0.24166666666666667,0.19457744,0.10521173,0.18920176,0.12,0.23998912,0.80408615
8500.0,84,4.479359,-24.774895,1700.0,0.29166666666666663,0.19433619,0.10514783,0.18923752,0.10333333333333333,0.22730966,0.8044398
8600.0,85,6.193039,-25.094995,1720.0,0.3,0.19405387,0.10501399,0.18926151,0.12166666666666666,0.21256232,0.80468136
8700.0,86,6.581684,-26.001635,1740.0,0.3333333333333333,0.1937734,0.104909085,0.18932098,0.09666666666666668,0.24126096,0.8050135
8800.0,87,5.6874986,-28.161247,1760.0,0.2333333333333333,0.1935185,0.10478702,0.1893781,0.14333333333333334,0.2604107,0.8052828
8900.0,88,4.757607,-26.503067,1780.0,0.3666666666666667,0.19329216,0.104723245,0.1894006,0.16333333333333333,0.26919535,0.8054912
9000.0,89,3.760896,-28.307432,1800.0,0.2583333333333333,0.19301327,0.104623176,0.18945162,0.11333333333333333,0.226022,0.8057646
9100.0,90,6.212172,-27.533674,1820.0,0.275,0.19274831,0.10456044,0.18950365,0.10000000000000002,0.20799862,0.8060684
9200.0,91,4.5463843,-29.634378,1840.0,0.19999999999999998,0.19249249,0.10442206,0.18952383,0.11666666666666668,0.21507782,0.80622554
9300.0,92,6.162533,-27.182608,1860.0,0.3166666666666667,0.19224109,0.104316466,0.18958952,0.115,0.20616633,0.80651975
9400.0,93,4.2102733,-28.922369,1880.0,0.1416666666666667,0.19200505,0.10419017,0.18964453,0.09999999999999999,0.23931618,0.80676556
9500.0,94,4.0703444,-27.520304,1900.0,0.35000000000000003,0.19169569,0.10405009,0.18970476,0.11666666666666668,0.24339598,0.8070728
9600.0,95,3.8941867,-27.703482,1920.0,0.2833333333333334,0.19143842,0.103948414,0.18974292,0.13333333333333333,0.22678126,0.8073361
