stats_g/mean,stats_g/std,epoch,stats_o/std,train/critic_loss,test/ag_g_dist,test/mean_Q,test/episode,test/success_rate,stats_o/mean,train/episode,train/success_rate
0.83712953,0.07399468,0,0.047717866,0.33647004,0.17610066,-2.910884,20.0,0.0,0.20087844,100.0,0.0
0.837194,0.07398564,1,0.04674676,0.58349043,0.18250494,-5.120166,40.0,0.0,0.20070593,200.0,0.0
0.8372322,0.0745263,2,0.046513245,0.6313281,0.16713834,-7.0428543,60.0,0.0,0.20080757,300.0,0.0
0.83762544,0.07785673,3,0.05049665,0.6109535,0.18044096,-9.031033,80.0,0.0,0.20121546,400.0,0.0
0.8384064,0.07985475,4,0.05389755,0.5973742,0.17917597,-10.743251,100.0,0.0,0.20147045,500.0,0.0
0.8383997,0.08100999,5,0.057112154,0.61027414,0.15917271,-11.827805,120.0,0.008333333333333333,0.20153229,600.0,0.0016666666666666668
0.8386174,0.08045563,6,0.06063284,0.5885947,0.16389483,-12.834328,140.0,0.025000000000000005,0.20157419,700.0,0.005
0.8394571,0.07981054,7,0.06569644,0.61206365,0.14777072,-11.990941,160.0,0.03333333333333333,0.20176809,800.0,0.016666666666666666
0.83985686,0.07946845,8,0.07121482,0.5613993,0.11676865,-10.186255,180.0,0.2333333333333333,0.20182432,900.0,0.045000000000000005
0.840095,0.079486206,9,0.077051885,0.6033797,0.09534917,-8.83591,200.0,0.2916666666666667,0.20195864,1000.0,0.08833333333333333
0.84004736,0.079183035,10,0.08343458,0.5689321,0.072923064,-7.6457214,220.0,0.35833333333333334,0.20206408,1100.0,0.12
0.8399951,0.07868789,11,0.08946368,0.63908434,0.06388499,-7.024679,240.0,0.39999999999999997,0.20228851,1200.0,0.1516666666666667
0.839973,0.07892015,12,0.09507552,0.634537,0.065385036,-6.6452827,260.0,0.575,0.20254438,1300.0,0.18499999999999997
0.83978957,0.07867291,13,0.0987626,0.60892063,0.058961537,-6.3782372,280.0,0.6166666666666667,0.20260052,1400.0,0.25
0.83959717,0.07869776,14,0.10151481,0.6203362,0.053370725,-5.809932,300.0,0.7916666666666666,0.20248778,1500.0,0.2783333333333334
0.83959013,0.07832267,15,0.1038597,0.6467807,0.052897897,-6.477497,320.0,0.6666666666666666,0.20239794,1600.0,0.3183333333333333
0.8394757,0.078449726,16,0.10580679,0.58211803,0.04251897,-5.890081,340.0,0.7333333333333334,0.20241763,1700.0,0.31
0.8395179,0.07860207,17,0.10718686,0.5854447,0.04837351,-5.8059597,360.0,0.7916666666666666,0.20243575,1800.0,0.3016666666666667
0.839536,0.07845887,18,0.10853887,0.593161,0.043746248,-5.5257354,380.0,0.85,0.20250185,1900.0,0.3333333333333333
0.8394966,0.07819433,19,0.10951046,0.51902175,0.043391094,-5.929262,400.0,0.8833333333333333,0.20232303,2000.0,0.32
0.83942413,0.07794918,20,0.11028909,0.5240183,0.043673545,-5.9528275,420.0,0.8666666666666667,0.20227735,2100.0,0.37166666666666665
0.83941007,0.07770005,21,0.111065835,0.53226894,0.040806543,-6.1129317,440.0,0.9166666666666666,0.20220955,2200.0,0.37333333333333335
0.8392474,0.077598445,22,0.11199218,0.5271651,0.044507835,-6.123486,460.0,0.9333333333333332,0.2021703,2300.0,0.4000000000000001
0.839245,0.07733303,23,0.11258694,0.53474563,0.043825436,-6.155805,480.0,0.8833333333333334,0.2020858,2400.0,0.3499999999999999
0.83925897,0.07733742,24,0.11332038,0.52194536,0.04047278,-5.9036927,500.0,0.9583333333333334,0.20204075,2500.0,0.35833333333333334
0.83921176,0.077236064,25,0.1137862,0.5564784,0.04106357,-6.1547427,520.0,0.9416666666666665,0.20205973,2600.0,0.37833333333333335
0.8391323,0.077052146,26,0.11404098,0.49506626,0.039567497,-6.144232,540.0,0.9916666666666667,0.20203538,2700.0,0.4033333333333333
0.8391636,0.07689821,27,0.11439729,0.51645297,0.036410056,-5.9932113,560.0,0.9666666666666667,0.20196968,2800.0,0.41500000000000004
0.8391045,0.07679207,28,0.114642076,0.52836823,0.04180665,-6.258677,580.0,0.9666666666666667,0.2019286,2900.0,0.4183333333333334
0.8390322,0.076642565,29,0.11502143,0.5646581,0.041977137,-6.788498,600.0,0.9833333333333334,0.2018679,3000.0,0.40666666666666673
