test/ag_g_dist,train/episode,train/critic_loss,stats_g/std,test/success_rate,train/success_rate,stats_o/std,stats_g/mean,epoch,stats_o/mean,test/episode,test/mean_Q
0.17852217,20.0,0.015637375,0.099191874,0.016666666666666666,0.0,0.03149803,0.8807818,0,0.26410204,20.0,-1.3144826
0.11948807,40.0,0.017594688,0.08886829,0.20833333333333334,0.008333333333333333,0.028624212,0.8812918,1,0.2643473,40.0,-1.5992457
0.10584682,60.0,0.028321952,0.08447841,0.39166666666666666,0.025000000000000005,0.027458385,0.8844659,2,0.26527792,60.0,-1.8451554
0.06668961,80.0,0.038314663,0.08210089,0.7833333333333333,0.09166666666666667,0.02680934,0.88697666,3,0.26583993,80.0,-1.8538843
0.054178387,100.0,0.046996266,0.08103265,0.85,0.19166666666666668,0.026599104,0.8868061,4,0.26588282,100.0,-1.7651896
0.042253215,120.0,0.04927154,0.08090822,0.8333333333333334,0.21666666666666665,0.026769618,0.8854194,5,0.26555553,120.0,-1.7048525
0.029666292,140.0,0.043105677,0.08078658,0.9166666666666666,0.30833333333333335,0.027043387,0.88381195,6,0.26517546,140.0,-1.6608137
0.019625878,160.0,0.042918086,0.08063813,0.9333333333333332,0.35833333333333334,0.027341584,0.8831788,7,0.26502824,160.0,-1.5090885
0.017939217,180.0,0.049436927,0.08113142,0.9166666666666666,0.2916666666666667,0.027776131,0.88233393,8,0.26481444,180.0,-1.5178732
0.011550755,200.0,0.04908253,0.08141163,0.9166666666666666,0.3,0.028114462,0.88180846,9,0.26467317,200.0,-1.4896623
