test/episode,train/success_rate,epoch,stats_o/mean,test/mean_Q,test/success_rate,stats_g/mean,train/critic_loss,stats_g/std,train/critic_addnl_loss,stats_o/std,train/episode
20.0,0.39166666666666666,0,0.26012307,-0.8342622,0.5,0.86576945,0.022255652,0.09402967,0.0,0.030239144,20.0
40.0,0.5666666666666668,1,0.2614953,-0.6451194,0.9083333333333332,0.8711701,0.014934563,0.08510106,0.0,0.028033385,40.0
60.0,0.6666666666666666,2,0.2619732,-0.48998466,0.9833333333333334,0.8727525,0.0156924,0.08403654,0.0,0.027872587,60.0
80.0,0.8000000000000002,3,0.26286662,-0.38811955,0.9916666666666667,0.875885,0.012479308,0.0835861,0.0,0.028090784,80.0
100.0,0.7583333333333333,4,0.26298827,-0.39339566,0.9583333333333334,0.8763822,0.014020863,0.08337017,0.0,0.028298551,100.0
120.0,0.7833333333333333,5,0.2627708,-0.31507298,0.9666666666666667,0.87550926,0.012950669,0.08387124,0.0,0.02871721,120.0
140.0,0.7583333333333333,6,0.26260522,-0.15126283,0.9833333333333334,0.8750801,0.012663477,0.08404056,0.0,0.02890476,140.0
160.0,0.7583333333333334,7,0.26243585,-0.11119509,1.0,0.87455434,0.0143413795,0.083792,0.0,0.029017875,160.0
180.0,0.775,8,0.262298,-0.09181955,1.0,0.8741589,0.0151933385,0.084007226,0.0,0.029240122,180.0
200.0,0.7833333333333332,9,0.26239717,-0.09242791,1.0,0.87447196,0.014555644,0.08406211,0.0,0.02940463,200.0
220.0,0.775,10,0.26222992,-0.10812533,1.0,0.8739762,0.013313445,0.0841198,0.0,0.029512038,220.0
240.0,0.725,11,0.26204053,-0.10647809,1.0,0.87325543,0.014351043,0.084171265,0.0,0.029632991,240.0
260.0,0.7833333333333333,12,0.26212332,-0.0861831,1.0,0.87350327,0.013548635,0.08420157,0.0,0.029695928,260.0
280.0,0.7000000000000001,13,0.26231036,-0.08693275,1.0,0.8741894,0.013279711,0.084180154,0.0,0.029753262,280.0
300.0,0.6916666666666668,14,0.2622803,-0.04099258,1.0,0.8740228,0.012647348,0.084011845,0.0,0.029757291,300.0
320.0,0.7333333333333334,15,0.2623368,-0.061876725,1.0,0.8742797,0.010110638,0.08410122,0.0,0.029821659,320.0
340.0,0.7000000000000001,16,0.26231068,-0.10188498,1.0,0.8741379,0.010505904,0.08414479,0.0,0.02985836,340.0
360.0,0.7250000000000001,17,0.26234943,-0.08595109,1.0,0.8743252,0.014878276,0.084257506,0.0,0.029932568,360.0
380.0,0.6916666666666668,18,0.2622405,-0.09783288,1.0,0.873899,0.01177835,0.08424022,0.0,0.029944917,380.0
400.0,0.7916666666666666,19,0.26236627,-0.06980393,1.0,0.8743209,0.01058554,0.08451468,0.0,0.030040085,400.0
420.0,0.6583333333333333,20,0.26243073,-0.054430485,1.0,0.87453574,0.0095361965,0.0846424,0.0,0.03009965,420.0
440.0,0.775,21,0.2623834,-0.07595701,1.0,0.87435335,0.008789549,0.084566355,0.0,0.030095965,440.0
460.0,0.7916666666666666,22,0.2624245,-0.096348435,1.0,0.87451005,0.012593974,0.08442315,0.0,0.030070102,460.0
480.0,0.75,23,0.26253715,-0.0783419,1.0,0.87492913,0.009373357,0.084494986,0.0,0.030096957,480.0
500.0,0.725,24,0.26261687,-0.06116329,1.0,0.87525225,0.013605717,0.08447353,0.0,0.030103305,500.0
520.0,0.8166666666666668,25,0.2625875,-0.058963817,1.0,0.87516236,0.010192022,0.08452233,0.0,0.030119553,520.0
540.0,0.775,26,0.2625596,-0.060984377,1.0,0.8750647,0.0085026035,0.08450544,0.0,0.030123075,540.0
560.0,0.6916666666666668,27,0.26257125,-0.050778855,1.0,0.8750922,0.01101184,0.08441014,0.0,0.03010734,560.0
580.0,0.725,28,0.2625484,-0.08502954,1.0,0.8749849,0.011926056,0.08462169,0.0,0.030176809,580.0
600.0,0.7583333333333333,29,0.26247287,-0.04129339,1.0,0.8747272,0.010112478,0.084500514,0.0,0.030152446,600.0
620.0,0.725,30,0.26248276,-0.042741805,1.0,0.87475276,0.010967669,0.08455443,0.0,0.030170823,620.0
640.0,0.7083333333333334,31,0.26247618,-0.05746879,1.0,0.8747439,0.010000302,0.08450713,0.0,0.030171284,640.0
660.0,0.7000000000000001,32,0.26247102,-0.041730937,1.0,0.8747215,0.008400205,0.084615044,0.0,0.030211383,660.0
680.0,0.75,33,0.2624951,-0.061391532,1.0,0.87480754,0.010890256,0.08468497,0.0,0.030239722,680.0
700.0,0.7083333333333334,34,0.26252815,-0.049069833,1.0,0.87493163,0.00633785,0.084740005,0.0,0.030263403,700.0
720.0,0.6916666666666668,35,0.2625551,-0.07157405,1.0,0.87502384,0.009086234,0.08470588,0.0,0.030261958,720.0
