test/mean_Q,train/success_rate,stats_g/mean,test/success_rate,train/critic_loss,stats_g/std,train/episode,train/critic_addnl_loss,stats_o/mean,epoch,test/episode,stats_o/std
-1.3489033,0.016666666666666666,0.87133026,0.0,0.013077202,0.090427674,20.0,0.0,0.25585228,0,20.0,0.02758509
-1.6943496,0.05833333333333333,0.87353945,0.05833333333333334,0.0064345985,0.08752161,40.0,0.0,0.2580729,1,40.0,0.026813403
-1.7262455,0.19999999999999998,0.8739397,0.375,0.0045738877,0.08710441,60.0,0.0,0.25929397,2,60.0,0.026510367
-2.0450404,0.4083333333333334,0.8761379,0.4916666666666667,0.0042421543,0.08695665,80.0,0.0,0.26046556,3,80.0,0.026166147
-2.0713136,0.4833333333333334,0.875899,0.5833333333333334,0.0061335824,0.08638356,100.0,0.0,0.2608589,4,100.0,0.025852198
-1.9851435,0.6666666666666666,0.8745694,0.725,0.008528865,0.08652993,120.0,0.0,0.2608208,5,120.0,0.025766706
-1.578876,0.725,0.87391824,0.9166666666666666,0.0073199165,0.08616692,140.0,0.0,0.26072568,6,140.0,0.0258572
-1.6512421,0.6916666666666668,0.87388176,0.85,0.010011311,0.08573566,160.0,0.0,0.2606582,7,160.0,0.026092717
-1.5383323,0.7833333333333333,0.87376016,0.9166666666666666,0.009219001,0.08576744,180.0,0.0,0.26068872,8,180.0,0.026470149
-1.3796135,0.8083333333333332,0.8740477,0.9583333333333334,0.010726325,0.08565978,200.0,0.0,0.26090938,9,200.0,0.026882434
-1.1937779,0.8416666666666667,0.8737862,0.9916666666666667,0.011334711,0.085748166,220.0,0.0,0.2609723,10,220.0,0.027330467
-1.1774093,0.8916666666666666,0.8732264,0.9916666666666667,0.010988104,0.08577311,240.0,0.0,0.2609985,11,240.0,0.027751246
-1.1603276,0.8249999999999998,0.8733921,1.0,0.0127790095,0.08570367,260.0,0.0,0.26123205,12,260.0,0.028073022
-1.1686562,0.8083333333333332,0.8741495,1.0,0.0120059,0.08569095,280.0,0.0,0.26159492,13,280.0,0.028406253
-1.0519673,0.7833333333333332,0.874036,1.0,0.010021249,0.08548053,300.0,0.0,0.26170948,14,300.0,0.028592875
-1.1048889,0.7999999999999999,0.8743679,0.9916666666666667,0.012561664,0.08556687,320.0,0.0,0.26190844,15,320.0,0.028837895
-1.0862436,0.8249999999999998,0.8741698,0.9916666666666667,0.010967697,0.085615896,340.0,0.0,0.2619578,16,340.0,0.029020905
-1.0436841,0.8250000000000001,0.8742898,1.0,0.011655896,0.085674524,360.0,0.0,0.26208073,17,360.0,0.029186333
-1.0460571,0.7999999999999999,0.8739028,1.0,0.009220087,0.085707135,380.0,0.0,0.26204488,18,380.0,0.02929925
-1.0667748,0.8083333333333332,0.8741598,1.0,0.0106845675,0.08598194,400.0,0.0,0.26219806,19,400.0,0.029505199
-0.9912122,0.7999999999999999,0.8744649,1.0,0.011962402,0.08605287,420.0,0.0,0.26235065,20,420.0,0.029653722
-0.94458956,0.8500000000000001,0.8742628,1.0,0.009516629,0.086022645,440.0,0.0,0.2623337,21,440.0,0.029716024
-0.9169903,0.7916666666666666,0.874363,1.0,0.009844636,0.08588513,460.0,0.0,0.26240703,22,460.0,0.02973032
-0.97154164,0.7999999999999999,0.8747484,1.0,0.010392261,0.08591291,480.0,0.0,0.26253128,23,480.0,0.029808918
-0.88317394,0.8083333333333332,0.8750816,1.0,0.011858911,0.08588182,500.0,0.0,0.26267734,24,500.0,0.029869998
-0.8827562,0.8166666666666668,0.8749612,1.0,0.010454637,0.08588917,520.0,0.0,0.26268965,25,520.0,0.029911602
-0.8750655,0.7666666666666666,0.8749077,1.0,0.011132319,0.085931115,540.0,0.0,0.2626958,26,540.0,0.029948061
-0.80060023,0.7583333333333333,0.8749032,1.0,0.010181864,0.08585385,560.0,0.0,0.26273113,27,560.0,0.029961586
-0.91271305,0.7166666666666667,0.87479234,1.0,0.0114378,0.086066365,580.0,0.0,0.26272315,28,580.0,0.030041909
-0.76624733,0.7166666666666667,0.8745444,1.0,0.01415776,0.08592943,600.0,0.0,0.26267648,29,600.0,0.03002804
-0.8518699,0.75,0.87447214,1.0,0.011322965,0.086006165,620.0,0.0,0.26269013,30,620.0,0.030064901
-0.78074193,0.6916666666666668,0.8744271,1.0,0.009914533,0.08600076,640.0,0.0,0.2627036,31,640.0,0.030082742
-0.75315136,0.7083333333333334,0.8743964,1.0,0.010266428,0.08605475,660.0,0.0,0.2627168,32,660.0,0.030136904
-0.81910545,0.7083333333333334,0.8744654,1.0,0.010471488,0.08608011,680.0,0.0,0.2627652,33,680.0,0.03018558
-0.80305773,0.725,0.8746591,1.0,0.0104543865,0.08609403,700.0,0.0,0.2628217,34,700.0,0.030232782
-0.7888901,0.775,0.87469035,1.0,0.011310466,0.086045474,720.0,0.0,0.2628572,35,720.0,0.030256102
-0.70656824,0.7583333333333334,0.87480515,1.0,0.010737854,0.08598689,740.0,0.0,0.2629035,36,740.0,0.030272251
-0.64960676,0.6916666666666668,0.8747918,1.0,0.011974324,0.08601198,760.0,0.0,0.26292703,37,760.0,0.03032049
-0.62164265,0.6583333333333333,0.8747864,1.0,0.010642976,0.08605599,780.0,0.0,0.26293436,38,780.0,0.03035014
-0.6405154,0.6833333333333332,0.8748211,1.0,0.011908277,0.08609458,800.0,0.0,0.26295587,39,800.0,0.030391013
-0.6749487,0.7000000000000001,0.87480754,1.0,0.0092198355,0.08617721,820.0,0.0,0.26296514,40,820.0,0.030445104
-0.6866723,0.6,0.8749581,1.0,0.011292435,0.086212285,840.0,0.0,0.2630201,41,840.0,0.030479526
-0.58760554,0.6583333333333333,0.8749315,1.0,0.014212258,0.08623686,860.0,0.0,0.263026,42,860.0,0.03050507
-0.55942714,0.8083333333333332,0.8750426,1.0,0.012093847,0.086242996,880.0,0.0,0.26307482,43,880.0,0.030520061
-0.5564392,0.8166666666666668,0.8750152,1.0,0.0140934745,0.08627162,900.0,0.0,0.2630821,44,900.0,0.030542368
