test/episode,epoch,train/critic_loss,train/episode,test/mean_Q,train/success_rate,test/success_rate,test/ag_g_dist,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std
20.0,0,0.08905011,100.0,-2.8727,0.0016666666666666668,0.0,0.23723869,0.84224755,0.09222988,0.2031086,0.048550054
40.0,1,0.08660612,200.0,-4.799706,0.005,0.0,0.22195964,0.8445777,0.09336814,0.20358832,0.046512198
60.0,2,0.08115897,300.0,-6.6425133,0.0033333333333333335,0.008333333333333333,0.21959805,0.84491116,0.094813295,0.20394059,0.052065153
80.0,3,0.09110487,400.0,-8.358209,0.0033333333333333335,0.008333333333333333,0.23569699,0.8449796,0.09976667,0.2042848,0.062085226
100.0,4,0.10211962,500.0,-10.378606,0.0016666666666666668,0.008333333333333333,0.23827738,0.8444538,0.10210743,0.20441316,0.06710941
120.0,5,0.12021784,600.0,-11.6283045,0.0033333333333333335,0.008333333333333333,0.2407331,0.8446863,0.104337566,0.20451818,0.07175348
140.0,6,0.12740956,700.0,-13.019889,0.008333333333333333,0.008333333333333333,0.25464112,0.84517986,0.10538747,0.20470816,0.07675948
160.0,7,0.1534762,800.0,-13.238464,0.015,0.016666666666666666,0.22715355,0.8453784,0.1077533,0.20507509,0.082073
180.0,8,0.18132858,900.0,-11.601776,0.015,0.09166666666666667,0.19329298,0.84529597,0.10898445,0.20508957,0.08801845
200.0,9,0.3559226,1000.0,-11.3356905,0.03333333333333333,0.17499999999999996,0.1990747,0.8451712,0.10975156,0.20501252,0.09350691
220.0,10,0.24085064,1100.0,-10.218983,0.05000000000000001,0.20000000000000004,0.15561256,0.8451462,0.1105893,0.20515805,0.0981355
240.0,11,0.25391093,1200.0,-12.020452,0.07166666666666667,0.18333333333333335,0.19244306,0.8450038,0.111587815,0.20532064,0.10317554
260.0,12,0.18813597,1300.0,-10.875651,0.105,0.4083333333333334,0.16231118,0.8446479,0.11228641,0.20503931,0.106473625
280.0,13,0.2269885,1400.0,-9.652904,0.11833333333333335,0.4833333333333334,0.15178378,0.84475166,0.11288432,0.20503445,0.10857462
300.0,14,0.20347583,1500.0,-10.615313,0.16333333333333333,0.4583333333333333,0.16692285,0.8447299,0.11418281,0.20498402,0.11130429
320.0,15,0.31202272,1600.0,-6.499828,0.22833333333333336,0.5750000000000001,0.114928246,0.8446975,0.11502709,0.20487513,0.11300013
340.0,16,0.4189458,1700.0,-5.33378,0.245,0.6666666666666666,0.105435945,0.84488964,0.115634,0.20499532,0.114694275
360.0,17,0.34804168,1800.0,-2.7998626,0.26666666666666666,0.6250000000000001,0.07054778,0.8451505,0.11621857,0.20509212,0.11603382
380.0,18,0.31502634,1900.0,-2.5737958,0.25,0.7666666666666666,0.07772303,0.845583,0.1163995,0.2052448,0.116491795
400.0,19,0.23068602,2000.0,-2.725621,0.2916666666666667,0.7583333333333333,0.07987601,0.84606904,0.116206445,0.2053227,0.11688755
420.0,20,0.61854225,2100.0,-2.0990374,0.34333333333333327,0.8416666666666667,0.05882771,0.84644145,0.11586831,0.20534606,0.1170437
440.0,21,0.31851354,2200.0,-2.0620003,0.3133333333333333,0.8583333333333334,0.055801775,0.84683776,0.11602176,0.20542105,0.117148764
460.0,22,0.25870815,2300.0,-2.0548632,0.32166666666666666,0.8249999999999998,0.052922875,0.8470873,0.11581201,0.20550556,0.117184974
