test/mean_Q,train/episode,epoch,stats_o/std,test/success_rate,stats_g/std,test/episode,train/success_rate,stats_o/mean,stats_g/mean,train/critic_loss,test/ag_g_dist
-3.1118653,100.0,0,0.04852811,0.0,0.09238163,20.0,0.0033333333333333335,0.20318706,0.84214884,0.34392592,0.23722328
-5.2369347,200.0,1,0.047788728,0.0,0.093576014,40.0,0.0016666666666666668,0.20360251,0.84442586,0.58843607,0.22230928
-7.0381913,300.0,2,0.048895087,0.0,0.09394362,60.0,0.0016666666666666668,0.2037702,0.84496695,0.6386771,0.21826474
-8.85862,400.0,3,0.054041028,0.0,0.096284606,80.0,0.0,0.20402199,0.8453955,0.62749916,0.23874855
-10.746316,500.0,4,0.06120256,0.0,0.09933985,100.0,0.0,0.20384462,0.84460396,0.6029484,0.23532379
-12.095275,600.0,5,0.06794225,0.008333333333333333,0.100867294,120.0,0.0,0.20380406,0.8447185,0.6185604,0.24420182
-12.803906,700.0,6,0.07434797,0.025000000000000005,0.10323388,140.0,0.0033333333333333335,0.20388056,0.84477264,0.6002167,0.24741322
-12.096639,800.0,7,0.081245124,0.016666666666666666,0.104333304,160.0,0.006666666666666667,0.2039088,0.8450478,0.611726,0.20927204
-11.647801,900.0,8,0.08867693,0.075,0.106099635,180.0,0.008333333333333333,0.20386064,0.84495276,0.65745836,0.1941046
-11.069305,1000.0,9,0.09447531,0.25833333333333336,0.10755056,200.0,0.013333333333333334,0.20390905,0.8445757,0.60442513,0.1956376
-9.5864,1100.0,10,0.09973063,0.5,0.10950026,220.0,0.03833333333333334,0.20399845,0.8446582,0.66736287,0.14937092
-11.884113,1200.0,11,0.10400728,0.3166666666666667,0.11090562,240.0,0.05833333333333334,0.20400815,0.84470296,0.6578086,0.18913631
-10.883259,1300.0,12,0.107168466,0.4166666666666667,0.11227056,260.0,0.07500000000000001,0.20378685,0.84423804,0.5766174,0.16654378
-8.5028515,1400.0,13,0.1089229,0.5,0.11261349,280.0,0.09000000000000001,0.20397489,0.8443258,0.6343778,0.14288016
-7.673384,1500.0,14,0.11108694,0.5083333333333333,0.113121055,300.0,0.11,0.20419091,0.84435534,0.56169695,0.14077316
-3.9512997,1600.0,15,0.113015145,0.625,0.113805614,320.0,0.1416666666666667,0.20415956,0.8445464,0.6278275,0.08329271
-3.115771,1700.0,16,0.115034916,0.6583333333333333,0.11435827,340.0,0.15166666666666667,0.20441513,0.8449225,0.5104185,0.07332479
-2.704232,1800.0,17,0.116039574,0.7166666666666667,0.11494715,360.0,0.16833333333333333,0.20446415,0.84526235,0.57252026,0.06499393
-3.074477,1900.0,18,0.11657685,0.7583333333333334,0.11526824,380.0,0.16333333333333336,0.20466803,0.8457663,0.6487556,0.07537847
-2.5888011,2000.0,19,0.1171261,0.8333333333333334,0.11514326,400.0,0.17166666666666666,0.2047732,0.8461647,0.53109044,0.061888944
-2.443158,2100.0,20,0.117588244,0.9249999999999999,0.115069926,420.0,0.20333333333333337,0.20490468,0.8463792,0.54374033,0.05067846
-2.6709616,2200.0,21,0.11803379,0.9,0.114925586,440.0,0.17,0.20512317,0.8467691,0.5020041,0.053452585
-2.4334533,2300.0,22,0.11851183,0.8666666666666667,0.115167044,460.0,0.215,0.20529489,0.84691,0.5209902,0.050451685
-2.6948452,2400.0,23,0.11881363,0.8916666666666667,0.115117304,480.0,0.20666666666666667,0.20538849,0.84705544,0.51207334,0.05785701
-2.6678603,2500.0,24,0.119208544,0.8583333333333334,0.11508918,500.0,0.19166666666666665,0.20546587,0.8473048,0.5460302,0.060789287
-2.6269166,2600.0,25,0.119465046,0.8583333333333334,0.11502487,520.0,0.18499999999999997,0.20556907,0.8475403,0.51418537,0.059754025
-2.542996,2700.0,26,0.11960494,0.9,0.114835136,540.0,0.19833333333333333,0.2056527,0.84773415,0.5890129,0.055676926
-2.406934,2800.0,27,0.11957886,0.875,0.11460424,560.0,0.17666666666666667,0.2056988,0.8479936,0.5303939,0.05227585
-2.712801,2900.0,28,0.11969897,0.9083333333333333,0.11442265,580.0,0.17666666666666667,0.20572145,0.84820175,0.5804413,0.0559634
-2.6759975,3000.0,29,0.11980315,0.8666666666666667,0.11445749,600.0,0.17166666666666663,0.20577554,0.84844905,0.6396448,0.051948134
-2.5604455,3100.0,30,0.11993251,0.875,0.11435596,620.0,0.18833333333333332,0.20588875,0.8486418,0.6721367,0.05746695
-2.4218345,3200.0,31,0.11998556,0.9083333333333333,0.1140695,640.0,0.22333333333333336,0.20589514,0.8487923,0.46192876,0.05173425
-2.3514664,3300.0,32,0.11998626,0.9249999999999999,0.11390599,660.0,0.16833333333333333,0.2059117,0.8488762,0.44926262,0.047172233
-2.3208058,3400.0,33,0.11999134,0.8916666666666666,0.11371309,680.0,0.19166666666666668,0.20591299,0.84898025,0.5777227,0.051598758
-2.392637,3500.0,34,0.11996501,0.8666666666666666,0.11360789,700.0,0.18000000000000002,0.20595162,0.84902245,0.43309116,0.050768375
-2.5542905,3600.0,35,0.11999828,0.8333333333333334,0.11347132,720.0,0.17500000000000004,0.20597108,0.8492741,0.7404277,0.053019002
-2.388737,3700.0,36,0.11989369,0.9,0.11329085,740.0,0.18666666666666668,0.20599467,0.8493666,0.48733306,0.050058614
-2.329334,3800.0,37,0.11984747,0.9083333333333332,0.11325217,760.0,0.17500000000000004,0.20601295,0.8494503,0.5264029,0.05021893
-2.4916208,3900.0,38,0.1197898,0.8500000000000001,0.11315898,780.0,0.19499999999999998,0.20604521,0.8494857,0.61196405,0.051412713
-2.3591998,4000.0,39,0.119721144,0.8916666666666666,0.113001265,800.0,0.19833333333333333,0.20609353,0.849559,0.6754387,0.050411362
-2.3873336,4100.0,40,0.11964404,0.9249999999999999,0.112837724,820.0,0.18666666666666665,0.20611328,0.849652,0.7038587,0.052982256
-2.4036,4200.0,41,0.119667016,0.8999999999999999,0.112721026,840.0,0.18666666666666668,0.20614125,0.84970474,0.44260442,0.04684019
-2.533374,4300.0,42,0.11960306,0.8666666666666666,0.11259088,860.0,0.18666666666666668,0.20616035,0.8497684,0.714664,0.049822595
-2.335014,4400.0,43,0.119451195,0.8999999999999999,0.112495184,880.0,0.17,0.20618856,0.8498891,0.53774506,0.046432626
-2.5726721,4500.0,44,0.11934265,0.8916666666666666,0.1124186,900.0,0.18333333333333335,0.20623659,0.84991217,0.75878507,0.05637829
-2.468077,4600.0,45,0.11917404,0.8666666666666666,0.112252146,920.0,0.18000000000000002,0.20627458,0.8500013,0.7033039,0.051911686
