epoch,stats_o/mean,train/episode,test/success_rate,stats_o/std,train/critic_loss,stats_g/mean,test/episode,train/success_rate,test/mean_Q,stats_g/std,test/ag_g_dist
0,0.17700954,100.0,0.0,0.059783753,0.08378581,0.74071616,20.0,0.0016666666666666668,-1.3859034,0.12547399,0.47850308
1,0.17638981,200.0,0.0,0.059508342,0.11297079,0.741136,40.0,0.0016666666666666668,-2.3027258,0.12644982,0.44877923
2,0.17669098,300.0,0.0,0.057273358,0.13706334,0.7421005,60.0,0.0016666666666666668,-3.1015632,0.12381673,0.4266754
3,0.17690861,400.0,0.0,0.056247663,0.07600511,0.742951,80.0,0.0,-4.3206024,0.12206459,0.46297717
4,0.17716825,500.0,0.008333333333333333,0.056098897,0.12380445,0.7435538,100.0,0.008333333333333333,-4.9998136,0.121225804,0.4447538
5,0.17714179,600.0,0.0,0.05636507,0.1620718,0.7431219,120.0,0.0,-6.2074847,0.12028023,0.46969578
6,0.1771689,700.0,0.008333333333333333,0.055324946,0.06600475,0.74342746,140.0,0.0016666666666666668,-6.8481426,0.11874598,0.45382783
7,0.17711306,800.0,0.0,0.055175677,0.16763301,0.74361235,160.0,0.0,-6.8191934,0.11825541,0.4086361
8,0.17698656,900.0,0.0,0.05495708,0.062013894,0.74337655,180.0,0.0033333333333333335,-8.286079,0.11798388,0.45615867
9,0.17705078,1000.0,0.0,0.054763507,0.07709543,0.74333113,200.0,0.0033333333333333335,-9.046763,0.11733377,0.45483336
10,0.1770008,1100.0,0.0,0.054479893,0.12758295,0.7434039,220.0,0.0,-9.584023,0.116913974,0.4557694
11,0.17691551,1200.0,0.008333333333333333,0.05424853,0.07688842,0.7433918,240.0,0.006666666666666667,-10.543128,0.11642447,0.4700849
12,0.17695339,1300.0,0.0,0.05402666,0.15986516,0.7436087,260.0,0.0033333333333333335,-10.817094,0.116069645,0.45410538
13,0.17697163,1400.0,0.0,0.053884104,0.08436179,0.74362326,280.0,0.0,-11.3215685,0.11560264,0.4517347
14,0.17702729,1500.0,0.0,0.05389379,0.06545733,0.7437489,300.0,0.0,-11.310697,0.11564585,0.4321307
15,0.1770976,1600.0,0.0,0.054030184,0.08289174,0.74402016,320.0,0.005,-11.747378,0.11584511,0.43438542
16,0.17709668,1700.0,0.0,0.054240957,0.06285866,0.7440389,340.0,0.005,-11.797303,0.116815455,0.4253274
17,0.17714651,1800.0,0.008333333333333333,0.054515008,0.060772806,0.74448556,360.0,0.0016666666666666668,-12.585454,0.11787405,0.4446045
18,0.17721431,1900.0,0.0,0.054803725,0.07704907,0.74477434,380.0,0.006666666666666667,-13.005521,0.11892224,0.44228545
19,0.17723137,2000.0,0.0,0.055207867,0.14474155,0.7448771,400.0,0.006666666666666667,-13.442054,0.11985535,0.4451312
