stats_o/mean,train/critic_loss,stats_o/std,stats_g/mean,test/success_rate,train/episode,test/mean_Q,train/success_rate,epoch,test/ag_g_dist,stats_g/std,test/episode
0.20122562,0.04419497,0.04584794,0.8375382,0.10000000000000002,100.0,-2.0446136,0.051666666666666666,0,0.17567156,0.072687864,20.0
0.20109744,0.043079752,0.048182536,0.8371337,0.016666666666666666,200.0,-4.1270275,0.08166666666666667,1,0.18345614,0.07367135,40.0
0.20103884,0.038410172,0.04958188,0.8371067,0.041666666666666664,300.0,-5.8400497,0.06666666666666667,2,0.16820693,0.073312804,60.0
0.20130272,0.03997782,0.049631704,0.83775735,0.06666666666666667,400.0,-7.703317,0.07166666666666667,3,0.17702913,0.073052265,80.0
0.20148747,0.042782094,0.052704554,0.83853966,0.05833333333333334,500.0,-9.630112,0.07833333333333332,4,0.18144208,0.07436042,100.0
0.20151062,0.0436952,0.054305095,0.8385454,0.10833333333333332,600.0,-10.705955,0.07333333333333335,5,0.16615987,0.07605996,120.0
0.20155747,0.043897197,0.056440268,0.83843,0.14166666666666666,700.0,-11.726071,0.09333333333333334,6,0.16826439,0.077581055,140.0
0.20163338,0.046866775,0.058291506,0.8387341,0.20000000000000004,800.0,-12.310917,0.11,7,0.17105794,0.07879052,160.0
0.20175348,0.05170625,0.06115858,0.8386819,0.25,900.0,-12.459636,0.18333333333333335,8,0.16257547,0.07975323,180.0
0.20174237,0.06595338,0.064996384,0.8384854,0.375,1000.0,-11.302608,0.28833333333333333,9,0.15918426,0.08088751,200.0
0.20194651,0.06988388,0.07018187,0.83831835,0.65,1100.0,-7.0688615,0.5183333333333334,10,0.11069711,0.080986254,220.0
0.20211981,0.07157158,0.07499795,0.8386511,0.7916666666666666,1200.0,-2.899433,0.62,11,0.070614785,0.08085701,240.0
0.20207159,0.074540555,0.07975057,0.8388698,0.8666666666666666,1300.0,-2.2984073,0.7183333333333334,12,0.06375026,0.080514945,260.0
0.20221286,0.059206437,0.08353614,0.83854455,0.9083333333333332,1400.0,-2.1946876,0.8016666666666666,13,0.06881253,0.080060765,280.0
0.20231645,0.06931553,0.08780301,0.83835745,0.9083333333333333,1500.0,-2.0001004,0.82,14,0.062123757,0.07976072,300.0
0.20238237,0.061982185,0.09051809,0.8384187,0.9,1600.0,-2.2777565,0.855,15,0.07274983,0.07918126,320.0
0.20245452,0.07647533,0.09355845,0.8384047,0.9499999999999998,1700.0,-1.7365952,0.8816666666666667,16,0.06301602,0.07917748,340.0
0.20250241,0.05948716,0.095226794,0.8385415,0.9583333333333334,1800.0,-1.5945349,0.9116666666666667,17,0.06290839,0.07867348,360.0
0.20249927,0.050429415,0.096544124,0.8385448,0.9916666666666667,1900.0,-1.3092307,0.9349999999999999,18,0.057280988,0.07832683,380.0
0.20250863,0.06111419,0.09760473,0.838528,0.9833333333333334,2000.0,-1.1889292,0.945,19,0.055246335,0.0778528,400.0
0.20255594,0.053065356,0.09889742,0.8384867,0.9916666666666667,2100.0,-1.1698505,0.9616666666666668,20,0.05681057,0.07738285,420.0
0.20254306,0.055496607,0.09995103,0.8385246,0.975,2200.0,-1.2812737,0.9583333333333334,21,0.05745935,0.077073775,440.0
0.20265432,0.073918805,0.10095784,0.8384404,0.9833333333333334,2300.0,-1.3658766,0.96,22,0.059313565,0.0766752,460.0
0.20259316,0.052348156,0.10182258,0.8384726,0.9833333333333334,2400.0,-1.224711,0.9683333333333333,23,0.056772027,0.07630313,480.0
0.2026885,0.0507828,0.10292289,0.83852166,0.9916666666666667,2500.0,-1.155933,0.9333333333333332,24,0.055766653,0.07614478,500.0
0.20274198,0.061426986,0.10373235,0.83848447,0.9833333333333334,2600.0,-1.0406221,0.945,25,0.054602098,0.07594508,520.0
0.20275019,0.05336338,0.10437554,0.8384192,0.9833333333333334,2700.0,-1.2377267,0.96,26,0.056467712,0.07565474,540.0
0.20273517,0.048915118,0.10496613,0.838484,0.9916666666666667,2800.0,-1.1373787,0.9683333333333334,27,0.05433325,0.075389184,560.0
0.20273466,0.059552636,0.10520134,0.838455,0.9833333333333334,2900.0,-1.446875,0.9566666666666667,28,0.06101467,0.07514756,580.0
0.2027036,0.052686792,0.10581633,0.8383673,1.0,3000.0,-1.1109134,0.9516666666666667,29,0.057134163,0.075163,600.0
0.20263465,0.04875651,0.10616287,0.8383827,1.0,3100.0,-0.95778626,0.965,30,0.05293392,0.0748953,620.0
0.20262426,0.04857536,0.10645785,0.83827966,0.9916666666666667,3200.0,-1.0535407,0.9716666666666667,31,0.055367146,0.07466891,640.0
0.20259225,0.048221797,0.1067341,0.8383357,1.0,3300.0,-0.94158727,0.9583333333333334,32,0.05258656,0.07438465,660.0
0.20259945,0.044394433,0.106874324,0.8383381,0.9916666666666667,3400.0,-0.9605277,0.9566666666666667,33,0.05202277,0.074153565,680.0
0.202635,0.061051946,0.10713294,0.8383589,0.9916666666666667,3500.0,-1.1645526,0.9666666666666667,34,0.052653503,0.074015476,700.0
0.20267022,0.04815911,0.10737588,0.838409,1.0,3600.0,-0.99192524,0.9516666666666667,35,0.0525915,0.07398596,720.0
0.20266537,0.048433766,0.10760802,0.83847064,0.9916666666666667,3700.0,-1.0315251,0.96,36,0.052725073,0.07390972,740.0
0.20265482,0.05061564,0.10772552,0.8384202,1.0,3800.0,-1.044763,0.9383333333333334,37,0.056434404,0.07378915,760.0
0.20271294,0.04824395,0.10800978,0.83843374,0.9916666666666667,3900.0,-1.2233297,0.9466666666666667,38,0.057470124,0.07373143,780.0
0.20271038,0.049455836,0.10817605,0.838463,0.9916666666666667,4000.0,-1.0120097,0.9516666666666665,39,0.053980697,0.073636346,800.0
0.20271467,0.051501513,0.10836018,0.8384049,1.0,4100.0,-0.90356225,0.9483333333333333,40,0.05097754,0.07352517,820.0
0.20270525,0.04404199,0.10859632,0.8384512,1.0,4200.0,-1.072867,0.9616666666666666,41,0.05418369,0.07340748,840.0
0.20270653,0.055333357,0.10864007,0.83845687,0.9916666666666667,4300.0,-0.91065675,0.9633333333333333,42,0.05367854,0.07333968,860.0
0.20274192,0.049304202,0.10888633,0.8384877,0.9916666666666667,4400.0,-1.0700376,0.955,43,0.05372714,0.07334962,880.0
0.20277138,0.05217215,0.109067075,0.838496,0.9833333333333334,4500.0,-0.96355766,0.9616666666666666,44,0.05111566,0.07323993,900.0
0.20281269,0.047666747,0.10925937,0.83848554,0.9833333333333334,4600.0,-1.0518636,0.945,45,0.055782337,0.07320372,920.0
0.20282929,0.06957292,0.10948696,0.8384564,0.9833333333333334,4700.0,-1.0411932,0.9533333333333335,46,0.05668666,0.07313811,940.0
0.20283554,0.057199657,0.10956267,0.8384933,0.9916666666666667,4800.0,-1.0008292,0.955,47,0.05374911,0.073062174,960.0
0.20288758,0.06417515,0.109690346,0.8385319,0.975,4900.0,-1.0677603,0.9700000000000001,48,0.055499285,0.07290005,980.0
0.20292918,0.044236332,0.109863825,0.8385845,1.0,5000.0,-0.8982379,0.9566666666666667,49,0.049817543,0.072870575,1000.0
