stats_o/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_g/mean,train/critic_loss,epoch,stats_o/std,train/success_rate,test/success_rate,test/ag_g_dist
0.26180968,20.0,-0.69889355,20.0,0.10310584,0.87105924,0.02627837,0,0.033124294,0.3416666666666666,0.6083333333333333,0.10262481
0.2621549,40.0,-0.47665358,40.0,0.0929352,0.8728235,0.013067494,1,0.030522048,0.6749999999999999,0.975,0.052695125
0.26216254,60.0,-0.3409692,60.0,0.08945296,0.8730368,0.015822174,2,0.029799929,0.85,1.0,0.044097368
0.26265836,80.0,-0.3184744,80.0,0.0882188,0.8754852,0.012593313,3,0.029653454,0.8166666666666668,1.0,0.04796337
0.26266706,100.0,-0.28655285,100.0,0.08729091,0.87538785,0.01254734,4,0.02964642,0.7583333333333333,0.9583333333333334,0.055356488
0.26247126,120.0,-0.12873505,120.0,0.08720214,0.8745504,0.0143829575,5,0.02984626,0.7666666666666666,1.0,0.046281278
0.26225966,140.0,-0.11217221,140.0,0.08661277,0.8737583,0.012330554,6,0.02990236,0.7916666666666666,0.9916666666666667,0.04865751
0.26234847,160.0,-0.0692225,160.0,0.08603925,0.87408876,0.012313593,7,0.029895281,0.7833333333333333,1.0,0.04534648
0.26229575,180.0,-0.088117085,180.0,0.08589611,0.87387663,0.01193251,8,0.029986119,0.7583333333333334,1.0,0.045636415
0.26239538,200.0,-0.07472051,200.0,0.085724354,0.87415093,0.012575351,9,0.030044446,0.7583333333333333,1.0,0.046398263
0.26229942,220.0,-0.07511408,220.0,0.08566373,0.873848,0.011978234,10,0.030110205,0.7999999999999999,1.0,0.0473495
0.26214418,240.0,-0.03543445,240.0,0.08552152,0.8733006,0.013103773,11,0.030124536,0.7916666666666666,1.0,0.04748671
0.26218945,260.0,-0.065695114,260.0,0.0852933,0.87343025,0.01104835,12,0.030128852,0.7083333333333334,1.0,0.047961477
0.26237994,280.0,-0.079084225,280.0,0.08527562,0.87418956,0.014399239,13,0.030174404,0.7000000000000001,1.0,0.049256235
0.26235393,300.0,-0.05960928,300.0,0.084917925,0.8741223,0.009297736,14,0.030106923,0.6999999999999998,1.0,0.04740849
0.26239762,320.0,-0.084138006,320.0,0.08490804,0.87433434,0.0120237125,15,0.030132955,0.775,1.0,0.04960801
0.2623487,340.0,-0.03569349,340.0,0.08495748,0.87417775,0.010607686,16,0.030155664,0.75,1.0,0.04871306
0.26237082,360.0,-0.03127665,360.0,0.084887885,0.87428397,0.00912274,17,0.030173397,0.6583333333333333,1.0,0.048898388
0.2622884,380.0,-0.05992113,380.0,0.08483135,0.87395304,0.01041568,18,0.03018871,0.7416666666666666,1.0,0.04901744
0.26234475,400.0,-0.07277807,400.0,0.084964395,0.8741689,0.007682189,19,0.03024236,0.6999999999999998,1.0,0.049000923
