test/success_rate,test/mean_Q,stats_o/std,stats_g/std,train/success_rate,test/ag_g_dist,test/episode,train/episode,train/critic_loss,stats_g/mean,stats_o/mean,epoch
0.6916666666666668,-0.34575543,0.031568415,0.098448314,0.2416666666666667,0.088688634,20.0,20.0,0.08800169,0.87414485,0.26244897,0
0.9833333333333334,-0.30075333,0.029445698,0.090569906,0.5750000000000001,0.058462124,40.0,40.0,0.05661883,0.8768449,0.26324406,1
1.0,-0.23217781,0.029046888,0.08859507,0.7333333333333334,0.042044383,60.0,60.0,0.037758093,0.8765138,0.26312605,2
1.0,-0.18842928,0.029095476,0.08788037,0.7833333333333332,0.041470625,80.0,80.0,0.028243884,0.87831926,0.26345924,3
1.0,-0.16120213,0.029119605,0.08689008,0.7833333333333333,0.044403363,100.0,100.0,0.023450935,0.8773853,0.26321086,4
1.0,-0.09537689,0.029269189,0.08662454,0.7833333333333333,0.045017432,120.0,120.0,0.020021247,0.87569636,0.26277262,5
1.0,-0.11354985,0.029372195,0.08605819,0.8083333333333332,0.045865525,140.0,140.0,0.013878893,0.8748217,0.26253897,6
1.0,-0.045253884,0.029431617,0.0856148,0.7583333333333333,0.047310963,160.0,160.0,0.011665101,0.8748906,0.26254252,7
1.0,-0.0840044,0.02958276,0.08559731,0.7416666666666666,0.04812796,180.0,180.0,0.0092661455,0.87458986,0.26246423,8
1.0,-0.049490053,0.029664963,0.08545324,0.7333333333333334,0.04864149,200.0,200.0,0.0077966186,0.8747048,0.26251838,9
1.0,-0.025089582,0.029737597,0.08534966,0.75,0.047361422,220.0,220.0,0.0063627656,0.8742266,0.26237053,10
1.0,-0.053067863,0.029766003,0.08518735,0.7666666666666666,0.049260926,240.0,240.0,0.0051151547,0.87371737,0.26222318,11
1.0,-0.044907693,0.02978614,0.08495563,0.6833333333333332,0.0491922,260.0,260.0,0.0044601806,0.8738231,0.26226327,12
1.0,-0.03443415,0.029848754,0.08494613,0.6833333333333332,0.05033548,280.0,280.0,0.005038189,0.87459964,0.26246017,13
1.0,-0.035282303,0.029811502,0.08464539,0.6999999999999998,0.048490394,300.0,300.0,0.0044349506,0.8744878,0.2624253,14
1.0,-0.019084832,0.02985547,0.08466691,0.75,0.049778532,320.0,320.0,0.003978118,0.87471634,0.2624845,15
1.0,-0.038933214,0.029892966,0.08472843,0.7000000000000001,0.049476188,340.0,340.0,0.004261214,0.8745956,0.2624442,16
1.0,-0.038087383,0.02992942,0.08469445,0.6583333333333333,0.04969344,360.0,360.0,0.0039525987,0.8746415,0.26245174,17
1.0,-0.02726197,0.029963518,0.08466802,0.7166666666666667,0.04990822,380.0,380.0,0.0045886603,0.8743262,0.2623762,18
1.0,-0.055787068,0.030040061,0.08486342,0.725,0.050649915,400.0,400.0,0.0040727067,0.87459856,0.2624482,19
