epoch,test/success_rate,test/ag_g_dist,test/episode,train/episode,stats_o/std,train/critic_loss,test/mean_Q,stats_g/std,stats_g/mean,stats_o/mean,train/success_rate
0,0.10000000000000002,0.176444,20.0,100.0,0.045991153,0.0028231784,-1.9683014,0.07110541,0.8374067,0.20088421,0.05499999999999999
1,0.025000000000000005,0.18365328,40.0,200.0,0.048742484,0.0021866185,-4.170774,0.07109859,0.8374164,0.20095392,0.08166666666666667
2,0.05000000000000001,0.16861565,60.0,300.0,0.047326554,0.00211723,-5.957115,0.07086881,0.83739334,0.20105477,0.06833333333333334
3,0.08333333333333333,0.17587006,80.0,400.0,0.049104482,0.0036500979,-7.644152,0.07138659,0.83792305,0.201362,0.07500000000000001
4,0.075,0.18235187,100.0,500.0,0.051488087,0.0029999341,-9.529794,0.07465386,0.83873886,0.20151961,0.07833333333333332
5,0.13333333333333333,0.1631499,120.0,600.0,0.052954625,0.009260728,-10.327395,0.07548051,0.83883166,0.20150696,0.07333333333333333
6,0.16666666666666666,0.16136341,140.0,700.0,0.055759426,0.007714825,-11.165465,0.07615454,0.83876354,0.20145333,0.09500000000000001
7,0.26666666666666666,0.16176559,160.0,800.0,0.05716673,0.018924749,-11.51052,0.07704065,0.8393216,0.20158012,0.13166666666666668
8,0.26666666666666666,0.15518416,180.0,900.0,0.059084315,0.020746814,-12.498137,0.07753946,0.83962315,0.20155407,0.20666666666666667
9,0.425,0.14804438,200.0,1000.0,0.06184159,0.045325387,-10.358536,0.077246256,0.8398337,0.20156784,0.3116666666666667
10,0.625,0.11187331,220.0,1100.0,0.066588216,0.050691396,-6.8018928,0.07719735,0.83945256,0.20152028,0.4666666666666666
11,0.8083333333333332,0.078627385,240.0,1200.0,0.071656466,0.054515954,-3.606889,0.07727994,0.83925915,0.20152088,0.6316666666666667
12,0.8833333333333333,0.0702902,260.0,1300.0,0.07672323,0.031613514,-2.4613569,0.07714211,0.8390878,0.20156676,0.7133333333333333
13,0.9083333333333333,0.06565929,280.0,1400.0,0.080211446,0.06430981,-1.8391999,0.07660513,0.8388733,0.20178461,0.8450000000000001
14,0.975,0.056895863,300.0,1500.0,0.08379713,0.04210336,-1.3472939,0.07629135,0.8387614,0.20171994,0.8866666666666667
15,0.9166666666666666,0.06401462,320.0,1600.0,0.08664011,0.06347865,-1.8701406,0.07611518,0.838783,0.20187199,0.9033333333333333
16,0.9499999999999998,0.062638275,340.0,1700.0,0.08946667,0.024373678,-1.6929706,0.075537585,0.8388224,0.20193855,0.9383333333333334
17,1.0,0.05556482,360.0,1800.0,0.09157791,0.055745948,-1.2161329,0.07533202,0.8389571,0.20206006,0.9199999999999999
18,0.9833333333333334,0.054385882,380.0,1900.0,0.09346711,0.033216495,-1.2465947,0.07508938,0.83897567,0.20208256,0.9333333333333332
19,0.9916666666666667,0.05360937,400.0,2000.0,0.09503376,0.025536818,-1.1392412,0.074915506,0.8389669,0.20214646,0.9249999999999999
20,1.0,0.05293575,420.0,2100.0,0.096580826,0.034823615,-1.1007562,0.07464284,0.83893776,0.20209737,0.9316666666666666
21,0.9833333333333334,0.056140065,440.0,2200.0,0.097897656,0.028380835,-1.3549805,0.07456378,0.83897334,0.20212679,0.93
22,0.975,0.05577594,460.0,2300.0,0.09905365,0.0425435,-1.1081976,0.07434862,0.83884853,0.20219712,0.9266666666666667
23,1.0,0.05512468,480.0,2400.0,0.10017773,0.03341097,-1.0348657,0.07420259,0.8388648,0.20217402,0.9183333333333333
24,0.9833333333333334,0.053657066,500.0,2500.0,0.10125047,0.021439997,-1.1416463,0.07392264,0.83890325,0.20219027,0.945
25,0.9833333333333334,0.05452842,520.0,2600.0,0.10217752,0.035385203,-1.068925,0.07361133,0.8388672,0.2021776,0.9400000000000001
26,1.0,0.052709326,540.0,2700.0,0.10272645,0.06837539,-0.99912596,0.07333829,0.83880615,0.20215212,0.945
27,1.0,0.05033441,560.0,2800.0,0.10352239,0.025819609,-0.99312013,0.07310607,0.8388745,0.20218201,0.9349999999999999
28,0.9833333333333334,0.056442987,580.0,2900.0,0.10412533,0.030000785,-1.2069752,0.07294601,0.8388193,0.20220117,0.9416666666666668
29,0.9833333333333334,0.05530786,600.0,3000.0,0.104690395,0.031807028,-1.0899371,0.07296779,0.8387491,0.20224668,0.9400000000000001
30,0.9833333333333334,0.05490306,620.0,3100.0,0.10510629,0.022221088,-1.2565395,0.07287039,0.83876085,0.20223741,0.9500000000000001
31,0.9916666666666667,0.055676103,640.0,3200.0,0.105532266,0.02173525,-1.0523629,0.07270699,0.8386617,0.20228638,0.94
32,1.0,0.051997285,660.0,3300.0,0.10578915,0.0290413,-0.9538975,0.07258519,0.8386863,0.20234199,0.9383333333333334
33,1.0,0.052179065,680.0,3400.0,0.10611788,0.0221254,-0.9314389,0.072480254,0.83867997,0.20235424,0.9466666666666667
34,1.0,0.049903866,700.0,3500.0,0.10656587,0.03269577,-0.8475968,0.07235987,0.8386819,0.2024165,0.955
35,0.9916666666666667,0.05034336,720.0,3600.0,0.10696357,0.040360153,-0.9078393,0.07243516,0.8387453,0.20246899,0.935
36,0.9916666666666667,0.053411055,740.0,3700.0,0.10732391,0.027966626,-0.9848774,0.072505884,0.83880186,0.2024656,0.93
