test/ag_g_dist,stats_o/mean,train/success_rate,test/success_rate,train/episode,test/episode,stats_g/mean,test/mean_Q,stats_o/std,stats_g/std,train/critic_loss,epoch
0.23724788,0.20343077,0.03333333333333333,0.041666666666666664,100.0,20.0,0.8424098,-2.2990959,0.04924564,0.09153529,0.043261096,0
0.22263122,0.20359033,0.043333333333333335,0.05000000000000001,200.0,40.0,0.844738,-4.0648737,0.04816443,0.09302297,0.041859094,1
0.2184835,0.2038569,0.043333333333333335,0.03333333333333333,300.0,60.0,0.84516746,-5.9481797,0.049759913,0.0938968,0.039008666,2
0.23018046,0.20396112,0.04833333333333334,0.05000000000000001,400.0,80.0,0.8455004,-7.7366004,0.055416707,0.09497691,0.04252616,3
0.23440032,0.20390896,0.05666666666666667,0.025000000000000005,500.0,100.0,0.84502953,-9.672108,0.059301633,0.09636941,0.045566898,4
0.2399803,0.20414221,0.05666666666666667,0.041666666666666664,600.0,120.0,0.8454053,-11.032193,0.06351155,0.0981419,0.04975524,5
0.24778132,0.20436521,0.06833333333333334,0.06666666666666667,700.0,140.0,0.8455431,-12.153958,0.068007074,0.09914676,0.049709246,6
0.23598093,0.20434995,0.09333333333333334,0.06666666666666667,800.0,160.0,0.845668,-13.220741,0.07269416,0.1006946,0.059983563,7
0.20544262,0.20385094,0.105,0.20833333333333334,900.0,180.0,0.845527,-11.7446785,0.07704024,0.101611234,0.081585295,8
0.20706475,0.20393251,0.14,0.27499999999999997,1000.0,200.0,0.84560853,-11.663697,0.08106974,0.10234171,0.06701116,9
0.17978893,0.20405363,0.18333333333333335,0.375,1100.0,220.0,0.8456974,-10.802913,0.08480094,0.10329262,0.089308284,10
0.21324165,0.2041447,0.2333333333333333,0.275,1200.0,240.0,0.8458257,-13.026227,0.08774849,0.10326284,0.13706441,11
0.19394654,0.20387642,0.27166666666666667,0.375,1300.0,260.0,0.84576726,-12.7008505,0.09021183,0.10329675,0.0835991,12
0.17445795,0.20392591,0.29000000000000004,0.5,1400.0,280.0,0.8458472,-11.164189,0.09290088,0.10350128,0.084864736,13
0.18941166,0.20399849,0.3466666666666667,0.4749999999999999,1500.0,300.0,0.8458266,-12.714028,0.09544178,0.10389602,0.08482822,14
0.16055207,0.20404325,0.345,0.525,1600.0,320.0,0.84566,-10.894919,0.097661085,0.104584254,0.10347232,15
0.14945646,0.20424075,0.38000000000000006,0.6416666666666667,1700.0,340.0,0.8455891,-9.20803,0.099811204,0.104894996,0.22028299,16
0.16132195,0.20424332,0.4283333333333333,0.6,1800.0,360.0,0.8454563,-10.323559,0.101703726,0.10538054,0.092337884,17
0.15979622,0.2042715,0.38166666666666665,0.6499999999999999,1900.0,380.0,0.8453577,-9.121316,0.1036171,0.10593618,0.13187358,18
0.15734164,0.20424592,0.48333333333333334,0.6083333333333334,2000.0,400.0,0.84557486,-6.951914,0.10529607,0.107101224,0.18208905,19
0.08922207,0.20439129,0.5333333333333333,0.8250000000000001,2100.0,420.0,0.8456924,-2.9268856,0.10685267,0.10757313,0.106441595,20
0.08044989,0.20436953,0.515,0.8916666666666666,2200.0,440.0,0.84594846,-2.3820403,0.10851731,0.108602844,0.10357376,21
0.0849833,0.20440792,0.5316666666666666,0.875,2300.0,460.0,0.8462674,-2.1292312,0.1098006,0.10875916,0.093302734,22
0.09197599,0.20459475,0.54,0.8833333333333333,2400.0,480.0,0.8465762,-2.4210637,0.111148864,0.10910045,0.084748365,23
0.08262316,0.20470892,0.505,0.8583333333333334,2500.0,500.0,0.84686404,-2.0042112,0.112001576,0.10971264,0.08514627,24
0.072005264,0.20479886,0.5666666666666667,0.9249999999999999,2600.0,520.0,0.84713775,-1.5049548,0.11230745,0.109966904,0.102695525,25
0.07224017,0.20483966,0.57,0.9249999999999999,2700.0,540.0,0.8473985,-1.7325478,0.1127402,0.11001583,0.09261203,26
0.0656664,0.20497866,0.59,0.9333333333333332,2800.0,560.0,0.847737,-1.3741206,0.113155164,0.10987686,0.09693068,27
0.06525354,0.20499961,0.54,0.9666666666666667,2900.0,580.0,0.8481024,-1.3527924,0.11353088,0.110084854,0.08906948,28
0.061875064,0.20506804,0.5816666666666667,0.9583333333333334,3000.0,600.0,0.8483901,-1.210206,0.113811396,0.11006402,0.1107772,29
0.070302986,0.20515163,0.5716666666666667,0.9250000000000002,3100.0,620.0,0.8485758,-1.3346815,0.11412931,0.11010009,0.110330425,30
0.064186506,0.2052113,0.5933333333333334,0.9166666666666666,3200.0,640.0,0.8487379,-1.2329625,0.114234656,0.109983385,0.08402624,31
0.059581712,0.20526211,0.5733333333333334,0.9500000000000001,3300.0,660.0,0.84882426,-1.2152289,0.114220016,0.10994651,0.14194395,32
0.06643251,0.20531996,0.5866666666666667,0.9333333333333332,3400.0,680.0,0.84898686,-1.2196037,0.11427126,0.10974551,0.15988506,33
0.06554381,0.20536055,0.5816666666666666,0.9166666666666666,3500.0,700.0,0.8490421,-1.1563047,0.114500664,0.10975576,0.09793156,34
0.066938974,0.20539562,0.5700000000000001,0.9583333333333334,3600.0,720.0,0.84919566,-1.280691,0.11459454,0.10968488,0.10215968,35
0.06334184,0.20547338,0.5833333333333334,0.975,3700.0,740.0,0.84927535,-1.208874,0.11463163,0.109649576,0.08838028,36
0.06376481,0.20554607,0.555,0.9666666666666667,3800.0,760.0,0.84933454,-1.1471893,0.11480471,0.10972136,0.14305604,37
0.06623207,0.20557185,0.5733333333333334,0.9583333333333334,3900.0,780.0,0.84934974,-1.1056851,0.11475333,0.109626055,0.09079287,38
0.06711768,0.20555693,0.5733333333333334,0.9499999999999998,4000.0,800.0,0.8493623,-1.1218746,0.11469206,0.109551966,0.1048942,39
0.07189695,0.20558228,0.5900000000000001,0.9499999999999998,4100.0,820.0,0.84947747,-1.3778977,0.11463788,0.109386235,0.3029922,40
0.060678277,0.20558472,0.6,0.9499999999999998,4200.0,840.0,0.8495307,-1.0011075,0.114587806,0.10922944,0.11800311,41
0.0659985,0.20556585,0.5483333333333333,0.9333333333333332,4300.0,860.0,0.8495745,-1.0928998,0.11448895,0.10906986,0.111994304,42
0.0627452,0.20559447,0.5566666666666666,0.9916666666666667,4400.0,880.0,0.8496695,-0.974425,0.11437681,0.10893371,0.13189477,43
0.070235744,0.20560436,0.5583333333333332,0.9333333333333332,4500.0,900.0,0.8496441,-1.232559,0.11424225,0.10881743,0.11257329,44
0.06432528,0.20563368,0.545,0.9500000000000001,4600.0,920.0,0.84966666,-0.9847865,0.11419905,0.108788125,0.09882629,45
0.066859215,0.2056158,0.58,0.9499999999999998,4700.0,940.0,0.8496923,-1.0457245,0.114179276,0.10867401,0.19351804,46
0.0692629,0.20559187,0.5833333333333334,0.9416666666666665,4800.0,960.0,0.8496906,-1.0582522,0.11409255,0.10863542,0.09016016,47
0.06332449,0.20559794,0.5916666666666667,0.9583333333333334,4900.0,980.0,0.8497036,-0.9202843,0.11402044,0.108460814,0.1096158,48
0.06586345,0.20561056,0.5566666666666668,0.975,5000.0,1000.0,0.8496719,-0.9904466,0.11396977,0.10845234,0.103937425,49
