test/ag_g_dist,test/episode,stats_o/mean,test/mean_Q,epoch,train/episode,train/critic_loss,train/success_rate,stats_g/mean,stats_g/std,stats_o/std,test/success_rate
0.23722863,20.0,0.20278569,-2.7205036,0,100.0,0.0018757107,0.03333333333333333,0.8420641,0.09254771,0.05171135,0.041666666666666664
0.2220676,40.0,0.20326231,-4.500705,1,200.0,0.0033368657,0.041666666666666664,0.8444605,0.09333572,0.051743012,0.05000000000000001
0.21769927,60.0,0.2036184,-6.408245,2,300.0,0.004426546,0.041666666666666664,0.8450118,0.09397762,0.05212311,0.05000000000000001
0.22897951,80.0,0.20391671,-8.116778,3,400.0,0.006208478,0.04,0.8454747,0.09480908,0.053860795,0.05000000000000001
0.23609905,100.0,0.20383108,-10.366124,4,500.0,0.012526486,0.04833333333333334,0.84501487,0.09616763,0.055327326,0.008333333333333333
0.24090374,120.0,0.20373343,-11.794515,5,600.0,0.024446057,0.04833333333333334,0.84476966,0.09833165,0.060490355,0.05000000000000001
0.24763477,140.0,0.20375435,-12.3926735,6,700.0,0.038290914,0.05000000000000001,0.8450349,0.098980166,0.06406189,0.05000000000000001
0.22876541,160.0,0.2037006,-12.833802,7,800.0,0.08304318,0.06833333333333334,0.84477884,0.09987243,0.068568125,0.11666666666666668
0.20572396,180.0,0.2036684,-12.689582,8,900.0,0.067689896,0.07833333333333332,0.84469,0.09982429,0.0719729,0.20833333333333334
0.21351866,200.0,0.2036859,-12.227244,9,1000.0,0.09805087,0.105,0.84471816,0.10022652,0.076170854,0.24166666666666667
0.18247293,220.0,0.20354657,-11.835777,10,1100.0,0.15531927,0.165,0.84492916,0.1005379,0.08036543,0.2833333333333334
0.20944072,240.0,0.20382021,-13.300029,11,1200.0,0.23571938,0.19666666666666666,0.8451586,0.10182821,0.08501608,0.2916666666666667
0.1879028,260.0,0.20378502,-12.473495,12,1300.0,0.08680573,0.25499999999999995,0.8451112,0.102591336,0.08913908,0.375
0.1745671,280.0,0.20377405,-11.542386,13,1400.0,0.16258895,0.325,0.84533143,0.102915704,0.09157995,0.5000000000000001
0.19263624,300.0,0.20401292,-12.719447,14,1500.0,0.20237012,0.35333333333333333,0.8453965,0.10354874,0.095166065,0.4750000000000001
0.15806703,320.0,0.20421827,-10.500742,15,1600.0,0.46439865,0.3633333333333333,0.84526896,0.10373358,0.09718171,0.55
0.15070005,340.0,0.20437723,-9.482301,16,1700.0,0.24545646,0.39333333333333337,0.8452058,0.10397115,0.09942862,0.6416666666666667
0.14947288,360.0,0.2043792,-10.035785,17,1800.0,0.15877438,0.445,0.8451202,0.104092896,0.10089126,0.6
0.15350273,380.0,0.20445621,-9.786702,18,1900.0,0.24737048,0.41,0.84511346,0.104116656,0.10156689,0.6
0.15470615,400.0,0.20456362,-9.594081,19,2000.0,0.16896325,0.445,0.8454094,0.10422083,0.10278211,0.6333333333333333
0.09973786,420.0,0.2046016,-6.9323463,20,2100.0,0.1665992,0.5333333333333333,0.8455823,0.10384298,0.10355201,0.8000000000000002
0.10442656,440.0,0.20485087,-6.925846,21,2200.0,0.1812619,0.5183333333333333,0.8458589,0.104018085,0.1047555,0.8000000000000002
0.0959663,460.0,0.20491141,-6.714558,22,2300.0,0.18048328,0.5233333333333333,0.84607357,0.104091026,0.10589603,0.8416666666666667
0.10911109,480.0,0.20502597,-7.7348256,23,2400.0,0.267509,0.525,0.84618086,0.1045883,0.10658609,0.7999999999999999
0.11003408,500.0,0.20512418,-7.4571433,24,2500.0,0.2939738,0.5366666666666666,0.84648234,0.10448786,0.10698668,0.8416666666666667
0.112828694,520.0,0.20512521,-7.522207,25,2600.0,0.20829411,0.54,0.8467708,0.10461525,0.10736837,0.7416666666666667
0.09170588,540.0,0.20515104,-6.573648,26,2700.0,0.2976767,0.5416666666666666,0.84702706,0.104679875,0.107819535,0.7333333333333334
0.08564218,560.0,0.20524912,-6.1217036,27,2800.0,0.17268229,0.55,0.8473744,0.10473537,0.10809162,0.8000000000000002
0.084392734,580.0,0.20533706,-5.509726,28,2900.0,0.13640618,0.5683333333333332,0.8477795,0.10486236,0.108388536,0.8666666666666666
0.077849515,600.0,0.2054234,-4.5340915,29,3000.0,0.20697135,0.5383333333333333,0.8480217,0.105262496,0.10878379,0.8333333333333334
0.08216111,620.0,0.2054886,-5.2715325,30,3100.0,0.17755915,0.5516666666666666,0.84831506,0.10584555,0.10942241,0.85
0.07011655,640.0,0.20552409,-3.8254569,31,3200.0,0.18693636,0.585,0.84858537,0.105986945,0.10969037,0.8416666666666668
0.06516884,660.0,0.20555736,-2.8798401,32,3300.0,0.1297698,0.5633333333333334,0.84879476,0.10611359,0.110038616,0.875
0.068802014,680.0,0.20558475,-3.2240922,33,3400.0,0.19093134,0.5633333333333334,0.84902173,0.10626551,0.11041219,0.875
0.06704131,700.0,0.20562328,-2.868725,34,3500.0,0.18880172,0.58,0.8492265,0.10648751,0.11086971,0.9166666666666666
0.077477366,720.0,0.20569646,-3.28945,35,3600.0,0.17611265,0.5666666666666667,0.84954643,0.10666015,0.111050405,0.8916666666666666
0.063128866,740.0,0.20573764,-2.4349883,36,3700.0,0.16541718,0.5966666666666667,0.84974456,0.10670843,0.11113074,0.9583333333333334
0.06936185,760.0,0.2057773,-2.3720543,37,3800.0,0.32932544,0.5700000000000001,0.84998393,0.10680741,0.111262895,0.9333333333333332
0.06505903,780.0,0.2058348,-2.08543,38,3900.0,0.20012784,0.5916666666666667,0.8501453,0.10676337,0.111292325,0.9333333333333332
0.066669166,800.0,0.20588702,-2.252884,39,4000.0,0.15963863,0.5716666666666667,0.85032016,0.10676423,0.111335784,0.9083333333333332
0.066617124,820.0,0.20593362,-1.9956788,40,4100.0,0.16871615,0.5783333333333334,0.8504754,0.10669589,0.11138467,0.9166666666666666
0.057159554,840.0,0.205981,-1.4624147,41,4200.0,0.3525028,0.605,0.85061806,0.10655656,0.11139675,0.9583333333333334
0.061449457,860.0,0.20602344,-1.918224,42,4300.0,0.2664709,0.5399999999999999,0.8507448,0.106560886,0.11149231,0.9416666666666668
0.05884425,880.0,0.20607902,-1.329946,43,4400.0,0.2912892,0.56,0.8508685,0.10657531,0.11153064,0.9833333333333334
0.06515977,900.0,0.20606853,-1.7574135,44,4500.0,0.21867375,0.5383333333333332,0.8509473,0.106574595,0.11155686,0.9583333333333334
0.063689046,920.0,0.20608342,-1.4511989,45,4600.0,0.25008687,0.55,0.85103226,0.10654337,0.11155298,0.9333333333333332
0.066660315,940.0,0.20613301,-1.6068236,46,4700.0,0.45956883,0.57,0.8510702,0.10654559,0.11163694,0.9250000000000002
0.066555314,960.0,0.20613255,-1.6387792,47,4800.0,0.16208144,0.5716666666666667,0.8511028,0.1064645,0.11159765,0.9166666666666666
0.060430232,980.0,0.20613725,-1.2835883,48,4900.0,0.9904866,0.5716666666666668,0.85112756,0.10644724,0.11164999,0.9666666666666668
0.065652646,1000.0,0.2061321,-1.5308529,49,5000.0,0.2428117,0.545,0.85108304,0.10638823,0.111698,0.9499999999999998
