test/ag_g_dist,test/mean_Q,train/critic_loss,stats_o/std,stats_g/mean,stats_g/std,test/success_rate,test/episode,epoch,train/episode,train/success_rate,stats_o/mean
0.2372367,-2.2393873,0.0060906443,0.048050407,0.8421869,0.09248781,0.041666666666666664,20.0,0,100.0,0.03333333333333333,0.20319843
0.22206211,-4.0363584,0.0032988477,0.047803093,0.84435123,0.09337198,0.05000000000000001,40.0,1,200.0,0.041666666666666664,0.2035932
0.21818984,-5.861818,0.004012517,0.048721347,0.8449164,0.09367242,0.05000000000000001,60.0,2,300.0,0.043333333333333335,0.20370777
0.22817068,-7.437233,0.011929209,0.053737473,0.8452571,0.09507054,0.05833333333333334,80.0,3,400.0,0.04,0.2039709
0.23833162,-10.001176,0.018724464,0.05529343,0.8448822,0.09562714,0.008333333333333333,100.0,4,500.0,0.051666666666666666,0.20384467
0.23943569,-11.3207855,0.024991663,0.0571906,0.84509414,0.09604787,0.05000000000000001,120.0,5,600.0,0.04666666666666667,0.20386153
0.2576287,-12.63457,0.03045194,0.059577364,0.8452874,0.09620553,0.041666666666666664,140.0,6,700.0,0.05000000000000001,0.20408958
0.22973378,-12.784955,0.059174042,0.063419454,0.84527844,0.09762151,0.10833333333333334,160.0,7,800.0,0.07500000000000001,0.20409898
0.2034862,-12.465401,0.055348903,0.06803583,0.8451948,0.09853721,0.18333333333333335,180.0,8,900.0,0.08833333333333333,0.20391925
0.2043658,-11.959174,0.11789777,0.07308144,0.8450559,0.09944274,0.25,200.0,9,1000.0,0.10833333333333334,0.20387013
0.1841244,-10.956592,0.23281562,0.077640064,0.8453223,0.100277536,0.3416666666666666,220.0,10,1100.0,0.16166666666666665,0.2039748
0.21796773,-13.301193,0.12691274,0.081827775,0.84546775,0.10074994,0.26666666666666666,240.0,11,1200.0,0.20333333333333334,0.20418614
0.19471556,-12.174648,0.18456851,0.085565604,0.84548,0.10095203,0.3916666666666666,260.0,12,1300.0,0.225,0.20431232
0.18400967,-11.972941,0.1367552,0.08835915,0.84577185,0.10099095,0.4166666666666667,280.0,13,1400.0,0.2733333333333334,0.20461948
0.19500506,-12.882541,0.16360815,0.09151427,0.84585595,0.1009537,0.4583333333333333,300.0,14,1500.0,0.3333333333333333,0.20459497
0.15887845,-11.2980995,0.457512,0.09341685,0.84576374,0.10063902,0.525,320.0,15,1600.0,0.345,0.20444615
0.15348597,-9.8848715,0.20602499,0.09579053,0.84586126,0.10089306,0.65,340.0,16,1700.0,0.38833333333333336,0.20458989
0.165884,-11.0317,0.2503257,0.097909324,0.8457768,0.101343535,0.5916666666666667,360.0,17,1800.0,0.4083333333333334,0.20479114
