stats_o/mean,stats_o/std,epoch,test/mean_Q,train/success_rate,test/success_rate,train/episode,stats_g/std,stats_g/mean,test/episode,train/critic_loss
0.20079948,0.048916694,0,-2.0101054,0.05333333333333334,0.09166666666666667,100.0,0.071759604,0.8374042,20.0,0.0064304173
0.20083767,0.050040245,1,-4.1514125,0.07666666666666667,0.016666666666666666,200.0,0.074144006,0.83715326,40.0,0.0062188604
0.20089722,0.04972036,2,-6.0157337,0.065,0.041666666666666664,300.0,0.07418727,0.83710265,60.0,0.0035599235
0.20107251,0.05032743,3,-7.7354584,0.06833333333333334,0.075,400.0,0.074766316,0.8377588,80.0,0.0054157986
0.20123364,0.052244205,4,-9.537308,0.07166666666666667,0.075,500.0,0.075610824,0.83858675,100.0,0.010197648
0.20131369,0.05233285,5,-10.927377,0.075,0.075,600.0,0.07555446,0.8387106,120.0,0.008891626
0.20128262,0.05277424,6,-11.795792,0.07666666666666667,0.125,700.0,0.075310655,0.8386252,140.0,0.014174054
0.201374,0.052812506,7,-12.844838,0.09833333333333334,0.14166666666666666,800.0,0.07535154,0.83893365,160.0,0.01989839
0.20146193,0.053512882,8,-14.755585,0.10333333333333333,0.10833333333333334,900.0,0.07557962,0.8389573,180.0,0.043352652
0.20139481,0.05548033,9,-14.854098,0.135,0.18333333333333335,1000.0,0.07550718,0.8387677,200.0,0.03382999
0.20130418,0.058452215,10,-13.9836645,0.19166666666666665,0.25,1100.0,0.07569406,0.83848816,220.0,0.0651894
0.20147397,0.06221485,11,-9.338246,0.255,0.47500000000000003,1200.0,0.07640589,0.8387744,240.0,0.08515197
0.20170242,0.06693801,12,-8.17468,0.4183333333333333,0.43333333333333335,1300.0,0.076321416,0.8391928,260.0,0.08553777
0.20169227,0.071734406,13,-4.967088,0.5516666666666666,0.5666666666666667,1400.0,0.076132946,0.8394776,280.0,0.11754987
0.20169167,0.07678233,14,-2.7301,0.6383333333333333,0.775,1500.0,0.07640601,0.8394813,300.0,0.16558719
0.20186836,0.08011719,15,-2.0225284,0.7066666666666667,0.9166666666666666,1600.0,0.07662172,0.8395688,320.0,0.18217205
0.20195483,0.08334258,16,-1.5709362,0.7683333333333334,0.9416666666666668,1700.0,0.07662832,0.83952403,340.0,0.12229743
