stats_o/mean,test/success_rate,train/success_rate,stats_o/std,test/mean_Q,test/episode,stats_g/std,epoch,train/episode,train/critic_loss,stats_g/mean
0.26180968,0.6083333333333333,0.3416666666666666,0.033124294,-0.69889355,20.0,0.10310584,0,20.0,0.02627837,0.87105924
0.2621549,0.975,0.6749999999999999,0.030522048,-0.47665358,40.0,0.0929352,1,40.0,0.013067494,0.8728235
0.26216254,1.0,0.85,0.029799929,-0.3409692,60.0,0.08945296,2,60.0,0.015822174,0.8730368
0.26265836,1.0,0.8166666666666668,0.029653454,-0.3184744,80.0,0.0882188,3,80.0,0.012593313,0.8754852
0.26266706,0.9583333333333334,0.7583333333333333,0.02964642,-0.28655285,100.0,0.08729091,4,100.0,0.01254734,0.87538785
0.26247126,1.0,0.7666666666666666,0.02984626,-0.12873505,120.0,0.08720214,5,120.0,0.0143829575,0.8745504
0.26225966,0.9916666666666667,0.7916666666666666,0.02990236,-0.11217221,140.0,0.08661277,6,140.0,0.012330554,0.8737583
0.26234847,1.0,0.7833333333333333,0.029895281,-0.0692225,160.0,0.08603925,7,160.0,0.012313593,0.87408876
0.26229575,1.0,0.7583333333333334,0.029986119,-0.0880968,180.0,0.08589611,8,180.0,0.011882145,0.87387663
0.2623811,1.0,0.7083333333333334,0.0300455,-0.070015006,200.0,0.08573234,9,200.0,0.011737435,0.87410754
0.2623003,1.0,0.8166666666666668,0.030105283,-0.07785349,220.0,0.08565078,10,220.0,0.013078391,0.87386495
0.26211768,1.0,0.7583333333333334,0.030113285,-0.06289953,240.0,0.08549097,11,240.0,0.011334798,0.87323445
0.26216567,1.0,0.6916666666666668,0.030118147,-0.05032854,260.0,0.08526632,12,260.0,0.010755017,0.8733797
0.26236194,1.0,0.7166666666666668,0.030165061,-0.09657603,280.0,0.085247606,13,280.0,0.014231522,0.8741587
0.2623573,1.0,0.7000000000000001,0.030092219,-0.05837068,300.0,0.08487773,14,300.0,0.010054444,0.8741765
0.26242074,1.0,0.775,0.030123428,-0.07714035,320.0,0.084887765,15,320.0,0.010644478,0.8744382
0.2624128,1.0,0.7916666666666666,0.030147254,-0.053705405,340.0,0.08492202,16,340.0,0.009050954,0.87442726
0.26243794,1.0,0.6749999999999999,0.030160224,-0.05057538,360.0,0.0848408,17,360.0,0.012050635,0.87453955
0.26234603,1.0,0.7333333333333334,0.03017982,-0.10147222,380.0,0.08478554,18,380.0,0.009967326,0.8741684
0.26242435,1.0,0.6916666666666668,0.03023761,-0.07800005,400.0,0.08494121,19,400.0,0.009771848,0.8744641
0.2625217,1.0,0.7833333333333332,0.030270264,-0.025226085,420.0,0.0849916,20,420.0,0.010957427,0.8748012
0.2624689,1.0,0.7000000000000001,0.030269822,-0.03146653,440.0,0.084917456,21,440.0,0.010349616,0.87463456
0.26247495,1.0,0.6666666666666666,0.030234113,-0.051883217,460.0,0.08475599,22,460.0,0.0134294825,0.8746832
0.26256055,1.0,0.625,0.030229121,-0.045986235,480.0,0.084715836,23,480.0,0.01004935,0.8750131
0.262625,1.0,0.725,0.03021931,-0.020812549,500.0,0.08466213,24,500.0,0.008744056,0.8752839
0.26258698,1.0,0.6416666666666667,0.030221468,-0.034499366,520.0,0.084621064,25,520.0,0.010530382,0.8751397
0.26256326,1.0,0.7166666666666668,0.0302315,-0.03558341,540.0,0.08462089,26,540.0,0.011276367,0.87502956
0.26257855,1.0,0.6583333333333333,0.03021867,-0.012458068,560.0,0.08454082,27,560.0,0.010726235,0.87509185
0.26253864,1.0,0.7083333333333334,0.030267254,-0.06771123,580.0,0.08472121,28,580.0,0.0085811205,0.8749644
0.26248544,1.0,0.65,0.030238518,-0.037172165,600.0,0.08459044,29,600.0,0.011417248,0.8747596
0.2624784,1.0,0.6583333333333333,0.030246088,-0.06619276,620.0,0.084613346,30,620.0,0.008948724,0.8747254
0.26245406,1.0,0.7083333333333334,0.030241534,-0.065556176,640.0,0.084564246,31,640.0,0.008812976,0.8746199
0.26246554,1.0,0.7333333333333334,0.030255297,-0.04288265,660.0,0.084578216,32,660.0,0.010090715,0.87464195
0.2624894,1.0,0.7416666666666667,0.030260077,-0.050852552,680.0,0.084587194,33,680.0,0.0076412163,0.87473005
