test/success_rate,train/critic_loss,train/success_rate,stats_o/std,test/episode,stats_o/mean,test/mean_Q,stats_g/std,train/episode,epoch,stats_g/mean
0.6583333333333333,0.2662064,0.20833333333333334,0.030828496,20.0,0.2624236,-0.38369235,0.09587338,20.0,0,0.8741943
0.9666666666666667,0.17366797,0.5583333333333333,0.028983846,40.0,0.26278752,-0.3366312,0.08895283,40.0,1,0.87506825
1.0,0.12061169,0.7416666666666667,0.028519446,60.0,0.26276425,-0.2930503,0.08668523,60.0,2,0.8752096
1.0,0.10678011,0.7999999999999999,0.028743083,80.0,0.26321882,-0.29148185,0.08658272,80.0,3,0.8774534
1.0,0.11942816,0.8166666666666665,0.02905252,100.0,0.26300794,-0.3203939,0.0863503,100.0,4,0.876631
1.0,0.14821303,0.7833333333333333,0.029461315,120.0,0.26265725,-0.26411077,0.08673894,120.0,5,0.87533635
1.0,0.19717629,0.8666666666666666,0.029732963,140.0,0.26241407,-0.29678103,0.08664042,140.0,6,0.8744547
1.0,0.26728195,0.7999999999999999,0.029940972,160.0,0.26243013,-0.33601078,0.08658588,160.0,7,0.87452537
1.0,0.35286054,0.8333333333333334,0.030215025,180.0,0.2623683,-0.3885335,0.08689549,180.0,8,0.87427217
1.0,0.46355188,0.8083333333333332,0.030413752,200.0,0.26242635,-0.48464283,0.08707953,200.0,9,0.87441295
1.0,0.5706106,0.8583333333333334,0.030601108,220.0,0.26232654,-0.49142444,0.08730086,220.0,10,0.8740907
1.0,0.7450988,0.8416666666666667,0.030730883,240.0,0.26212034,-0.64659923,0.08746025,240.0,11,0.87339526
1.0,1.0633727,0.7999999999999999,0.030827379,260.0,0.26215973,-0.87949735,0.08745671,260.0,12,0.87349606
1.0,1.3118669,0.8083333333333332,0.030979892,280.0,0.26239073,-1.345796,0.0876846,280.0,13,0.87436444
1.0,1.4385678,0.8083333333333332,0.030989489,300.0,0.26238728,-1.2754008,0.0875271,300.0,14,0.8743813
1.0,2.2669895,0.8416666666666668,0.031102663,320.0,0.2624659,-1.4891081,0.08772866,320.0,15,0.87467337
1.0,3.6227703,0.8666666666666667,0.031198224,340.0,0.26240668,-1.7370143,0.08792987,340.0,16,0.87446505
1.0,4.4147687,0.7999999999999999,0.031279452,360.0,0.26242426,-2.0448217,0.088021316,360.0,17,0.8745239
1.0,5.3545737,0.8083333333333332,0.03136807,380.0,0.26231933,-2.644694,0.08815365,380.0,18,0.87412935
1.0,7.5868115,0.85,0.03152032,400.0,0.26239735,-4.4578843,0.08853912,400.0,19,0.8743903
1.0,11.207458,0.8083333333333332,0.031617813,420.0,0.2624899,-4.902536,0.08872191,420.0,20,0.87470484
1.0,17.008621,0.8083333333333332,0.031654634,440.0,0.26243708,-5.364727,0.08871702,440.0,21,0.87453955
1.0,23.26493,0.8666666666666667,0.031666536,460.0,0.26243824,-7.0693116,0.08864519,460.0,22,0.87456036
1.0,34.13415,0.7666666666666666,0.03172011,480.0,0.26254752,-9.310599,0.08873955,480.0,23,0.87495464
1.0,46.544292,0.775,0.031754106,500.0,0.2626198,-10.485757,0.08876494,500.0,24,0.875248
