test/episode,stats_g/std,test/mean_Q,stats_g/mean,epoch,stats_o/std,train/critic_loss,train/episode,stats_o/mean,test/success_rate,train/success_rate
20.0,0.094454475,-0.5943451,0.8671462,0,0.030327464,0.5481147,20.0,0.26065224,0.19166666666666665,0.03333333333333333
40.0,0.08698434,-0.6811506,0.864737,1,0.028311059,0.42703286,40.0,0.25993943,0.8500000000000001,0.18333333333333335
60.0,0.08494782,-0.5220365,0.8679374,2,0.028022742,0.34957087,60.0,0.26075673,1.0,0.6916666666666668
80.0,0.08484308,-0.45469245,0.872124,3,0.028228184,0.31322348,80.0,0.26177877,1.0,0.8333333333333334
100.0,0.08444414,-0.5004058,0.8727196,4,0.028476233,0.35332048,100.0,0.2619823,1.0,0.8833333333333334
120.0,0.08452483,-0.48221263,0.87221956,5,0.02882258,0.4153118,120.0,0.2618739,1.0,0.8916666666666666
140.0,0.084393054,-0.42724276,0.87198234,6,0.029149836,0.47349885,140.0,0.26182252,1.0,0.9416666666666665
160.0,0.08422977,-0.41366997,0.87236595,7,0.029410878,0.6272885,160.0,0.2619224,1.0,0.9083333333333333
180.0,0.084460326,-0.3597,0.87244755,8,0.029734557,0.74972963,180.0,0.26193482,1.0,0.9416666666666668
200.0,0.0845831,-0.3552548,0.87283534,9,0.029977953,0.8700233,200.0,0.2620628,1.0,0.9249999999999999
220.0,0.084792726,-0.31080562,0.8727215,10,0.030213064,0.9892373,220.0,0.262013,1.0,0.9666666666666667
240.0,0.08490741,-0.3026615,0.8722925,11,0.03038078,1.0705496,240.0,0.26187855,1.0,0.9416666666666668
260.0,0.08485835,-0.3208511,0.87258357,12,0.03049075,1.1940552,260.0,0.26196444,1.0,0.9583333333333334
280.0,0.084956996,-0.35715488,0.8734598,13,0.03063265,1.5872746,280.0,0.2621997,1.0,0.9083333333333332
300.0,0.084808476,-0.2891333,0.8734717,14,0.03067171,1.4295802,300.0,0.26219675,1.0,0.9500000000000001
320.0,0.084976494,-0.3278331,0.8738263,15,0.030789187,1.7579689,320.0,0.2622878,1.0,0.9583333333333334
340.0,0.08510081,-0.31374112,0.87371725,16,0.030885598,2.449692,340.0,0.26225454,1.0,0.9833333333333334
360.0,0.08514988,-0.25768515,0.8738424,17,0.030963475,2.088874,360.0,0.26228446,1.0,0.9249999999999999
380.0,0.08522868,-0.29109722,0.8735411,18,0.031038428,1.8181043,380.0,0.26220357,1.0,0.9333333333333332
400.0,0.08553141,-0.30692902,0.8738826,19,0.031169608,2.1429617,400.0,0.26230127,1.0,0.9
420.0,0.0856782,-0.24927473,0.87425417,20,0.03125126,2.9209096,420.0,0.26240933,1.0,0.9166666666666666
440.0,0.08566525,-0.28498754,0.8741341,21,0.031283304,2.9043188,440.0,0.26237065,1.0,0.9166666666666666
460.0,0.08556759,-0.2369467,0.87426805,22,0.03128064,2.5877447,460.0,0.26240733,1.0,0.9416666666666668
480.0,0.08561933,-0.3078511,0.8747085,23,0.031318042,2.300927,480.0,0.26252773,1.0,0.8916666666666666
500.0,0.08559165,-0.23069477,0.8750458,24,0.03133512,1.6266222,500.0,0.2626162,1.0,0.9416666666666668
520.0,0.08561522,-0.23699467,0.87495667,25,0.031373043,3.2862122,520.0,0.26258925,1.0,0.9416666666666665
540.0,0.08568039,-0.3168828,0.8749085,26,0.03140937,3.2957308,540.0,0.26257575,1.0,0.9166666666666666
560.0,0.08561611,-0.24664678,0.874942,27,0.031414997,2.551393,560.0,0.26258707,1.0,0.9666666666666667
580.0,0.08582368,-0.28080463,0.87487286,28,0.031487234,2.529144,580.0,0.26256615,1.0,0.975
600.0,0.08572977,-0.24529473,0.87466985,29,0.03147866,1.9756517,600.0,0.26250988,1.0,0.9249999999999999
620.0,0.0857966,-0.37465128,0.8746311,30,0.03150512,2.2966828,620.0,0.26249933,1.0,0.9416666666666668
640.0,0.08578694,-0.4024183,0.8745927,31,0.03151924,3.708451,640.0,0.26249126,1.0,0.9416666666666668
660.0,0.085842215,-0.30846998,0.8745964,32,0.03155099,0.9649331,660.0,0.26249397,1.0,0.9333333333333332
680.0,0.08587444,-0.34654227,0.874671,33,0.031568844,2.5996754,680.0,0.2625181,1.0,0.9583333333333334
700.0,0.08589684,-0.25791726,0.87488014,34,0.03158428,2.1177716,700.0,0.26257914,1.0,0.9499999999999998
720.0,0.08587303,-0.3059866,0.8749437,35,0.031582333,2.5491319,720.0,0.26259547,1.0,0.9083333333333333
740.0,0.08583418,-0.3598065,0.87509614,36,0.031582326,2.841922,740.0,0.26263535,1.0,0.9583333333333334
760.0,0.085853495,-0.5593088,0.87509847,37,0.03159168,1.557285,760.0,0.26263374,1.0,0.9083333333333332
780.0,0.0859155,-0.4821441,0.87507313,38,0.03161607,1.5708437,780.0,0.26262212,1.0,0.9416666666666668
800.0,0.08596283,-0.5158351,0.8751276,39,0.031636976,2.1329317,800.0,0.2626338,0.9916666666666667,0.9416666666666668
820.0,0.08606248,-0.71175534,0.8751338,40,0.031673685,1.2164091,820.0,0.26263204,1.0,0.9
840.0,0.08610488,-0.6173188,0.87530977,41,0.03169375,1.7044867,840.0,0.26268238,1.0,0.9416666666666668
860.0,0.08613559,-0.573888,0.87525064,42,0.031709976,1.2866024,860.0,0.26267114,1.0,0.9333333333333332
880.0,0.08614517,-0.6874264,0.87538785,43,0.03171745,4.1223283,880.0,0.2627102,1.0,0.9333333333333332
900.0,0.08617556,-1.1419271,0.87535685,44,0.031736165,2.0815454,900.0,0.26270586,0.975,0.9083333333333332
920.0,0.08616447,-1.3234811,0.8754482,45,0.031737097,2.099259,920.0,0.26273155,0.975,0.9166666666666666
940.0,0.086164616,-1.0049825,0.87546617,46,0.031741776,2.7794368,940.0,0.2627371,0.9666666666666667,0.9333333333333332
960.0,0.08632863,-1.0401679,0.8755105,47,0.031796116,4.4891505,960.0,0.26275095,0.9916666666666667,0.9
980.0,0.086324625,-1.9541264,0.875597,48,0.031803757,3.3370712,980.0,0.2627778,0.9666666666666667,0.9
1000.0,0.086297266,-2.3003109,0.8757108,49,0.031802014,3.690134,1000.0,0.2628071,0.9583333333333334,0.9083333333333333
