stats_o/mean,test/success_rate,stats_g/std,test/ag_g_dist,stats_g/mean,train/success_rate,test/mean_Q,train/episode,epoch,train/critic_loss,test/episode,stats_o/std
0.17719828,0.0,0.121542625,0.47693214,0.7410831,0.0016666666666666668,-2.480277,100.0,0,0.011024608,20.0,0.05407237
0.17688818,0.0,0.12211344,0.4436125,0.7436893,0.006666666666666667,-4.4334607,200.0,1,0.00903375,40.0,0.057095457
0.17766805,0.0,0.12537156,0.4289322,0.7460978,0.0033333333333333335,-6.432918,300.0,2,0.010708343,60.0,0.05786437
0.178364,0.008333333333333333,0.13176923,0.45185962,0.748816,0.005,-8.3451605,400.0,3,0.014220362,80.0,0.060714047
0.17921035,0.03333333333333333,0.13756634,0.43075612,0.751726,0.01,-9.958676,500.0,4,0.02054081,100.0,0.063010685
0.17936017,0.008333333333333333,0.14203292,0.44739267,0.7524591,0.023333333333333334,-11.606618,600.0,5,0.040816274,120.0,0.065912485
0.17974102,0.05833333333333333,0.14894272,0.3940134,0.7547272,0.026666666666666672,-12.1547785,700.0,6,0.038212657,140.0,0.0694905
0.1798168,0.06666666666666667,0.15188436,0.3758643,0.75635266,0.035,-13.213806,800.0,7,0.096290946,160.0,0.07029614
0.180229,0.03333333333333333,0.15687113,0.37401548,0.75885206,0.03166666666666667,-14.527465,900.0,8,0.058146942,180.0,0.07284155
0.18071242,0.06666666666666667,0.1633922,0.36733022,0.76123923,0.049999999999999996,-14.5492935,1000.0,9,0.08408883,200.0,0.076431654
0.18114193,0.10000000000000002,0.16754796,0.36661175,0.7647551,0.065,-14.603101,1100.0,10,0.20974505,220.0,0.08021491
0.18164486,0.10833333333333334,0.17133336,0.35861742,0.767744,0.04833333333333333,-14.231937,1200.0,11,0.14695586,240.0,0.083504915
0.18218763,0.19166666666666665,0.17447276,0.3229216,0.77048665,0.04666666666666667,-13.897835,1300.0,12,0.16926448,260.0,0.08656133
0.18272309,0.08333333333333333,0.17706324,0.29270473,0.77316046,0.07166666666666666,-14.655972,1400.0,13,0.12829225,280.0,0.089642905
0.18317454,0.15833333333333335,0.1794719,0.28855482,0.7758551,0.07666666666666666,-13.856116,1500.0,14,0.4016944,300.0,0.091966905
0.18344028,0.15833333333333333,0.1824034,0.28018868,0.7776544,0.085,-14.404472,1600.0,15,0.22701795,320.0,0.09384074
0.18357734,0.21666666666666667,0.18517977,0.23455642,0.77922505,0.09333333333333334,-13.403914,1700.0,16,0.2896444,340.0,0.095991045
0.18399279,0.25,0.18653852,0.21935369,0.7818544,0.11666666666666665,-13.352811,1800.0,17,0.21122622,360.0,0.09734878
