stats_g/std,train/critic_loss,stats_o/std,test/episode,train/success_rate,stats_g/mean,epoch,stats_o/mean,test/success_rate,train/episode,test/ag_g_dist,test/mean_Q
0.12406495,0.18737389,0.059521813,20.0,0.0016666666666666668,0.74129885,0,0.17700364,0.0,100.0,0.47845325,-2.5038822
0.12222877,0.17967848,0.058698162,40.0,0.005,0.7431894,1,0.1765108,0.0,200.0,0.44692838,-4.423537
0.12542446,0.17582445,0.059583932,60.0,0.01,0.7447799,2,0.1771251,0.008333333333333333,300.0,0.42776796,-6.5082593
0.13347052,0.18837428,0.061574217,80.0,0.006666666666666667,0.7462825,3,0.17770799,0.0,400.0,0.46884212,-8.440918
0.14291859,0.1856712,0.065790996,100.0,0.005,0.74898696,4,0.17853749,0.025000000000000005,500.0,0.44597125,-10.015384
0.15009513,0.20821404,0.06915233,120.0,0.01,0.7502187,5,0.1787738,0.016666666666666666,600.0,0.48091713,-11.78035
0.15969181,0.22029324,0.07352414,140.0,0.005,0.7536895,6,0.17977001,0.016666666666666666,700.0,0.46295157,-12.917664
0.16655861,0.32432812,0.076507255,160.0,0.015,0.75598437,7,0.1801462,0.03333333333333333,800.0,0.3969113,-12.661698
0.17305107,0.32463777,0.079445355,180.0,0.011666666666666667,0.7585458,8,0.18072897,0.008333333333333333,900.0,0.46548358,-14.6744
0.17844276,0.51735145,0.08253149,200.0,0.03166666666666667,0.7616348,9,0.18132468,0.03333333333333333,1000.0,0.39992967,-14.994923
0.18419884,0.6810009,0.085706145,220.0,0.035,0.76585746,10,0.18201704,0.05000000000000001,1100.0,0.38508606,-14.917874
0.18953544,0.781516,0.08915123,240.0,0.024999999999999998,0.77003,11,0.18276747,0.041666666666666664,1200.0,0.40898082,-16.292795
0.19370699,0.66918975,0.091692895,260.0,0.043333333333333335,0.77408886,12,0.18349,0.10000000000000002,1300.0,0.35319594,-16.789156
0.19711511,1.2238165,0.0935911,280.0,0.05166666666666667,0.77807933,13,0.18404691,0.09166666666666667,1400.0,0.331499,-16.435648
0.20045954,1.1501361,0.09558735,300.0,0.05333333333333334,0.7818725,14,0.18455929,0.075,1500.0,0.326609,-17.648783
0.20278959,1.3290417,0.09740103,320.0,0.06333333333333334,0.78496057,15,0.18498306,0.08333333333333333,1600.0,0.29356822,-16.908966
0.20541805,1.466518,0.09883387,340.0,0.05833333333333333,0.78745717,16,0.1853254,0.07500000000000001,1700.0,0.28873137,-18.83227
0.20655775,2.0975063,0.09970025,360.0,0.05333333333333334,0.7901821,17,0.18573236,0.025000000000000005,1800.0,0.29692227,-19.76334
0.20833264,1.1508613,0.10106029,380.0,0.051666666666666666,0.79260784,18,0.18618794,0.05833333333333333,1900.0,0.31715187,-20.981924
0.20996232,2.5106246,0.102409296,400.0,0.03833333333333333,0.7946646,19,0.18651439,0.05833333333333334,2000.0,0.29270306,-20.100616
0.21092908,3.5514247,0.103373565,420.0,0.07166666666666667,0.79665494,20,0.18685251,0.11666666666666668,2100.0,0.2596887,-18.45736
0.21147202,1.6276067,0.10398644,440.0,0.06,0.79879993,21,0.18729144,0.20833333333333334,2200.0,0.25054458,-16.514025
0.21234453,3.2317598,0.10484157,460.0,0.065,0.8005093,22,0.18761389,0.05833333333333333,2300.0,0.30259672,-22.51056
0.21332228,4.0656905,0.10591065,480.0,0.07500000000000001,0.80236727,23,0.18794674,0.06666666666666667,2400.0,0.29551625,-22.61814
0.21472432,2.661344,0.10681962,500.0,0.06166666666666667,0.8042322,24,0.18828201,0.20000000000000004,2500.0,0.26147643,-18.153528
0.21495368,5.726097,0.107098676,520.0,0.07833333333333332,0.80546457,25,0.18854535,0.041666666666666664,2600.0,0.28887615,-24.616966
0.21544199,3.525849,0.10791393,540.0,0.09166666666666667,0.8066469,26,0.18873386,0.09999999999999999,2700.0,0.23545516,-20.443466
0.2153399,4.3125343,0.108152725,560.0,0.08333333333333333,0.8079042,27,0.1889923,0.10000000000000002,2800.0,0.2528136,-21.607977
0.21510814,4.620891,0.10840643,580.0,0.105,0.8089493,28,0.18914391,0.14166666666666666,2900.0,0.23813719,-21.643911
0.21477436,3.9195664,0.108534,600.0,0.07833333333333332,0.81000096,29,0.18927592,0.30833333333333335,3000.0,0.21832812,-16.516394
0.21448612,6.9827876,0.10849753,620.0,0.09000000000000001,0.81096643,30,0.1894474,0.05000000000000001,3100.0,0.2329814,-23.77418
0.21403408,6.8303065,0.1084832,640.0,0.09166666666666667,0.81202906,31,0.18956341,0.17500000000000002,3200.0,0.22161175,-21.102621
0.21359034,7.822698,0.10858325,660.0,0.09833333333333334,0.8125619,32,0.18962032,0.09166666666666667,3300.0,0.24562775,-24.276062
0.2129308,6.6726155,0.10857474,680.0,0.11333333333333334,0.8132825,33,0.18975674,0.2333333333333333,3400.0,0.21632509,-17.985565
0.2124282,7.533834,0.108626835,700.0,0.09666666666666666,0.8136731,34,0.18985264,0.16666666666666666,3500.0,0.23576431,-22.578493
0.21174486,6.8297276,0.10858505,720.0,0.10333333333333333,0.81425834,35,0.19003111,0.18333333333333335,3600.0,0.23377894,-19.668661
0.2113326,7.778357,0.10862806,740.0,0.115,0.814563,36,0.19015568,0.19166666666666665,3700.0,0.23962903,-23.56898
0.21077712,9.171539,0.10876606,760.0,0.12333333333333334,0.8147475,37,0.19021356,0.20833333333333334,3800.0,0.22035046,-20.074028
0.21037118,9.139417,0.108842134,780.0,0.12,0.8151565,38,0.19032331,0.20833333333333334,3900.0,0.19824322,-19.312143
0.2098763,6.8438888,0.108966,800.0,0.115,0.8155058,39,0.19043092,0.25833333333333336,4000.0,0.23276953,-17.246084
0.20951603,7.320728,0.10911751,820.0,0.11333333333333334,0.81583184,40,0.1905156,0.3083333333333333,4100.0,0.23212141,-16.61202
0.20927382,8.609202,0.10919673,840.0,0.11666666666666665,0.81584835,41,0.1905481,0.27499999999999997,4200.0,0.22277589,-16.678984
0.20886897,6.5446343,0.10943558,860.0,0.09666666666666666,0.81595165,42,0.19060488,0.325,4300.0,0.19814932,-17.370552
0.20844251,7.3183765,0.10958251,880.0,0.12166666666666666,0.81624025,43,0.19071205,0.35000000000000003,4400.0,0.19925761,-16.147585
0.2080946,10.0866785,0.10972661,900.0,0.125,0.8163391,44,0.19079356,0.20833333333333334,4500.0,0.22651446,-17.896074
0.20758428,8.409726,0.10980054,920.0,0.14,0.81645316,45,0.19083416,0.25833333333333336,4600.0,0.21492112,-19.909267
0.20731132,10.695538,0.10988439,940.0,0.12833333333333333,0.8167119,46,0.19088095,0.19166666666666665,4700.0,0.21982546,-19.769835
0.20693296,9.841168,0.11008038,960.0,0.11833333333333335,0.81691194,47,0.190953,0.35833333333333334,4800.0,0.21624511,-16.292715
0.20657165,13.526273,0.11007639,980.0,0.10333333333333333,0.8170844,48,0.19102825,0.28333333333333327,4900.0,0.20242558,-18.33535
0.20623754,7.723496,0.110139646,1000.0,0.14833333333333334,0.81730604,49,0.19106384,0.19999999999999998,5000.0,0.24768603,-19.887154
