test/success_rate,train/success_rate,stats_g/std,train/critic_loss,stats_o/std,test/episode,stats_g/mean,test/mean_Q,train/episode,stats_o/mean,epoch
0.0,0.0033333333333333335,0.11863192,0.25537577,0.05757648,20.0,0.7420692,-2.9091005,100.0,0.17726666,0
0.0,0.0033333333333333335,0.12782659,3.253322,0.06079654,40.0,0.74234533,-8.738215,200.0,0.17695351,1
0.0,0.008333333333333333,0.15118943,30.692549,0.07180249,60.0,0.7477328,-22.200455,300.0,0.17871612,2
0.0,0.005,0.17477942,69.506004,0.085725375,80.0,0.75709397,-39.39286,400.0,0.18121654,3
0.0,0.005,0.18200447,59.381283,0.089364804,100.0,0.76075107,-47.351086,500.0,0.1823476,4
0.0,0.0,0.18388546,22.86925,0.08954223,120.0,0.7592003,-49.053543,600.0,0.18180323,5
0.0,0.0033333333333333335,0.1833424,15.067431,0.088139065,140.0,0.7591176,-49.552197,700.0,0.18177061,6
0.0,0.0033333333333333335,0.18186478,19.026886,0.0868176,160.0,0.75834614,-49.7529,800.0,0.18140052,7
0.0,0.0016666666666666668,0.18091084,13.132091,0.08643875,180.0,0.7570691,-49.931683,900.0,0.18102564,8
0.008333333333333333,0.0,0.18031676,9.325977,0.0861439,200.0,0.7559081,-49.97049,1000.0,0.18093163,9
0.0,0.0016666666666666668,0.17943405,10.772714,0.08574707,220.0,0.75512713,-49.705395,1100.0,0.18070632,10
0.0,0.0,0.17863782,8.629943,0.08513086,240.0,0.75445586,-49.65384,1200.0,0.18044174,11
0.0,0.0016666666666666668,0.17793973,8.500811,0.08457297,260.0,0.7540834,-49.745728,1300.0,0.1802847,12
0.0,0.0016666666666666668,0.17704181,10.410587,0.08425936,280.0,0.75346684,-49.628387,1400.0,0.18011683,13
0.0,0.0016666666666666668,0.17583866,9.934543,0.08343581,300.0,0.7531488,-49.56679,1500.0,0.18002175,14
0.008333333333333333,0.0016666666666666668,0.1751985,9.9079895,0.082772434,320.0,0.7529092,-49.818604,1600.0,0.179995,15
0.0,0.0,0.17409162,10.284652,0.0819075,340.0,0.7525762,-49.4844,1700.0,0.17984569,16
0.008333333333333333,0.0,0.17297785,11.252747,0.081282586,360.0,0.752608,-49.607983,1800.0,0.17980282,17
0.0,0.0033333333333333335,0.17214467,9.418962,0.080801114,380.0,0.75247383,-49.995605,1900.0,0.17977333,18
0.0,0.006666666666666667,0.17116569,8.374947,0.08015309,400.0,0.7522769,-49.41936,2000.0,0.17970003,19
0.0,0.005,0.17034829,10.560439,0.079587825,420.0,0.7521456,-49.878754,2100.0,0.1796264,20
0.008333333333333333,0.0016666666666666668,0.16966774,8.984817,0.07913804,440.0,0.75197834,-49.381367,2200.0,0.17957371,21
0.008333333333333333,0.0033333333333333335,0.16876495,10.141246,0.07877902,460.0,0.7518487,-49.70396,2300.0,0.17951582,22
0.0,0.0016666666666666668,0.1682172,9.285777,0.07856717,480.0,0.75167674,-49.74889,2400.0,0.17946593,23
0.008333333333333333,0.0,0.16788916,7.134628,0.07816816,500.0,0.7517111,-49.51364,2500.0,0.17942266,24
0.0,0.0033333333333333335,0.167781,9.406039,0.07781615,520.0,0.7516275,-49.80486,2600.0,0.17937934,25
0.0,0.0016666666666666668,0.16714431,8.0701685,0.077383004,540.0,0.7515189,-49.84688,2700.0,0.17929918,26
0.0,0.0,0.16693063,11.979366,0.07708205,560.0,0.7514021,-49.75091,2800.0,0.17926073,27
0.0,0.0,0.16625057,11.556801,0.076772735,580.0,0.7511732,-50.022736,2900.0,0.17921114,28
0.0,0.0,0.1659141,10.961232,0.07655589,600.0,0.7511029,-49.844402,3000.0,0.17920066,29
0.0,0.0,0.16538657,9.206158,0.07621269,620.0,0.7510991,-49.664814,3100.0,0.17920323,30
