test/mean_Q,train/success_rate,stats_g/std,train/critic_loss,stats_o/mean,test/episode,stats_o/std,stats_g/mean,test/success_rate,train/episode,epoch,test/ag_g_dist
-2.6372535,0.0,0.23068309,0.09399843,0.20081241,20.0,0.76519555,0.3757561,0.0,100.0,0,0.9783621
-4.6968617,0.0,0.23084612,0.10126794,0.20285119,40.0,0.7582593,0.3822848,0.0,200.0,1,0.98019284
-6.7446513,0.0,0.23162754,0.10124415,0.20039427,60.0,0.7543042,0.38248852,0.0,300.0,2,0.94098073
-9.02731,0.0,0.23148496,0.108804196,0.19946878,80.0,0.7520918,0.3824999,0.0,400.0,3,1.0213279
-11.068479,0.0,0.23103027,0.124595046,0.1994849,100.0,0.7511726,0.38246462,0.0,500.0,4,0.9774868
-13.071693,0.0,0.23189314,0.1219705,0.1989715,120.0,0.75027174,0.38172802,0.0,600.0,5,1.0080463
-14.833547,0.0016666666666666668,0.23217322,0.13151266,0.19889955,140.0,0.75131625,0.38201115,0.0,700.0,6,1.088743
-16.376404,0.0,0.23207681,0.13998833,0.19877239,160.0,0.75288373,0.38211188,0.0,800.0,7,0.986582
-17.421581,0.0,0.23234864,0.16200922,0.19852889,180.0,0.75532603,0.38194945,0.016666666666666666,900.0,8,0.9284246
-19.698362,0.0016666666666666668,0.23275103,0.16089274,0.19808556,200.0,0.7573201,0.38206974,0.0,1000.0,9,1.0203899
-20.401476,0.0,0.23300467,0.16642767,0.19783348,220.0,0.7594928,0.3821654,0.025000000000000005,1100.0,10,0.9702825
-22.318106,0.0,0.23372757,0.18069488,0.19748825,240.0,0.7618966,0.38175258,0.0,1200.0,11,1.0414284
-23.10415,0.005,0.2345562,0.1982156,0.19739734,260.0,0.76540256,0.38134554,0.008333333333333333,1300.0,12,1.0014448
-24.474432,0.0,0.23541443,0.18275322,0.1969894,280.0,0.7691689,0.38059923,0.016666666666666666,1400.0,13,1.0140595
-26.775194,0.0,0.23600702,0.20604594,0.19667989,300.0,0.7722287,0.37993875,0.0,1500.0,14,1.0595378
-26.618073,0.0016666666666666668,0.23649664,0.21898116,0.1964467,320.0,0.7762368,0.37941322,0.0,1600.0,15,0.9344654
-27.970274,0.0033333333333333335,0.23715775,0.24264191,0.19622667,340.0,0.78008395,0.37843993,0.0,1700.0,16,0.9470296
