test/episode,epoch,stats_o/std,stats_g/std,train/episode,test/ag_g_dist,stats_g/mean,stats_o/mean,test/success_rate,train/critic_loss,test/mean_Q,train/success_rate
20.0,0,0.049629908,0.09164376,100.0,0.23725207,0.84227294,0.20297234,0.041666666666666664,0.08541667,-2.7645595,0.03333333333333333
40.0,1,0.05070306,0.092366606,200.0,0.22214808,0.8445916,0.20326357,0.05000000000000001,0.08336886,-4.5611777,0.041666666666666664
60.0,2,0.050930325,0.09360718,300.0,0.21918744,0.8450058,0.20371224,0.05000000000000001,0.07604519,-6.5388794,0.04
80.0,3,0.05535841,0.0947017,400.0,0.22997339,0.84527165,0.20403945,0.05000000000000001,0.08346292,-8.270412,0.03833333333333333
100.0,4,0.056018133,0.09524116,500.0,0.23519899,0.8450427,0.20380355,0.025000000000000005,0.087883435,-10.469092,0.05166666666666667
120.0,5,0.05834462,0.09697965,600.0,0.23987788,0.84510356,0.20386375,0.03333333333333333,0.090202935,-11.845733,0.036666666666666674
140.0,6,0.06263631,0.09795349,700.0,0.26043049,0.8451521,0.2039808,0.041666666666666664,0.13027854,-13.167111,0.05000000000000001
160.0,7,0.06665632,0.1001363,800.0,0.23722614,0.84487396,0.20413394,0.125,0.09764568,-13.719304,0.055
180.0,8,0.070466734,0.10155973,900.0,0.21552907,0.84455156,0.20420992,0.15,0.115897365,-13.489614,0.07
200.0,9,0.07410321,0.10205424,1000.0,0.21903746,0.84442,0.20415668,0.15833333333333333,0.1494118,-14.11533,0.11666666666666665
220.0,10,0.07792731,0.10303234,1100.0,0.19655962,0.84456706,0.20422764,0.19999999999999998,0.19402592,-13.3586855,0.15333333333333335
240.0,11,0.08170806,0.10302391,1200.0,0.22947629,0.84466386,0.20434694,0.16666666666666666,0.11762301,-15.263183,0.19666666666666668
260.0,12,0.08538044,0.10266914,1300.0,0.19810505,0.844531,0.20429952,0.39999999999999997,0.12889679,-13.5295725,0.25666666666666665
280.0,13,0.088386096,0.10325503,1400.0,0.1750877,0.84462684,0.20434897,0.45,0.16344373,-11.805612,0.3116666666666667
300.0,14,0.09141468,0.10326012,1500.0,0.18576725,0.8446648,0.20452833,0.5333333333333333,0.17610687,-12.550868,0.4033333333333333
320.0,15,0.09312412,0.10339669,1600.0,0.16437449,0.84452176,0.20448267,0.5583333333333333,0.1740697,-11.505901,0.36000000000000004
340.0,16,0.095555104,0.10372097,1700.0,0.1577832,0.8444814,0.20455925,0.65,0.2362091,-10.233487,0.38166666666666665
360.0,17,0.09761902,0.10393548,1800.0,0.1669818,0.8444988,0.2045302,0.6166666666666667,0.16451468,-11.522201,0.435
380.0,18,0.09946176,0.10433901,1900.0,0.17983437,0.84444875,0.20448814,0.6416666666666666,0.16936396,-11.451024,0.40166666666666667
400.0,19,0.101575546,0.10494324,2000.0,0.16850527,0.84469765,0.20449604,0.6083333333333333,0.20930964,-11.29285,0.4566666666666667
420.0,20,0.10290911,0.10513234,2100.0,0.117847145,0.8447551,0.20448025,0.8000000000000002,0.2003814,-6.6447196,0.54
440.0,21,0.10432464,0.10598857,2200.0,0.09472617,0.8449731,0.20447017,0.8666666666666666,0.28039327,-4.1185427,0.5116666666666667
460.0,22,0.10523003,0.10640464,2300.0,0.07926323,0.8453261,0.20459096,0.8083333333333332,0.53511465,-2.5959418,0.5533333333333333
480.0,23,0.10600272,0.10668161,2400.0,0.076784365,0.8458006,0.20475967,0.9499999999999998,0.259608,-2.0026853,0.5483333333333333
500.0,24,0.106823005,0.10712594,2500.0,0.078323245,0.8463311,0.20491713,0.8416666666666667,0.23123157,-1.8405491,0.5366666666666666
520.0,25,0.10726714,0.107303746,2600.0,0.08060708,0.84683776,0.20499565,0.8666666666666667,0.23210144,-1.9718661,0.57
540.0,26,0.10782847,0.10729971,2700.0,0.07972849,0.84731096,0.20500161,0.9,0.14798231,-1.8850859,0.5683333333333334
560.0,27,0.10830631,0.10721008,2800.0,0.06688348,0.8476326,0.20502658,0.9499999999999998,0.24417627,-1.5412525,0.5766666666666667
580.0,28,0.10864649,0.107209414,2900.0,0.06681911,0.84809285,0.20514892,0.9249999999999999,0.14265232,-1.4702817,0.5866666666666667
600.0,29,0.10887083,0.10720917,3000.0,0.060979743,0.84844273,0.20518017,0.9583333333333334,0.33105454,-1.3017378,0.5766666666666668
620.0,30,0.10901594,0.107171096,3100.0,0.0704917,0.84875137,0.20524888,0.9083333333333333,0.2162283,-1.4864744,0.5783333333333333
640.0,31,0.10921762,0.107137255,3200.0,0.07367257,0.84895235,0.20537563,0.9166666666666666,0.24951375,-1.4098672,0.6266666666666666
660.0,32,0.10928934,0.10707835,3300.0,0.062758505,0.8490999,0.20541666,0.9583333333333334,0.16062568,-1.2055635,0.5850000000000001
680.0,33,0.10945672,0.10697386,3400.0,0.06926848,0.8493553,0.20547788,0.9666666666666667,0.16829272,-1.2744433,0.5933333333333333
700.0,34,0.1095747,0.106930204,3500.0,0.06612752,0.84950495,0.20551868,0.9666666666666667,0.19534011,-1.2384237,0.6066666666666666
720.0,35,0.109699,0.10690873,3600.0,0.068699695,0.84979826,0.20555335,0.9666666666666667,0.15394747,-1.1967999,0.5800000000000001
740.0,36,0.10974458,0.10674047,3700.0,0.0653133,0.8499655,0.20558698,0.975,0.18161134,-1.2831448,0.62
760.0,37,0.1097342,0.1066942,3800.0,0.06706905,0.85020447,0.20564719,0.9666666666666667,0.35182023,-1.1217989,0.5716666666666667
780.0,38,0.10964841,0.10658369,3900.0,0.065943636,0.85034615,0.20565379,0.975,0.16704945,-1.0829246,0.6116666666666667
800.0,39,0.109670006,0.10646156,4000.0,0.06634306,0.85049295,0.20573056,0.9666666666666667,0.15828945,-1.0789503,0.6233333333333334
820.0,40,0.10962823,0.106337,4100.0,0.0682466,0.85063404,0.20576556,0.9583333333333334,0.2871181,-1.1537995,0.6066666666666666
840.0,41,0.10945296,0.10614733,4200.0,0.063756004,0.850744,0.20580415,0.9666666666666667,0.20353706,-0.99214333,0.6583333333333333
860.0,42,0.109393805,0.106135525,4300.0,0.06732612,0.8508547,0.2058621,0.9583333333333334,0.20277222,-0.9768708,0.5833333333333334
880.0,43,0.10945872,0.10609279,4400.0,0.06476525,0.85097337,0.2058719,0.9916666666666667,0.33378592,-0.8998739,0.59
900.0,44,0.10934356,0.10604314,4500.0,0.071034774,0.85105187,0.2059048,0.9833333333333334,0.17767578,-1.1186482,0.5866666666666668
920.0,45,0.10922166,0.105982244,4600.0,0.06412576,0.8511646,0.20594813,0.975,0.2085079,-0.97127366,0.5933333333333334
940.0,46,0.10919472,0.10594968,4700.0,0.06890532,0.85121304,0.20596845,0.9666666666666667,0.29409537,-0.9848955,0.61
960.0,47,0.109114684,0.10590822,4800.0,0.06826032,0.8512873,0.20598961,0.975,0.15330921,-0.953892,0.6183333333333333
980.0,48,0.1091097,0.10588541,4900.0,0.0649339,0.8512947,0.20596904,0.9499999999999998,0.32633528,-1.0187765,0.6316666666666667
1000.0,49,0.10911731,0.105979286,5000.0,0.06939257,0.8512771,0.20595448,0.9916666666666667,0.16129427,-0.9219859,0.5950000000000001
