stats_g/std,train/critic_loss,epoch,train/episode,test/episode,test/mean_Q,stats_o/mean,stats_o/std,test/success_rate,test/ag_g_dist,stats_g/mean,train/success_rate
0.018906506,0.021192616,0,100.0,20.0,-1.8510333,0.32296768,0.6806887,0.0,0.06574274,0.674835,0.0
0.018292703,0.021599323,1,200.0,40.0,-1.9242398,0.31563857,0.73090214,0.14166666666666666,0.035554703,0.67483693,0.0033333333333333335
0.018439122,0.02322785,2,300.0,60.0,-1.9925207,0.30979425,0.77094716,0.08333333333333333,0.030393088,0.6741144,0.005
0.018934224,0.021499531,3,400.0,80.0,-1.8485932,0.30961928,0.79108787,0.15,0.035842698,0.6744446,0.005
0.018972142,0.020859351,4,500.0,100.0,-2.0059156,0.30953437,0.8040581,0.16666666666666666,0.028014617,0.6746492,0.015000000000000001
0.018709876,0.023814596,5,600.0,120.0,-2.0970087,0.30922416,0.81095773,0.15833333333333333,0.024686733,0.67470056,0.008333333333333333
0.018520607,0.023499051,6,700.0,140.0,-2.3159854,0.30890483,0.81673384,0.24166666666666667,0.024881205,0.6746723,0.01
0.018346269,0.022553183,7,800.0,160.0,-2.772688,0.3089227,0.82170695,0.26666666666666666,0.025732098,0.67471784,0.006666666666666667
0.018245395,0.025050247,8,900.0,180.0,-2.2586975,0.30932537,0.82642317,0.31666666666666665,0.021274135,0.67482597,0.011666666666666667
0.018141063,0.024329202,9,1000.0,200.0,-2.8038256,0.30951378,0.8296587,0.35000000000000003,0.02191702,0.6748546,0.005
0.018117804,0.022852892,10,1100.0,220.0,-2.6229413,0.3093824,0.8311272,0.3666666666666667,0.021001821,0.6749308,0.0033333333333333335
0.018066606,0.025007805,11,1200.0,240.0,-2.96226,0.30889133,0.831058,0.15,0.023259932,0.6749449,0.02
0.018039785,0.024198735,12,1300.0,260.0,-3.9991865,0.3086491,0.8304332,0.225,0.02709715,0.67500687,0.008333333333333333
0.018020311,0.024690047,13,1400.0,280.0,-3.3940353,0.30841714,0.83040553,0.325,0.025763988,0.6750726,0.015
0.018007914,0.024080215,14,1500.0,300.0,-3.8169491,0.3083663,0.8306057,0.3416666666666666,0.025108906,0.67512244,0.01
0.01803221,0.022387862,15,1600.0,320.0,-3.5173028,0.30796617,0.8326376,0.425,0.025648728,0.67518926,0.008333333333333333
0.018047532,0.023071557,16,1700.0,340.0,-2.839434,0.30785415,0.83410144,0.425,0.021695718,0.6752484,0.006666666666666667
0.018103698,0.022359679,17,1800.0,360.0,-2.9412148,0.30760506,0.8360932,0.39999999999999997,0.022243192,0.67534226,0.016666666666666666
0.01814502,0.02199846,18,1900.0,380.0,-2.9653752,0.3075452,0.8376684,0.35833333333333334,0.023232235,0.6754306,0.011666666666666667
0.018185908,0.026298111,19,2000.0,400.0,-3.1086082,0.30736926,0.8386776,0.3666666666666667,0.02251185,0.6755217,0.0
0.018216383,0.020837292,20,2100.0,420.0,-3.7211018,0.30718142,0.8392472,0.44166666666666665,0.030380076,0.675567,0.011666666666666667
0.018198315,0.025624001,21,2200.0,440.0,-3.7379472,0.30694383,0.8393995,0.35000000000000003,0.02831162,0.67554647,0.008333333333333333
