test/episode,train/success_rate,stats_o/mean,train/episode,stats_g/mean,stats_o/std,epoch,stats_g/std,train/critic_loss,test/mean_Q,test/success_rate
20.0,0.051666666666666666,0.20109756,100.0,0.8373647,0.05055354,0,0.07310402,0.0024496445,-2.4065008,0.10000000000000002
40.0,0.08333333333333333,0.20112194,200.0,0.8373216,0.048078105,1,0.072314344,0.0061647915,-4.610031,0.016666666666666666
60.0,0.06833333333333334,0.20115405,300.0,0.8372839,0.04714333,2,0.07140318,0.007868587,-6.384575,0.041666666666666664
80.0,0.06833333333333334,0.20135348,400.0,0.8379443,0.04694077,3,0.07188829,0.013282972,-8.111959,0.06666666666666667
100.0,0.07333333333333335,0.2015549,500.0,0.83869606,0.049824554,4,0.07346632,0.010635413,-10.078793,0.06666666666666667
120.0,0.07166666666666667,0.20161371,600.0,0.83879465,0.05059888,5,0.074072696,0.011180903,-11.232221,0.075
140.0,0.07333333333333333,0.20154102,700.0,0.8387852,0.051618394,6,0.07393674,0.034153074,-12.2107725,0.13333333333333333
160.0,0.10333333333333333,0.20157726,800.0,0.83912176,0.051992904,7,0.073796675,0.021050697,-13.339084,0.1416666666666667
180.0,0.09666666666666668,0.20153005,900.0,0.8391793,0.05221783,8,0.07352386,0.032953314,-14.930438,0.11666666666666665
200.0,0.15000000000000002,0.20145743,1000.0,0.839122,0.053535625,9,0.07394466,0.06756993,-15.494525,0.17500000000000002
220.0,0.17666666666666667,0.20146556,1100.0,0.8388609,0.056293115,10,0.07562647,0.032416712,-15.403352,0.20000000000000004
240.0,0.2233333333333333,0.2014303,1200.0,0.83906555,0.060108867,11,0.07681548,0.049150873,-11.992944,0.3416666666666666
260.0,0.3499999999999999,0.20157929,1300.0,0.83942,0.06615952,12,0.077543445,0.08664641,-7.856507,0.5
280.0,0.5733333333333334,0.20178084,1400.0,0.83960724,0.07072052,13,0.07731623,0.16075997,-4.2219567,0.7833333333333332
300.0,0.6933333333333334,0.20162666,1500.0,0.83945274,0.074213274,14,0.077321626,0.11797201,-3.5253308,0.8250000000000001
320.0,0.7733333333333333,0.2014635,1600.0,0.83937526,0.07674374,15,0.07688501,0.14467259,-3.5134704,0.8250000000000001
340.0,0.7733333333333333,0.20116597,1700.0,0.8392806,0.080025464,16,0.07699887,0.32222214,-2.0577977,0.9250000000000002
360.0,0.8300000000000001,0.20097305,1800.0,0.83934516,0.08270816,17,0.07678679,0.098998964,-2.0163372,0.9333333333333332
380.0,0.8816666666666667,0.20082681,1900.0,0.83932275,0.08519584,18,0.07652923,0.1082109,-2.1494162,0.9
400.0,0.8799999999999999,0.20086913,2000.0,0.83929557,0.08697476,19,0.0761247,0.08199661,-1.4317127,0.9666666666666667
420.0,0.9216666666666667,0.20079856,2100.0,0.8392313,0.0882796,20,0.075779445,0.13111846,-1.2887077,0.9833333333333334
440.0,0.9266666666666667,0.20084257,2200.0,0.8392342,0.089529306,21,0.07554873,0.061453898,-1.2844212,0.975
460.0,0.9333333333333332,0.20081602,2300.0,0.8391289,0.09072436,22,0.075401686,0.10953533,-1.3937982,0.9833333333333334
480.0,0.915,0.20080763,2400.0,0.83913684,0.092164606,23,0.0752618,0.13429886,-1.3620644,0.9833333333333334
500.0,0.935,0.20098738,2500.0,0.8391556,0.09337827,24,0.075153224,0.08285796,-1.5344734,0.9916666666666667
520.0,0.9249999999999999,0.20100512,2600.0,0.83914775,0.09465637,25,0.074898355,0.0816841,-1.2537764,0.9916666666666667
540.0,0.9383333333333334,0.2010348,2700.0,0.83907765,0.09543293,26,0.07461132,0.09076602,-1.1470889,0.9916666666666667
560.0,0.9416666666666668,0.20106174,2800.0,0.83910066,0.096263446,27,0.07441293,0.05949338,-1.0424091,1.0
580.0,0.94,0.20107883,2900.0,0.83902335,0.09684052,28,0.07442868,0.09156463,-1.2137887,1.0
600.0,0.9533333333333333,0.20109122,3000.0,0.8389659,0.09727791,29,0.07425804,0.26552337,-1.2634248,0.9916666666666667
620.0,0.9533333333333333,0.20114107,3100.0,0.83897835,0.09777341,30,0.07401157,0.11117146,-1.0051497,1.0
640.0,0.9366666666666665,0.20120288,3200.0,0.83888984,0.098456256,31,0.07392969,0.06526507,-0.99490756,0.9916666666666667
660.0,0.9533333333333333,0.20121586,3300.0,0.83891463,0.098840676,32,0.073771305,0.0643158,-1.0416763,1.0
680.0,0.9483333333333333,0.2012644,3400.0,0.83891296,0.09930573,33,0.07364152,0.053463,-1.0273409,1.0
700.0,0.9499999999999998,0.20132093,3500.0,0.83892137,0.099961214,34,0.073604904,0.08364892,-0.9102151,1.0
720.0,0.9633333333333334,0.20136909,3600.0,0.8389923,0.10026952,35,0.073400386,0.061896965,-1.0230688,0.975
740.0,0.9249999999999999,0.201407,3700.0,0.8390358,0.10062615,36,0.073365815,0.12271025,-0.9576537,1.0
760.0,0.9616666666666666,0.20146704,3800.0,0.8389892,0.10099956,37,0.073125936,0.09749504,-1.089892,1.0
780.0,0.9433333333333334,0.2014641,3900.0,0.838989,0.101275586,38,0.0732027,0.057751577,-1.1027495,0.9916666666666667
800.0,0.96,0.20151289,4000.0,0.8390078,0.101710685,39,0.07307071,0.057905067,-1.0511082,0.9916666666666667
820.0,0.9416666666666668,0.20155346,4100.0,0.83896327,0.10200408,40,0.072972454,0.07218207,-0.95430374,1.0
840.0,0.9500000000000001,0.20158584,4200.0,0.83901167,0.10231075,41,0.07286305,0.05897006,-1.1443179,0.9666666666666667
860.0,0.94,0.20158868,4300.0,0.83901757,0.10257539,42,0.07277822,0.08618185,-1.0457734,1.0
880.0,0.9516666666666667,0.20164411,4400.0,0.83903414,0.102752715,43,0.07262214,0.1113727,-1.0891188,1.0
900.0,0.94,0.20164077,4500.0,0.8390462,0.1030551,44,0.07255805,0.06822959,-1.0059546,0.9916666666666667
920.0,0.9483333333333333,0.2016812,4600.0,0.83901834,0.10324856,45,0.07253089,0.04993396,-1.1718949,0.975
940.0,0.9583333333333334,0.20169395,4700.0,0.8389899,0.10338935,46,0.072421014,0.06724015,-1.0707192,0.9916666666666667
960.0,0.9516666666666667,0.20174585,4800.0,0.839042,0.103619,47,0.07230795,0.08060559,-1.2947131,0.9916666666666667
980.0,0.9383333333333334,0.20179607,4900.0,0.8390704,0.10367788,48,0.07215835,0.10974326,-1.0433419,0.9916666666666667
1000.0,0.9616666666666666,0.20184278,5000.0,0.839113,0.10388211,49,0.07204039,0.09004589,-0.8791831,1.0
