epoch,stats_g/mean,stats_o/mean,train/success_rate,train/critic_loss,train/episode,stats_o/std,test/success_rate,test/episode,test/mean_Q,stats_g/std
0,0.83860874,0.20153868,0.05000000000000001,602.0193,100.0,0.06330865,0.10000000000000002,20.0,10.109149,0.06194298
1,0.838705,0.20149772,0.08,2578.4143,200.0,0.06313195,0.016666666666666666,40.0,21.2408,0.06144711
2,0.83905464,0.20149748,0.06333333333333334,5372.7686,300.0,0.06269713,0.041666666666666664,60.0,31.386667,0.061045285
3,0.83909607,0.20162056,0.065,9623.776,400.0,0.06355832,0.06666666666666667,80.0,45.168293,0.06101993
4,0.83960676,0.20178632,0.07,13810.954,500.0,0.06346487,0.049999999999999996,100.0,53.199986,0.06118607
5,0.8393547,0.20185333,0.065,19132.74,600.0,0.062956475,0.075,120.0,58.458782,0.061138507
6,0.83910364,0.20173031,0.05833333333333333,23988.11,700.0,0.06320694,0.09166666666666667,140.0,65.909904,0.06091194
7,0.83906907,0.20185721,0.06833333333333334,29066.154,800.0,0.06355095,0.09166666666666667,160.0,74.05133,0.06102406
8,0.83918357,0.20191593,0.053333333333333344,33616.992,900.0,0.06360447,0.075,180.0,78.31618,0.061090704
9,0.8392424,0.2019396,0.06999999999999999,38097.86,1000.0,0.06458224,0.08333333333333333,200.0,91.696144,0.06109734
10,0.83891016,0.2018116,0.08333333333333333,40224.55,1100.0,0.06497042,0.08333333333333333,220.0,87.633606,0.06100816
11,0.8388371,0.20181797,0.07166666666666667,48298.51,1200.0,0.06615579,0.10000000000000002,240.0,87.015816,0.060979154
12,0.8387657,0.2017829,0.06166666666666667,52151.355,1300.0,0.066947125,0.075,260.0,91.82434,0.060957137
13,0.83857375,0.20173222,0.07166666666666667,57579.88,1400.0,0.067989156,0.03333333333333333,280.0,96.56603,0.06095961
14,0.83847433,0.20164709,0.06833333333333334,55400.58,1500.0,0.06869132,0.041666666666666664,300.0,95.018715,0.060951963
15,0.8385296,0.2016105,0.07833333333333332,59561.094,1600.0,0.069310516,0.09166666666666667,320.0,100.05158,0.06086809
16,0.83857185,0.2016115,0.04833333333333334,54084.24,1700.0,0.070117176,0.05833333333333333,340.0,91.228676,0.06091165
17,0.83872575,0.20165776,0.085,62591.984,1800.0,0.0708839,0.041666666666666664,360.0,108.08126,0.060954925
18,0.83873755,0.20165503,0.08333333333333333,72091.35,1900.0,0.07161441,0.05833333333333334,380.0,107.72882,0.060998634
19,0.8386929,0.20165183,0.07500000000000001,68234.445,2000.0,0.07278139,0.08333333333333333,400.0,103.1984,0.061031953
20,0.8386343,0.20169215,0.061666666666666675,64225.812,2100.0,0.07387913,0.06666666666666667,420.0,113.278076,0.061029483
21,0.83865523,0.20172054,0.06333333333333334,66934.15,2200.0,0.07425633,0.08333333333333333,440.0,105.58227,0.061070923
22,0.8385617,0.20166354,0.07,68741.875,2300.0,0.074483246,0.05833333333333334,460.0,103.75543,0.061033394
23,0.83860964,0.20161307,0.06166666666666667,59617.38,2400.0,0.074893616,0.06666666666666667,480.0,102.746895,0.060994383
24,0.83863026,0.20164305,0.06166666666666667,64045.543,2500.0,0.0753593,0.09999999999999999,500.0,96.499855,0.0609922
