stats_g/std,test/episode,stats_o/std,train/critic_loss,epoch,test/success_rate,stats_o/mean,test/mean_Q,stats_g/mean,train/episode,test/ag_g_dist,train/success_rate
0.019583324,20.0,0.6847451,0.015514803,0,0.0,0.32359594,-1.8716027,0.67525864,100.0,0.060671166,0.0
0.019373365,40.0,0.7595121,0.016076198,1,0.0,0.3115749,-1.6439838,0.6750513,200.0,0.034616023,0.0
0.01932003,60.0,0.79461735,0.012516576,2,0.0,0.30783415,-1.6449285,0.6748226,300.0,0.0369494,0.0
0.019185346,80.0,0.81424785,0.01426629,3,0.0,0.30527672,-1.4537615,0.67469144,400.0,0.032065436,0.0016666666666666668
0.019026313,100.0,0.82530546,0.013330761,4,0.15,0.30367994,-1.8047227,0.67470187,500.0,0.02680772,0.0
0.018859891,120.0,0.83202356,0.016148916,5,0.075,0.30310827,-1.6211542,0.6747152,600.0,0.026966266,0.0016666666666666668
0.018790368,140.0,0.83591455,0.015592806,6,0.0,0.30254427,-1.7207909,0.6747772,700.0,0.02736167,0.0033333333333333335
0.018811455,160.0,0.83870167,0.0146612525,7,0.11666666666666668,0.3015859,-1.6754166,0.67483383,800.0,0.03361866,0.0016666666666666668
0.018834157,180.0,0.8405118,0.014331746,8,0.09166666666666667,0.30156785,-1.3564259,0.6749322,900.0,0.027572664,0.0
0.01886634,200.0,0.84113723,0.016651602,9,0.10833333333333334,0.30118215,-1.7558421,0.67501426,1000.0,0.027376503,0.005
0.018904617,220.0,0.84204334,0.0138222175,10,0.0,0.3011638,-1.5870186,0.675196,1100.0,0.027736828,0.0016666666666666668
0.018969158,240.0,0.84264416,0.015550722,11,0.08333333333333333,0.3012373,-1.8842916,0.6753753,1200.0,0.030583253,0.0016666666666666668
0.01902783,260.0,0.84290904,0.016693207,12,0.13333333333333333,0.3012627,-2.277736,0.67550355,1300.0,0.028262163,0.0033333333333333335
0.01907641,280.0,0.84272593,0.01449106,13,0.16666666666666666,0.30139822,-1.831546,0.6756189,1400.0,0.0277937,0.006666666666666667
0.01910044,300.0,0.84285957,0.016035596,14,0.08333333333333333,0.30155388,-2.2493584,0.6757141,1500.0,0.032024316,0.005
0.01914623,320.0,0.8431305,0.016486488,15,0.15000000000000002,0.30172294,-2.5478556,0.67583495,1600.0,0.032407697,0.008333333333333333
0.019213133,340.0,0.84341544,0.014694561,16,0.10833333333333334,0.3019552,-2.4875288,0.6759608,1700.0,0.029945305,0.006666666666666667
0.019266529,360.0,0.8434947,0.013902046,17,0.16666666666666666,0.3021233,-2.927932,0.6760805,1800.0,0.033170868,0.0033333333333333335
0.019322075,380.0,0.8438427,0.015004128,18,0.18333333333333335,0.30239764,-2.8328514,0.6761846,1900.0,0.030573914,0.005
0.019392766,400.0,0.8439978,0.013231578,19,0.06666666666666667,0.30281428,-2.832033,0.6763236,2000.0,0.032270875,0.0016666666666666668
0.019481264,420.0,0.84388375,0.013907022,20,0.016666666666666666,0.3029844,-3.023035,0.6764514,2100.0,0.03353998,0.0033333333333333335
0.019550448,440.0,0.84391063,0.021452991,21,0.08333333333333333,0.30308217,-2.9895432,0.6765649,2200.0,0.033748437,0.006666666666666667
0.019636549,460.0,0.8448221,0.016484708,22,0.25833333333333336,0.30333218,-2.9171402,0.67647797,2300.0,0.04660515,0.008333333333333333
0.01964864,480.0,0.84511214,0.015254858,23,0.125,0.30352762,-3.271056,0.6764784,2400.0,0.041897696,0.0
0.019668728,500.0,0.84525305,0.013694684,24,0.125,0.30371293,-3.0985272,0.6765668,2500.0,0.036653798,0.0016666666666666668
0.01966682,520.0,0.84514827,0.018979812,25,0.11666666666666665,0.30380368,-3.1214826,0.6765806,2600.0,0.036672678,0.006666666666666667
0.019649776,540.0,0.8451226,0.0173044,26,0.15,0.30387467,-3.163473,0.6765792,2700.0,0.028521752,0.005
0.019635476,560.0,0.84517336,0.017412798,27,0.11666666666666665,0.30402905,-3.110871,0.67659545,2800.0,0.033854265,0.0033333333333333335
0.019673632,580.0,0.8451664,0.017785346,28,0.075,0.30419326,-3.6345606,0.6766934,2900.0,0.0418444,0.005
0.019703122,600.0,0.8449402,0.014796614,29,0.11666666666666665,0.30437455,-3.6043975,0.6767691,3000.0,0.037315827,0.008333333333333333
0.019692862,620.0,0.8447258,0.014487599,30,0.13333333333333333,0.30450705,-3.9074204,0.6767923,3100.0,0.037370812,0.0
0.019670544,640.0,0.8445291,0.014182326,31,0.13333333333333333,0.30473188,-4.3701653,0.6767909,3200.0,0.038957994,0.006666666666666667
0.01965365,660.0,0.84421045,0.01676981,32,0.10833333333333332,0.30490303,-5.1097984,0.6767991,3300.0,0.042720497,0.006666666666666667
0.01963198,680.0,0.8436268,0.015452012,33,0.15,0.30505833,-4.716828,0.67680806,3400.0,0.043320853,0.0033333333333333335
0.019631477,700.0,0.84319717,0.015571193,34,0.11666666666666665,0.30518693,-5.7057037,0.67682624,3500.0,0.04370452,0.006666666666666667
0.019624272,720.0,0.84292006,0.015020623,35,0.03333333333333333,0.3053724,-6.380568,0.6768427,3600.0,0.047177214,0.006666666666666667
0.019604115,740.0,0.84284955,0.016021097,36,0.15,0.3055105,-6.700392,0.67685145,3700.0,0.038523998,0.008333333333333333
0.01959467,760.0,0.8428586,0.01845335,37,0.17500000000000002,0.30564588,-6.0691223,0.67687386,3800.0,0.046719402,0.005
0.019598605,780.0,0.84294456,0.018508809,38,0.11666666666666665,0.30566666,-4.9964786,0.6768821,3900.0,0.03696947,0.0016666666666666668
0.019597363,800.0,0.8427852,0.013637263,39,0.05833333333333334,0.30565622,-6.6135755,0.6768859,4000.0,0.037952214,0.005
0.019585522,820.0,0.84247047,0.01735708,40,0.14166666666666666,0.30575404,-5.5535603,0.6768902,4100.0,0.033761777,0.01
0.019567635,840.0,0.8423055,0.018221812,41,0.09166666666666667,0.30578098,-8.183978,0.6768954,4200.0,0.043694887,0.005
0.019549446,860.0,0.842004,0.01391911,42,0.05000000000000001,0.30582035,-6.0164905,0.6769014,4300.0,0.03470689,0.0033333333333333335
0.019528775,880.0,0.8417991,0.015146617,43,0.05833333333333334,0.30588058,-7.2893043,0.67690057,4400.0,0.03618719,0.005
0.01950572,900.0,0.84146184,0.016131124,44,0.008333333333333333,0.3059717,-6.0722795,0.67690367,4500.0,0.032889824,0.0033333333333333335
0.019491188,920.0,0.8411111,0.0165609,45,0.08333333333333333,0.30607873,-7.6216865,0.6769168,4600.0,0.03435895,0.0016666666666666668
0.01947122,940.0,0.84079105,0.014144116,46,0.2166666666666667,0.30617547,-6.935566,0.6769168,4700.0,0.028933538,0.005
0.01945008,960.0,0.8404954,0.015800951,47,0.03333333333333333,0.30621696,-7.77235,0.67691916,4800.0,0.034433536,0.0033333333333333335
0.01942945,980.0,0.8401025,0.01900723,48,0.041666666666666664,0.30632955,-8.319849,0.6769257,4900.0,0.03692018,0.008333333333333333
0.019416308,1000.0,0.83981663,0.019272799,49,0.21666666666666667,0.30636254,-7.451342,0.6769207,5000.0,0.034029935,0.0033333333333333335
0.019406743,1020.0,0.83962107,0.01721358,50,0.0,0.30630472,-8.300109,0.6769052,5100.0,0.03771219,0.0016666666666666668
0.01939152,1040.0,0.8394634,0.051630538,51,0.10833333333333332,0.30617008,-8.596206,0.6768802,5200.0,0.032205448,0.005
0.019378064,1060.0,0.83920264,0.01721135,52,0.05000000000000001,0.30610323,-8.394013,0.6768643,5300.0,0.037194017,0.0016666666666666668
0.019363163,1080.0,0.8388112,0.016032213,53,0.0,0.306084,-8.2854185,0.6768549,5400.0,0.037584644,0.005
0.01934879,1100.0,0.83840656,0.0221899,54,0.14166666666666666,0.30610293,-8.851661,0.67684704,5500.0,0.044036586,0.005
0.019348813,1120.0,0.83810383,0.018132873,55,0.17499999999999996,0.30614203,-8.394996,0.67683727,5600.0,0.0329425,0.006666666666666667
0.019332863,1140.0,0.8378107,0.017658154,56,0.05833333333333334,0.3062802,-10.322605,0.67683655,5700.0,0.04315406,0.005
0.01932751,1160.0,0.83742267,0.020607721,57,0.16666666666666666,0.30636916,-7.748034,0.67684525,5800.0,0.038870562,0.011666666666666667
0.019318651,1180.0,0.83707553,0.01702564,58,0.20833333333333334,0.30643216,-7.705856,0.676851,5900.0,0.040067412,0.0033333333333333335
0.019306874,1200.0,0.8366038,0.015916806,59,0.21666666666666667,0.306527,-7.6114755,0.6768601,6000.0,0.04306863,0.0033333333333333335
0.01929453,1220.0,0.8361907,0.021007104,60,0.15,0.3065549,-10.13057,0.676853,6100.0,0.043249507,0.005
0.019284954,1240.0,0.83581215,0.019936087,61,0.03333333333333333,0.30655786,-8.841699,0.676843,6200.0,0.036622666,0.0016666666666666668
0.01927543,1260.0,0.8355963,0.015830608,62,0.20000000000000004,0.30659294,-8.386693,0.67683786,6300.0,0.035672348,0.0016666666666666668
0.01927205,1280.0,0.8354494,0.01916988,63,0.16666666666666666,0.30660632,-8.229646,0.67683333,6400.0,0.03771589,0.008333333333333333
0.019264774,1300.0,0.8352235,0.019787118,64,0.15000000000000002,0.30662653,-9.683009,0.67682654,6500.0,0.03944708,0.0
0.019263607,1320.0,0.8350603,0.01781287,65,0.08333333333333333,0.3066176,-9.775992,0.6768258,6600.0,0.041045103,0.0033333333333333335
0.019252662,1340.0,0.8348672,0.017321156,66,0.05833333333333334,0.30662295,-9.929571,0.67681766,6700.0,0.03396861,0.0033333333333333335
0.019242449,1360.0,0.8346481,0.016293982,67,0.13333333333333333,0.30665654,-9.609803,0.67681235,6800.0,0.036926825,0.0016666666666666668
0.019231755,1380.0,0.83441895,0.018405223,68,0.016666666666666666,0.30675372,-8.824519,0.67682093,6900.0,0.03592568,0.005
0.019218085,1400.0,0.8342901,0.019556873,69,0.05000000000000001,0.30683532,-9.621044,0.6768212,7000.0,0.036774054,0.006666666666666667
0.019205146,1420.0,0.83420247,0.015111397,70,0.13333333333333333,0.30696487,-8.453169,0.67683035,7100.0,0.0352706,0.005
0.019194216,1440.0,0.8339827,0.017782731,71,0.075,0.30711198,-9.350705,0.6768418,7200.0,0.040723406,0.008333333333333333
0.019187842,1460.0,0.8337658,0.028198479,72,0.15833333333333335,0.30720985,-8.448331,0.67684954,7300.0,0.04475056,0.008333333333333333
0.019178208,1480.0,0.83349866,0.019991154,73,0.15,0.30728093,-8.56569,0.67685634,7400.0,0.046918202,0.005
0.01916985,1500.0,0.8332884,0.019197138,74,0.11666666666666665,0.30741623,-9.409526,0.6768687,7500.0,0.04494067,0.0
0.019165201,1520.0,0.83298755,0.019204421,75,0.03333333333333333,0.30752435,-8.733529,0.6768768,7600.0,0.04480478,0.0033333333333333335
0.019161439,1540.0,0.83275634,0.020264529,76,0.15833333333333333,0.3076313,-10.748502,0.67688864,7700.0,0.04827402,0.0
0.019157749,1560.0,0.8324571,0.02201244,77,0.1416666666666667,0.30773133,-9.976914,0.67689246,7800.0,0.044472814,0.0
0.019151378,1580.0,0.83229715,0.014304475,78,0.016666666666666666,0.3078037,-12.452096,0.67689395,7900.0,0.05522589,0.0033333333333333335
0.019146081,1600.0,0.8319668,0.017246464,79,0.008333333333333333,0.30784744,-11.539214,0.6768914,8000.0,0.047008324,0.0
0.019139571,1620.0,0.83164805,0.018448753,80,0.041666666666666664,0.30793437,-10.618455,0.67689294,8100.0,0.04685684,0.0033333333333333335
0.019135319,1640.0,0.83148265,0.013316527,81,0.18333333333333335,0.308026,-11.64362,0.6768902,8200.0,0.051881593,0.0
0.01913595,1660.0,0.8312517,0.019506326,82,0.0,0.30809635,-9.955424,0.6768876,8300.0,0.048903722,0.0
0.019134918,1680.0,0.83094007,0.02576924,83,0.0,0.30814743,-11.3281355,0.6768789,8400.0,0.050234094,0.0016666666666666668
0.019126201,1700.0,0.83071494,0.019518077,84,0.025000000000000005,0.30820858,-11.094525,0.6768748,8500.0,0.052013796,0.0016666666666666668
0.019124065,1720.0,0.83048695,0.04127003,85,0.0,0.30825812,-11.941723,0.67687815,8600.0,0.061764907,0.0033333333333333335
0.01912624,1740.0,0.8302951,0.016680831,86,0.07500000000000001,0.30833504,-13.825866,0.6768796,8700.0,0.06007573,0.0016666666666666668
0.019123686,1760.0,0.8300962,0.016051458,87,0.008333333333333333,0.3084055,-16.260561,0.676884,8800.0,0.07001818,0.0033333333333333335
0.019123374,1780.0,0.8298604,0.023788976,88,0.13333333333333333,0.3084883,-11.09359,0.6768878,8900.0,0.04702744,0.0
0.0191173,1800.0,0.82967764,0.02224926,89,0.025000000000000005,0.30857304,-12.37389,0.67689675,9000.0,0.0532354,0.0033333333333333335
0.019112686,1820.0,0.8294428,0.020691756,90,0.05833333333333334,0.3086752,-10.960616,0.6769088,9100.0,0.050295085,0.0
0.0191045,1840.0,0.8292282,0.017052805,91,0.016666666666666666,0.30876717,-11.364468,0.6769133,9200.0,0.04958597,0.0016666666666666668
0.019096864,1860.0,0.8290971,0.022745287,92,0.008333333333333333,0.3088914,-13.312096,0.6769135,9300.0,0.05115575,0.0033333333333333335
0.019084342,1880.0,0.82885987,0.01602833,93,0.125,0.30899122,-15.44167,0.67691875,9400.0,0.05285743,0.0
0.019078132,1900.0,0.8286306,0.018630134,94,0.016666666666666666,0.30906397,-11.717957,0.6769157,9500.0,0.04502477,0.0
0.019071491,1920.0,0.8284557,0.017314307,95,0.008333333333333333,0.30914512,-12.479701,0.6769139,9600.0,0.0463474,0.0033333333333333335
0.019066785,1940.0,0.8282345,0.014458743,96,0.10833333333333335,0.30920392,-13.300246,0.67690915,9700.0,0.052540917,0.006666666666666667
0.019058852,1960.0,0.8279554,0.019117018,97,0.20000000000000004,0.30922648,-11.025651,0.6769047,9800.0,0.04131059,0.005
0.019050421,1980.0,0.8277697,0.016205056,98,0.11666666666666665,0.30925584,-13.21814,0.6768972,9900.0,0.04752839,0.0016666666666666668
0.019044887,2000.0,0.82763314,0.025695747,99,0.05833333333333334,0.3092984,-14.653678,0.67689246,10000.0,0.052077066,0.006666666666666667
