epoch,test/success_rate,test/episode,train/success_rate,train/episode,stats_o/std,stats_g/mean,train/critic_loss,test/mean_Q,test/ag_g_dist,stats_o/mean,stats_g/std
0,0.016666666666666666,20.0,0.03,100.0,0.025471887,0.8598973,0.0017217848,-0.3629565,0.11590016,0.2586512,0.07806379
1,0.03333333333333333,40.0,0.028333333333333332,200.0,0.023990894,0.8608807,0.0020574715,-0.562432,0.09858195,0.25896296,0.07276336
2,0.06666666666666667,60.0,0.060000000000000005,300.0,0.023675447,0.8637907,0.0019348873,-0.74450064,0.093802445,0.25969258,0.07132356
3,0.049999999999999996,80.0,0.07333333333333333,400.0,0.023774236,0.86608535,0.0018348513,-0.9367008,0.09385588,0.2602733,0.07129628
4,0.08333333333333333,100.0,0.06166666666666667,500.0,0.02389427,0.86833483,0.0017041567,-1.0217998,0.08445388,0.2608066,0.07135442
5,0.10833333333333334,120.0,0.09500000000000001,600.0,0.024057314,0.8692758,0.0015392009,-1.1456054,0.083599985,0.26108122,0.07166042
6,0.11666666666666665,140.0,0.12166666666666666,700.0,0.02430298,0.8703263,0.0016474891,-1.2559828,0.07808995,0.26134235,0.072328754
7,0.1416666666666667,160.0,0.1366666666666667,800.0,0.024488008,0.8710513,0.0015352493,-1.4054972,0.0797149,0.2615313,0.072755575
8,0.18333333333333335,180.0,0.125,900.0,0.024738422,0.8716728,0.0016759498,-1.4692816,0.076393135,0.2616883,0.073465
9,0.13333333333333333,200.0,0.125,1000.0,0.024974456,0.8724273,0.0017652012,-1.6107788,0.077330984,0.2618647,0.07416017
10,0.16666666666666666,220.0,0.16,1100.0,0.025196537,0.87281877,0.0019838,-1.6086639,0.0781532,0.2619787,0.07476829
11,0.18333333333333335,240.0,0.14833333333333334,1200.0,0.025387203,0.8732005,0.0016052021,-1.7408739,0.074373186,0.26206854,0.07527814
12,0.225,260.0,0.13999999999999999,1300.0,0.025563315,0.8735175,0.0015141635,-1.7626435,0.074449584,0.26214892,0.07577253
13,0.225,280.0,0.18500000000000003,1400.0,0.025701797,0.87382627,0.0014633117,-1.8058761,0.07116819,0.26223183,0.07612619
14,0.26666666666666666,300.0,0.19499999999999998,1500.0,0.02584424,0.8741693,0.0014694774,-1.924071,0.068884306,0.26231602,0.07654122
15,0.31666666666666665,320.0,0.20666666666666667,1600.0,0.025966242,0.874604,0.0014900618,-1.9365944,0.067767605,0.26242507,0.07691789
16,0.24166666666666667,340.0,0.18500000000000003,1700.0,0.026103353,0.8746118,0.0014939182,-2.0569825,0.07023626,0.26243275,0.077313334
17,0.2833333333333334,360.0,0.20833333333333334,1800.0,0.026199332,0.87471884,0.0014839312,-2.0782487,0.06892258,0.26245612,0.07758936
18,0.42500000000000004,380.0,0.21333333333333335,1900.0,0.02629897,0.8748943,0.0013467568,-2.1030936,0.06486255,0.26250076,0.07787112
19,0.3833333333333333,400.0,0.22166666666666668,2000.0,0.026428035,0.87490636,0.0014343587,-2.167051,0.067749225,0.26250702,0.078273684
20,0.26666666666666666,420.0,0.21833333333333335,2100.0,0.026537338,0.8749363,0.0014027077,-2.252307,0.06961248,0.26252222,0.078584574
21,0.325,440.0,0.20666666666666667,2200.0,0.026605526,0.8746925,0.0015088898,-2.2961419,0.06769908,0.2624637,0.07879418
22,0.3083333333333333,460.0,0.21333333333333335,2300.0,0.026692709,0.8747049,0.0014212752,-2.2997332,0.06680077,0.26247108,0.07904329
23,0.4166666666666667,480.0,0.215,2400.0,0.02677311,0.87466246,0.0014275968,-2.328825,0.0647714,0.26246637,0.07927502
24,0.3333333333333333,500.0,0.23833333333333337,2500.0,0.02682822,0.87480515,0.0014077361,-2.3590975,0.06583697,0.2624971,0.07943805
25,0.39166666666666666,520.0,0.24666666666666667,2600.0,0.026891762,0.8748321,0.0014365114,-2.3605316,0.0643185,0.26250464,0.079627246
26,0.39166666666666666,540.0,0.24333333333333332,2700.0,0.026959667,0.87484384,0.0012994953,-2.4073308,0.06341312,0.2625094,0.07982669
27,0.3833333333333333,560.0,0.22833333333333336,2800.0,0.027012432,0.8748686,0.0013601537,-2.4365578,0.06434148,0.26251563,0.07999463
28,0.4666666666666666,580.0,0.23666666666666666,2900.0,0.02706573,0.8750089,0.001421663,-2.5057075,0.06445455,0.26254752,0.080158114
29,0.4166666666666667,600.0,0.2383333333333333,3000.0,0.027119389,0.87495273,0.0013099896,-2.492687,0.0639737,0.26253095,0.08033142
30,0.5166666666666667,620.0,0.27,3100.0,0.0271781,0.87491924,0.0013084788,-2.4582448,0.062372733,0.26252222,0.0805167
31,0.4666666666666666,640.0,0.26666666666666666,3200.0,0.02722297,0.8749254,0.0014582081,-2.5222456,0.06175062,0.26251984,0.080644846
32,0.4083333333333334,660.0,0.26666666666666666,3300.0,0.027271971,0.87498206,0.0012932498,-2.570049,0.06392779,0.26253778,0.08080349
33,0.44999999999999996,680.0,0.2733333333333334,3400.0,0.027322898,0.8750257,0.0012900949,-2.5724773,0.062351134,0.26254445,0.08095778
34,0.4583333333333333,700.0,0.26166666666666666,3500.0,0.027366742,0.87512237,0.0012374419,-2.6044486,0.062269464,0.26256865,0.081113145
35,0.5083333333333334,720.0,0.26,3600.0,0.027408862,0.8752101,0.001426309,-2.6327462,0.061284065,0.26259303,0.081243776
36,0.45,740.0,0.26999999999999996,3700.0,0.027437845,0.87527865,0.0013455522,-2.6298053,0.06269809,0.2626055,0.08132155
37,0.5916666666666667,760.0,0.24833333333333338,3800.0,0.027473131,0.87533385,0.0012689097,-2.6030924,0.059169564,0.26261526,0.08141825
38,0.5,780.0,0.24333333333333332,3900.0,0.027498359,0.8752823,0.0012782523,-2.6096084,0.062250573,0.26260015,0.08149624
39,0.4833333333333334,800.0,0.2733333333333334,4000.0,0.027523076,0.87528586,0.0012606643,-2.6470196,0.06238811,0.26260227,0.081565134
40,0.5833333333333334,820.0,0.2816666666666667,4100.0,0.02755174,0.87527627,0.0012173034,-2.6280541,0.06072807,0.2625976,0.08164319
41,0.4749999999999999,840.0,0.2866666666666667,4200.0,0.027573705,0.87532586,0.0011972649,-2.6664953,0.062732495,0.26260278,0.08170998
42,0.47500000000000003,860.0,0.26333333333333336,4300.0,0.027595496,0.8753372,0.0012669227,-2.669974,0.061558884,0.2626059,0.081766464
43,0.5166666666666667,880.0,0.27666666666666667,4400.0,0.027616391,0.8753779,0.0012145852,-2.6756566,0.060644794,0.2626187,0.081824355
44,0.5333333333333333,900.0,0.2883333333333334,4500.0,0.027642295,0.87547415,0.0012197678,-2.6481817,0.0602192,0.26264268,0.08190382
45,0.5166666666666666,920.0,0.24666666666666667,4600.0,0.027663132,0.87542313,0.0013018093,-2.695051,0.060518246,0.26263127,0.081960954
46,0.5,940.0,0.27999999999999997,4700.0,0.027681962,0.87540156,0.0012797148,-2.7213554,0.06192826,0.26262736,0.082003266
47,0.6083333333333333,960.0,0.2833333333333334,4800.0,0.027710715,0.87538344,0.0013111032,-2.6417713,0.060905132,0.26262757,0.08208605
48,0.44166666666666665,980.0,0.27666666666666667,4900.0,0.02772539,0.8753969,0.0012320358,-2.6988432,0.06166489,0.262631,0.082109936
49,0.4083333333333334,1000.0,0.2816666666666667,5000.0,0.027739933,0.87547463,0.001251051,-2.7135363,0.063267864,0.26265112,0.08215048
