epoch,stats_o/mean,stats_g/std,train/success_rate,test/episode,train/critic_loss,test/mean_Q,test/success_rate,stats_g/mean,test/ag_g_dist,stats_o/std,train/episode
0,0.25971577,0.075536184,0.03666666666666667,20.0,0.0025491605,-0.27394807,0.041666666666666664,0.8636181,0.116598845,0.024820829,100.0
1,0.25925216,0.071927436,0.02,40.0,0.002105369,-0.5055086,0.03333333333333333,0.8617654,0.10496968,0.023854936,200.0
2,0.25965017,0.07094573,0.03833333333333334,60.0,0.002090117,-0.6824689,0.05000000000000001,0.8634803,0.0991723,0.023648629,300.0
3,0.26011038,0.070820026,0.03333333333333333,80.0,0.001865489,-0.8822934,0.05000000000000001,0.8652456,0.09397701,0.023733532,400.0
4,0.2605401,0.07073841,0.05833333333333333,100.0,0.0017932061,-0.98474175,0.07500000000000001,0.8671239,0.08744594,0.023795897,500.0
5,0.26078758,0.070780955,0.08833333333333333,120.0,0.0017073276,-1.1316209,0.05000000000000001,0.86796284,0.086419694,0.02388226,600.0
6,0.26100865,0.07114109,0.08666666666666667,140.0,0.0016286621,-1.2681702,0.10000000000000002,0.868861,0.080552615,0.024033159,700.0
7,0.2611732,0.07147351,0.11833333333333333,160.0,0.0016750636,-1.3983397,0.18333333333333335,0.8695281,0.07949168,0.024179041,800.0
8,0.26131374,0.072063945,0.09166666666666667,180.0,0.0016011796,-1.4936029,0.13333333333333333,0.870127,0.07900109,0.024393415,900.0
9,0.2614429,0.072728276,0.16,200.0,0.0015912832,-1.6132555,0.15,0.87071747,0.076661974,0.02461951,1000.0
10,0.26152527,0.073194295,0.15333333333333335,220.0,0.0016083872,-1.7066246,0.16666666666666666,0.87104845,0.078280985,0.02479125,1100.0
11,0.26160702,0.07365598,0.15500000000000003,240.0,0.0014804443,-1.7811685,0.125,0.8714502,0.07586646,0.024961552,1200.0
12,0.26169747,0.07416202,0.14833333333333334,260.0,0.0013796659,-1.8155833,0.25,0.87183577,0.072205305,0.025131663,1300.0
13,0.2617767,0.07452618,0.18000000000000002,280.0,0.0014473664,-1.8929354,0.21666666666666665,0.8721623,0.07290018,0.025268639,1400.0
14,0.26186028,0.074991405,0.18666666666666668,300.0,0.001480921,-1.9700543,0.2583333333333333,0.87252337,0.07089047,0.025424456,1500.0
15,0.26196492,0.07547098,0.20333333333333337,320.0,0.0013953455,-2.0239954,0.2916666666666667,0.87296414,0.06997785,0.025576761,1600.0
16,0.26199687,0.07598858,0.19999999999999998,340.0,0.0015195574,-2.0712082,0.39166666666666666,0.8730769,0.06676976,0.025744399,1700.0
17,0.26204377,0.076359175,0.2066666666666667,360.0,0.0016034512,-2.114842,0.31666666666666665,0.8732721,0.0683479,0.025865281,1800.0
18,0.2621079,0.0767248,0.21666666666666667,380.0,0.0013425332,-2.1641834,0.4333333333333333,0.8735208,0.065082155,0.025988186,1900.0
19,0.26212567,0.07716208,0.19833333333333333,400.0,0.0015884734,-2.1920063,0.3666666666666667,0.87357736,0.07041487,0.02612626,2000.0
20,0.26214463,0.077532105,0.21833333333333335,420.0,0.001390722,-2.2895315,0.3666666666666667,0.8736358,0.06776962,0.026252156,2100.0
21,0.2621042,0.07778826,0.19166666666666665,440.0,0.0014219204,-2.3103733,0.325,0.87345004,0.067332745,0.026331967,2200.0
22,0.26212776,0.078102805,0.23500000000000001,460.0,0.0016519418,-2.3469431,0.3333333333333333,0.87352675,0.067514546,0.026440436,2300.0
23,0.26212892,0.07838888,0.23333333333333336,480.0,0.0013636512,-2.3057442,0.39999999999999997,0.87349814,0.06296768,0.026532391,2400.0
24,0.26216292,0.07860721,0.20833333333333334,500.0,0.0013506982,-2.4071095,0.30000000000000004,0.8736604,0.06825442,0.026604688,2500.0
25,0.26217985,0.07882748,0.25666666666666665,520.0,0.0014429791,-2.4096463,0.3583333333333334,0.873723,0.06608472,0.026679372,2600.0
