stats_g/mean,epoch,stats_o/mean,test/episode,stats_g/std,train/critic_loss,train/episode,train/success_rate,test/mean_Q,stats_o/std,test/success_rate
0.8382408,0,0.20110296,20.0,0.07024436,0.0015098552,100.0,0.05499999999999999,-2.5051844,0.04395947,0.10000000000000002
0.8376387,1,0.2010824,40.0,0.070061006,0.0019162139,200.0,0.07833333333333334,-4.712814,0.044284686,0.016666666666666666
0.8376157,2,0.20109367,60.0,0.07001587,0.005608842,300.0,0.05666666666666667,-6.422802,0.043386597,0.041666666666666664
0.83834237,3,0.20140783,80.0,0.070380494,0.005766257,400.0,0.06666666666666667,-8.1321335,0.044228975,0.06666666666666667
0.8390698,4,0.20141892,100.0,0.07267061,0.01774436,500.0,0.07333333333333333,-9.893437,0.047562163,0.06666666666666667
0.8391831,5,0.20152883,120.0,0.073733784,0.024446674,600.0,0.07,-11.049914,0.049131054,0.10833333333333334
0.8390507,6,0.20150703,140.0,0.07369385,0.021614991,700.0,0.06999999999999999,-11.811531,0.049867924,0.1416666666666667
0.8392485,7,0.20164938,160.0,0.074739695,0.07589716,800.0,0.11833333333333333,-13.077079,0.051645685,0.125
0.83915836,8,0.20156164,180.0,0.07625808,0.040389355,900.0,0.105,-14.630768,0.053940352,0.11666666666666665
0.8389139,9,0.20142277,200.0,0.07672621,0.053716887,1000.0,0.18833333333333335,-15.1806,0.056648064,0.17500000000000002
0.83857566,10,0.20151396,220.0,0.0767945,0.071258225,1100.0,0.25166666666666665,-12.980395,0.06048589,0.3333333333333333
0.8383906,11,0.20144816,240.0,0.07691739,0.12709105,1200.0,0.3666666666666667,-8.171883,0.06440152,0.47500000000000003
0.83824605,12,0.20154648,260.0,0.07641498,0.16975303,1300.0,0.5566666666666668,-5.016418,0.06830842,0.6333333333333334
0.8381396,13,0.20151357,280.0,0.07612275,0.19319902,1400.0,0.6733333333333333,-3.5362918,0.07277469,0.7583333333333334
0.8379615,14,0.20162351,300.0,0.07585961,0.1284212,1500.0,0.7816666666666666,-2.627533,0.07567556,0.85
0.8380483,15,0.20180176,320.0,0.07582775,0.09109875,1600.0,0.7833333333333333,-1.7212038,0.07889127,0.9583333333333334
0.8381006,16,0.20180465,340.0,0.0762087,0.09740859,1700.0,0.8383333333333333,-1.715231,0.08105602,0.9249999999999999
0.8383319,17,0.2019789,360.0,0.07585021,0.09833759,1800.0,0.8783333333333333,-1.6350511,0.08332195,0.9583333333333334
0.83838606,18,0.20181791,380.0,0.07549726,0.104880266,1900.0,0.89,-1.8317083,0.08501721,0.9583333333333334
0.8384194,19,0.20176853,400.0,0.07527553,0.10357735,2000.0,0.9166666666666666,-1.4932089,0.0865755,0.9916666666666667
0.8383982,20,0.20188801,420.0,0.07523921,0.06508374,2100.0,0.9266666666666667,-1.3228136,0.088328026,1.0
0.8385172,21,0.20209509,440.0,0.074944414,0.06280991,2200.0,0.9433333333333332,-1.2515246,0.089519955,0.9916666666666667
0.83843565,22,0.20216179,460.0,0.07460276,0.096728384,2300.0,0.9333333333333332,-1.6636442,0.09063095,0.975
0.83849233,23,0.20222616,480.0,0.07440945,0.09903582,2400.0,0.9383333333333335,-1.2393254,0.09185854,1.0
0.8385151,24,0.202269,500.0,0.074248955,0.104416765,2500.0,0.9283333333333333,-1.174981,0.09284427,0.9916666666666667
0.83852607,25,0.2023613,520.0,0.074088655,0.07196326,2600.0,0.9366666666666666,-1.285124,0.093830936,0.975
0.838484,26,0.20241539,540.0,0.07404284,0.06391055,2700.0,0.9366666666666665,-1.1029869,0.09424066,0.9916666666666667
0.8385771,27,0.2024192,560.0,0.07373917,0.082469694,2800.0,0.9533333333333333,-0.9915646,0.09458969,1.0
0.83854026,28,0.20245628,580.0,0.07366319,0.063469805,2900.0,0.9499999999999998,-1.0847269,0.09525146,1.0
0.8384898,29,0.20243078,600.0,0.073619656,0.14369613,3000.0,0.96,-1.3916163,0.09568036,0.9916666666666667
