epoch,train/critic_loss,test/episode,stats_g/std,train/success_rate,stats_o/mean,test/mean_Q,train/episode,stats_o/std,stats_g/mean,test/success_rate
0,2.3002772,20.0,0.07026633,0.05499999999999999,0.20119065,0.5852187,100.0,0.039136298,0.83853763,0.10833333333333334
1,10.454524,40.0,0.074063204,0.08166666666666667,0.20116997,1.5289901,200.0,0.04579563,0.83802104,0.016666666666666666
2,23.067633,60.0,0.07372169,0.065,0.20105755,1.9649976,300.0,0.047358047,0.8379598,0.041666666666666664
3,31.732157,80.0,0.074522264,0.06833333333333334,0.20119621,2.4389029,400.0,0.04916952,0.838576,0.06666666666666667
4,48.969494,100.0,0.07753337,0.06833333333333334,0.20148583,3.110513,500.0,0.054821383,0.8393469,0.041666666666666664
5,64.80799,120.0,0.07948793,0.06333333333333334,0.20160776,3.4989681,600.0,0.057336826,0.8392859,0.06666666666666667
6,71.31863,140.0,0.08032607,0.05833333333333333,0.20159237,3.3062356,700.0,0.058404166,0.83915305,0.08333333333333333
7,83.220215,160.0,0.08107995,0.06833333333333334,0.20151174,4.1353397,800.0,0.05982622,0.83926624,0.09166666666666667
8,110.589966,180.0,0.08150042,0.06166666666666667,0.20158732,4.3025403,900.0,0.0607792,0.8392889,0.075
9,101.196045,200.0,0.0820129,0.065,0.20153339,4.787147,1000.0,0.06273725,0.83916026,0.08333333333333333
10,123.9125,220.0,0.082597286,0.075,0.20141076,4.641488,1100.0,0.06436083,0.83878857,0.06666666666666667
11,158.83449,240.0,0.0835278,0.065,0.20132203,4.9408174,1200.0,0.0660232,0.8386588,0.10000000000000002
12,135.61874,260.0,0.084175736,0.05833333333333333,0.20136029,5.0909123,1300.0,0.06749946,0.83871824,0.05000000000000001
13,177.23137,280.0,0.084972836,0.07833333333333334,0.20135091,6.259037,1400.0,0.068964645,0.83859235,0.025000000000000005
14,191.94861,300.0,0.08537239,0.055,0.20135362,5.67235,1500.0,0.069768615,0.83846235,0.025000000000000005
15,171.72774,320.0,0.08603806,0.07,0.20123,6.0082974,1600.0,0.07131365,0.83828896,0.08333333333333333
16,218.03748,340.0,0.08696327,0.045000000000000005,0.2011555,7.296696,1700.0,0.07276209,0.8381744,0.041666666666666664
17,239.16174,360.0,0.08806661,0.07166666666666667,0.20109446,7.2270684,1800.0,0.074388176,0.8381451,0.03333333333333333
18,294.66476,380.0,0.08886177,0.07333333333333335,0.20104925,6.9007645,1900.0,0.07571118,0.83804923,0.049999999999999996
19,278.75412,400.0,0.08998093,0.07,0.20101504,7.163276,2000.0,0.07672549,0.8379099,0.075
20,339.8491,420.0,0.0910294,0.05666666666666667,0.20096648,8.872251,2100.0,0.07791484,0.837838,0.049999999999999996
21,299.34082,440.0,0.092149444,0.056666666666666664,0.20092995,7.808453,2200.0,0.079290666,0.83764035,0.075
22,347.06326,460.0,0.09323889,0.06333333333333334,0.20091492,8.534446,2300.0,0.080675274,0.8373139,0.05833333333333334
23,419.7111,480.0,0.09356582,0.05833333333333334,0.2008549,8.680719,2400.0,0.08166318,0.83714294,0.06666666666666667
24,450.58264,500.0,0.093836986,0.05833333333333333,0.20090634,7.0743184,2500.0,0.08210556,0.837261,0.09999999999999999
25,400.13394,520.0,0.09359163,0.04833333333333334,0.20098297,8.004263,2600.0,0.08229403,0.83736324,0.05000000000000001
26,409.0464,540.0,0.093911655,0.07833333333333334,0.2010054,7.839382,2700.0,0.08281296,0.8372753,0.075
27,516.3442,560.0,0.094019294,0.055,0.20093386,8.911839,2800.0,0.08343818,0.83711004,0.11666666666666665
28,440.22934,580.0,0.09420851,0.05333333333333334,0.20086591,8.813237,2900.0,0.08383077,0.8370927,0.041666666666666664
29,409.1868,600.0,0.09418365,0.07,0.20085587,8.825551,3000.0,0.084099896,0.8370156,0.041666666666666664
