epoch,stats_g/mean,train/episode,stats_o/mean,train/success_rate,test/success_rate,test/episode,train/critic_loss,stats_o/std,stats_g/std,test/mean_Q
0,0.8386407,100.0,0.2011681,0.05333333333333332,0.10000000000000002,20.0,0.17798495,0.041596886,0.07192016,0.5540778
1,0.83787256,200.0,0.2010367,0.08166666666666667,0.016666666666666666,40.0,0.18425047,0.045835476,0.07469639,1.59347
2,0.8379202,300.0,0.2010323,0.06,0.041666666666666664,60.0,0.18070798,0.047150563,0.07493447,1.9061662
3,0.83861923,400.0,0.20138375,0.06666666666666667,0.06666666666666667,80.0,0.17528404,0.049629018,0.07623724,3.0983105
4,0.83937955,500.0,0.20164843,0.075,0.049999999999999996,100.0,0.17787124,0.056068134,0.07947005,3.7681324
5,0.83959746,600.0,0.20181157,0.06833333333333334,0.075,120.0,0.17857242,0.058924537,0.08054798,3.8273108
6,0.8394971,700.0,0.20175804,0.05666666666666667,0.09166666666666667,140.0,0.17687726,0.061491843,0.0823401,3.9972413
7,0.83981586,800.0,0.20187505,0.07666666666666667,0.075,160.0,0.18092388,0.062024098,0.082436,4.6368275
8,0.8398259,900.0,0.20177333,0.05666666666666667,0.075,180.0,0.17906517,0.062048003,0.08264551,4.2585588
9,0.8395757,1000.0,0.20183937,0.07666666666666667,0.075,200.0,0.18203013,0.06257692,0.08258179,4.743874
10,0.8392164,1100.0,0.20175749,0.08166666666666667,0.075,220.0,0.17597012,0.06177556,0.08187771,5.181503
11,0.83910125,1200.0,0.20177948,0.06,0.08333333333333333,240.0,0.17053878,0.061911076,0.08159249,4.7166715
12,0.83915466,1300.0,0.2018079,0.065,0.06666666666666667,260.0,0.16750972,0.062082484,0.08133554,5.4926147
13,0.83906054,1400.0,0.20176928,0.06666666666666667,0.03333333333333333,280.0,0.16620278,0.061923657,0.0809787,5.4609323
14,0.8389635,1500.0,0.201775,0.06666666666666667,0.041666666666666664,300.0,0.17524286,0.0616374,0.080464676,5.7091675
15,0.83882815,1600.0,0.20166926,0.08,0.09166666666666667,320.0,0.17333907,0.06141339,0.08013324,5.8646016
16,0.83875555,1700.0,0.20167144,0.04833333333333334,0.05833333333333333,340.0,0.17190717,0.061049107,0.079780966,5.193685
17,0.8388079,1800.0,0.20164676,0.07166666666666667,0.041666666666666664,360.0,0.19213872,0.06121905,0.079631865,6.093029
18,0.8387323,1900.0,0.20160276,0.08,0.05833333333333334,380.0,0.15809253,0.060905457,0.07940101,5.925926
19,0.8386255,2000.0,0.2015481,0.065,0.08333333333333333,400.0,0.17464857,0.061524514,0.07928183,5.7205315
20,0.8386341,2100.0,0.20153387,0.05833333333333334,0.06666666666666667,420.0,0.16738665,0.061482545,0.07923887,6.626381
21,0.838579,2200.0,0.20153205,0.060000000000000005,0.08333333333333333,440.0,0.16175197,0.06126528,0.07906109,5.4810333
22,0.8383837,2300.0,0.20146723,0.055000000000000014,0.05833333333333334,460.0,0.1765839,0.061180342,0.078872286,6.3949304
23,0.8382425,2400.0,0.20143895,0.05666666666666667,0.06666666666666667,480.0,0.17628008,0.06134625,0.07906212,6.7954164
24,0.8383644,2500.0,0.20149797,0.06333333333333334,0.09999999999999999,500.0,0.18374419,0.0615729,0.078995556,6.1478467
25,0.838388,2600.0,0.20150453,0.053333333333333344,0.05000000000000001,520.0,0.16202493,0.06177045,0.079091184,6.5200677
26,0.83830357,2700.0,0.20148814,0.08666666666666667,0.075,540.0,0.16218881,0.061554607,0.078895114,5.6829143
27,0.8382046,2800.0,0.20146887,0.05833333333333333,0.10833333333333332,560.0,0.17252328,0.06165987,0.07882351,5.7635818
28,0.83818644,2900.0,0.20148773,0.051666666666666666,0.041666666666666664,580.0,0.16262557,0.061519224,0.07861791,6.8169026
29,0.83810765,3000.0,0.20150656,0.07166666666666667,0.03333333333333333,600.0,0.1708007,0.061532218,0.07851247,6.6873307
