epoch,test/mean_Q,train/critic_loss,test/episode,stats_o/std,stats_g/mean,test/success_rate,stats_g/std,train/critic_addnl_loss,stats_o/mean,train/episode,train/success_rate
0,-1.9557747,0.21771272,20.0,0.052111622,0.7429812,0.0,0.1130177,0.19905384,0.17719348,100.0,0.0016666666666666668
1,-3.7705781,0.19006296,40.0,0.051647086,0.74385667,0.0,0.110782884,0.18210089,0.17649895,200.0,0.0016666666666666668
2,-5.6583138,0.18534712,60.0,0.051991653,0.7450784,0.0,0.11251355,0.18115163,0.17711775,300.0,0.0033333333333333335
3,-7.472121,0.1805339,80.0,0.052558172,0.7456779,0.0,0.114067994,0.17417924,0.17729868,400.0,0.0
4,-9.2303095,0.17884092,100.0,0.05307788,0.7460769,0.008333333333333333,0.11766236,0.1740842,0.17754477,500.0,0.005
5,-10.816327,0.18986075,120.0,0.05593029,0.7460947,0.0,0.12253929,0.17717142,0.17756337,600.0,0.0033333333333333335
6,-12.280612,0.2023017,140.0,0.05766472,0.7468071,0.008333333333333333,0.1274895,0.17191179,0.17778762,700.0,0.005
7,-13.734291,0.21177147,160.0,0.059930727,0.74735373,0.008333333333333333,0.1331802,0.18358336,0.17793144,800.0,0.0016666666666666668
8,-15.403503,0.19447406,180.0,0.062120035,0.7476992,0.0,0.13829412,0.17502594,0.17805374,900.0,0.006666666666666667
9,-16.454782,0.3051463,200.0,0.06439315,0.7490061,0.0,0.14348358,0.19454813,0.17844225,1000.0,0.008333333333333333
10,-17.17175,0.22179465,220.0,0.06756977,0.7502386,0.0,0.1491554,0.1835583,0.17863722,1100.0,0.01
11,-18.099377,0.32859787,240.0,0.070264384,0.7527983,0.008333333333333333,0.15676747,0.20950581,0.17911474,1200.0,0.008333333333333333
12,-18.365208,0.32824633,260.0,0.0731925,0.754857,0.008333333333333333,0.16276146,0.18365717,0.17957003,1300.0,0.030000000000000002
13,-19.10844,0.28520814,280.0,0.07717695,0.75713307,0.016666666666666666,0.16969597,0.19160928,0.18001531,1400.0,0.043333333333333335
14,-18.065817,0.427901,300.0,0.08073506,0.7595792,0.016666666666666666,0.1770827,0.25867313,0.18058914,1500.0,0.02
15,-18.371418,0.5673513,320.0,0.08315833,0.76218444,0.008333333333333333,0.1817087,0.25948045,0.18122667,1600.0,0.03333333333333333
16,-19.70587,0.990498,340.0,0.084025525,0.76487607,0.0,0.1839345,0.28234994,0.18177177,1700.0,0.045000000000000005
17,-19.848957,0.9352572,360.0,0.0852515,0.7672662,0.008333333333333333,0.18597798,0.2690045,0.18224294,1800.0,0.03166666666666667
