epoch,test/ag_g_dist,test/episode,test/success_rate,stats_o/mean,test/mean_Q,train/success_rate,stats_g/std,train/critic_loss,stats_o/std,train/episode,stats_g/mean
0,0.13150159,20.0,0.05,0.26218814,-0.28417572,0.05,0.07864757,0.0022798423,0.025693398,100.0,0.8729739
1,0.10286625,40.0,0.15,0.2611822,-0.48498097,0.01,0.07457926,0.0016005143,0.024462616,200.0,0.86817384
2,0.09904357,60.0,0.05,0.2612974,-0.621943,0.06,0.07339149,0.0016463358,0.024153957,300.0,0.86909884
3,0.09471983,80.0,0.05,0.26152653,-0.8058462,0.09,0.07254986,0.0021248835,0.024061274,400.0,0.87021214
4,0.09859927,100.0,0.05,0.26185685,-0.9142622,0.07,0.072598524,0.0019558244,0.024164587,500.0,0.87173223
5,0.08947958,120.0,0.05,0.2620223,-1.131611,0.06,0.07229187,0.0022145412,0.024119105,600.0,0.8723657
6,0.09258668,140.0,0.05,0.26213735,-1.195447,0.09,0.07265883,0.0017728106,0.02423903,700.0,0.87289935
7,0.09131871,160.0,0.1,0.26212892,-1.3886856,0.1,0.07286435,0.0021152813,0.024358217,800.0,0.87290365
8,0.085258186,180.0,0.2,0.26243687,-1.3853191,0.06,0.073610686,0.0018343024,0.024657557,900.0,0.8741398
9,0.08541916,200.0,0.1,0.26265952,-1.5836074,0.11,0.07399779,0.001978813,0.024796154,1000.0,0.8752082
10,0.086700834,220.0,0.1,0.2626449,-1.5729748,0.12,0.074156195,0.0018242418,0.024891475,1100.0,0.8751855
11,0.084499344,240.0,0.1,0.2626975,-1.6926043,0.13,0.0744171,0.0021013892,0.025048822,1200.0,0.8754544
12,0.078965776,260.0,0.15,0.26286626,-1.8512516,0.12,0.07494509,0.0020897095,0.025218084,1300.0,0.8762522
13,0.07881381,280.0,0.2,0.26275542,-1.8793129,0.15,0.075110465,0.0021181004,0.0253274,1400.0,0.8758381
14,0.08033656,300.0,0.15,0.2627804,-1.8969225,0.08,0.0753949,0.0020393534,0.025439661,1500.0,0.875948
15,0.078687936,320.0,0.25,0.26279974,-2.0988004,0.18,0.075667016,0.0021189963,0.02553733,1600.0,0.8760771
16,0.077277124,340.0,0.1,0.26271617,-2.189684,0.09,0.075808555,0.0018225091,0.025598744,1700.0,0.87568814
17,0.0692969,360.0,0.45,0.26267025,-1.8842252,0.13,0.07610588,0.0017733299,0.025688794,1800.0,0.87550384
18,0.077490784,380.0,0.2,0.26266888,-2.238686,0.22,0.076454006,0.0024747746,0.025816679,1900.0,0.8754635
19,0.07647811,400.0,0.15,0.26268667,-2.2512584,0.17,0.07689819,0.002471441,0.025954243,2000.0,0.87548953
20,0.07196616,420.0,0.25,0.26267105,-2.299825,0.14,0.076910295,0.0025813521,0.025994996,2100.0,0.87540835
21,0.07569405,440.0,0.25,0.26258478,-2.1401138,0.18,0.0770156,0.0020113925,0.026037391,2200.0,0.8750689
22,0.06656814,460.0,0.25,0.2626435,-2.2541811,0.19,0.077146284,0.0022889816,0.02609255,2300.0,0.87525415
23,0.07805695,480.0,0.25,0.26268005,-2.2806988,0.18,0.077480316,0.0025948463,0.026186338,2400.0,0.87531024
24,0.07630131,500.0,0.15,0.26271158,-2.4438443,0.21,0.07766355,0.0023120502,0.02626212,2500.0,0.87546563
25,0.073820904,520.0,0.15,0.2627285,-2.4129739,0.18,0.07775872,0.0023822654,0.026306506,2600.0,0.8754615
