stats_g/mean,train/episode,test/ag_g_dist,stats_o/std,test/episode,train/critic_loss,epoch,stats_o/mean,test/success_rate,stats_g/std,test/mean_Q,train/success_rate
0.87196416,20.0,0.14492257,0.03231641,20.0,0.028993329,0,0.26198894,0.21666666666666667,0.10142028,-1.1752301,0.0
0.87658864,40.0,0.10376712,0.02928195,40.0,0.011264946,1,0.2631399,0.4583333333333333,0.09064594,-1.3800707,0.03333333333333333
0.8799761,60.0,0.08790356,0.02801761,60.0,0.010620329,2,0.2640252,0.625,0.08595448,-1.5275993,0.09166666666666667
0.8822854,80.0,0.05794978,0.027524665,80.0,0.012537128,3,0.2645343,0.8166666666666668,0.083883256,-1.3608984,0.16666666666666666
0.88243634,100.0,0.05542088,0.027497733,100.0,0.0213664,4,0.26464754,0.7999999999999999,0.08298994,-1.2904633,0.25
0.88135844,120.0,0.04978783,0.027570188,120.0,0.01820941,5,0.26440734,0.8083333333333332,0.08266347,-1.2593255,0.20833333333333334
0.8804228,140.0,0.03537814,0.027768284,140.0,0.021402583,6,0.26418906,0.8583333333333333,0.08234862,-0.95318127,0.27499999999999997
0.8802751,160.0,0.021074288,0.028073048,160.0,0.018708458,7,0.26412907,0.9166666666666666,0.08218837,-0.6746695,0.35833333333333334
0.8797307,180.0,0.017477034,0.028507411,180.0,0.02006494,8,0.26397914,0.9083333333333333,0.08263871,-0.64257026,0.26666666666666666
0.87939495,200.0,0.011681681,0.028842047,200.0,0.021623895,9,0.2639011,0.9,0.082884245,-0.5499797,0.3
