test/success_rate,stats_g/std,train/episode,epoch,test/ag_g_dist,train/success_rate,train/critic_loss,stats_o/std,stats_g/mean,test/mean_Q,test/episode,stats_o/mean
0.0,0.10144334,20.0,0,0.15660247,0.0,0.00072372187,0.032044426,0.8779234,-1.3114028,20.0,0.26354283
0.0,0.088440545,40.0,1,0.1363457,0.0,0.00054195785,0.0284888,0.8773367,-1.6259426,40.0,0.26334843
0.0,0.083583646,60.0,2,0.13354607,0.0,0.0005405959,0.027166337,0.8766563,-2.0021727,60.0,0.26317766
0.0,0.08034504,80.0,3,0.14012711,0.0,0.00043567477,0.02621992,0.8775311,-2.3969429,80.0,0.26321816
0.0,0.07752913,100.0,4,0.13662955,0.0,0.00040704137,0.025381291,0.8768925,-2.79426,100.0,0.26309788
0.0,0.075848676,120.0,5,0.14273308,0.0,0.00048279273,0.02488088,0.87560606,-3.21428,120.0,0.26282716
0.0,0.074430875,140.0,6,0.14006029,0.008333333333333333,0.00028985486,0.024519956,0.8753269,-3.6343842,140.0,0.2628047
0.0,0.07330499,160.0,7,0.13573541,0.0,0.00027887625,0.024214566,0.8759491,-4.040536,160.0,0.2629881
0.0,0.07249658,180.0,8,0.14181437,0.0,0.00026577993,0.023948288,0.8766877,-4.462295,180.0,0.26322526
0.0,0.0718554,200.0,9,0.14602228,0.0,0.00020724077,0.023774127,0.87706447,-4.8780704,200.0,0.2633625
