epoch,stats_o/std,test/episode,train/critic_loss,test/success_rate,train/success_rate,test/ag_g_dist,stats_g/mean,stats_g/std,stats_o/mean,test/mean_Q,train/episode
0,0.0460265,20.0,0.0022487126,0.0,0.0016666666666666668,0.23720367,0.8420427,0.091846384,0.20283882,-2.876366,100.0
1,0.045717586,40.0,0.005536732,0.0,0.005,0.2220767,0.8444004,0.09245938,0.20323713,-4.865915,200.0
2,0.046299864,60.0,0.008085229,0.0,0.0033333333333333335,0.218611,0.8451073,0.092764504,0.20361179,-6.821375,300.0
3,0.05007197,80.0,0.008975015,0.008333333333333333,0.0016666666666666668,0.2290712,0.84566265,0.09348136,0.20371574,-8.588447,400.0
4,0.05549838,100.0,0.032216698,0.0,0.0033333333333333335,0.23577388,0.8451248,0.095550835,0.20363079,-10.689103,500.0
5,0.062418465,120.0,0.030644646,0.016666666666666666,0.0,0.23799677,0.8450701,0.09925089,0.20356756,-11.828491,600.0
6,0.06782943,140.0,0.07042946,0.016666666666666666,0.0016666666666666668,0.25518224,0.84528494,0.100832336,0.20369212,-12.99065,700.0
7,0.07481225,160.0,0.096863836,0.016666666666666666,0.008333333333333333,0.22566362,0.8453775,0.10281875,0.20387477,-12.903295,800.0
8,0.08170877,180.0,0.13573909,0.016666666666666666,0.005,0.19626002,0.84515214,0.10390556,0.20365141,-12.985603,900.0
9,0.08664905,200.0,0.120120324,0.08333333333333333,0.021666666666666667,0.19801141,0.8451696,0.10465651,0.20374803,-12.466304,1000.0
10,0.09078303,220.0,0.34037757,0.09999999999999999,0.028333333333333332,0.17605306,0.8452881,0.10583151,0.20372593,-12.115486,1100.0
11,0.09591093,240.0,0.33304366,0.09166666666666666,0.03833333333333334,0.20852745,0.8454089,0.106296,0.20375271,-14.606679,1200.0
12,0.09968706,260.0,0.19066016,0.11666666666666665,0.04666666666666667,0.18993933,0.845241,0.10643967,0.20348497,-13.990462,1300.0
13,0.10304633,280.0,0.43846086,0.21666666666666667,0.06,0.17441909,0.8451896,0.106906645,0.20354576,-13.249161,1400.0
14,0.10612842,300.0,0.2909192,0.25833333333333336,0.09666666666666668,0.17442775,0.8451299,0.10730717,0.20355098,-13.124092,1500.0
15,0.10794017,320.0,0.312377,0.3083333333333333,0.11666666666666665,0.15102531,0.84507984,0.10728081,0.20344345,-11.665348,1600.0
16,0.10905311,340.0,0.35631767,0.3833333333333333,0.15333333333333335,0.14749573,0.84502715,0.10707789,0.20349427,-10.934493,1700.0
17,0.10985056,360.0,0.31896207,0.3833333333333333,0.17166666666666666,0.16487806,0.8451062,0.10672311,0.20367734,-12.891037,1800.0
18,0.10949987,380.0,0.25147927,0.44999999999999996,0.18000000000000002,0.17781067,0.8450525,0.10622164,0.20367138,-13.257564,1900.0
19,0.10945827,400.0,0.29529306,0.4916666666666667,0.19666666666666668,0.17010248,0.8452914,0.10567054,0.20377766,-13.499845,2000.0
20,0.10920442,420.0,0.41337743,0.45,0.295,0.15041488,0.84521383,0.10524008,0.20377004,-13.035352,2100.0
21,0.10873637,440.0,0.26988885,0.5499999999999999,0.24166666666666667,0.13487887,0.845371,0.10482675,0.20381959,-11.763023,2200.0
22,0.10822304,460.0,0.34582648,0.6,0.2333333333333333,0.13175352,0.84542656,0.10437737,0.20384572,-10.903645,2300.0
23,0.10779569,480.0,0.21174012,0.4583333333333333,0.26,0.1727467,0.8454673,0.104052536,0.20375788,-15.593011,2400.0
24,0.10749105,500.0,0.23102988,0.5166666666666666,0.25,0.15442602,0.8455538,0.104009055,0.20371138,-13.632949,2500.0
25,0.10710714,520.0,0.26080823,0.525,0.25666666666666665,0.15675674,0.8456561,0.10357061,0.20373148,-14.397414,2600.0
26,0.10673684,540.0,0.29192197,0.4833333333333334,0.265,0.16836955,0.84582394,0.10329417,0.20379885,-16.067793,2700.0
27,0.10646385,560.0,0.17082663,0.5083333333333333,0.25333333333333335,0.15387861,0.8458579,0.10317307,0.20382798,-15.389328,2800.0
28,0.106179945,580.0,0.21299438,0.55,0.25833333333333336,0.14707875,0.84592724,0.1029203,0.20385653,-13.852092,2900.0
29,0.105786115,600.0,0.19879168,0.6333333333333333,0.25166666666666665,0.1229189,0.84605265,0.10273099,0.20387274,-11.94888,3000.0
30,0.10540298,620.0,0.27715585,0.5750000000000001,0.25833333333333336,0.15900095,0.8460836,0.10255856,0.20386009,-15.682205,3100.0
31,0.10524991,640.0,0.22937192,0.5083333333333333,0.275,0.1537662,0.8461342,0.102463104,0.20385009,-15.928706,3200.0
32,0.105044514,660.0,0.20192267,0.5750000000000001,0.23666666666666666,0.13603641,0.84600383,0.102234356,0.20383145,-15.735947,3300.0
