epoch,test/ag_g_dist,stats_o/mean,test/episode,stats_g/mean,test/mean_Q,train/success_rate,train/critic_loss,test/success_rate,stats_o/std,train/episode,stats_g/std
0,0.23726805,0.20337678,20.0,0.84177595,-3.099579,0.0033333333333333335,0.34922683,0.0,0.051855016,100.0,0.09344089
1,0.22205597,0.2037154,40.0,0.8443177,-5.2578373,0.005,0.5879263,0.0,0.050750986,200.0,0.09324413
2,0.2182364,0.20405729,60.0,0.84500545,-7.0732617,0.0016666666666666668,0.6433502,0.0,0.053066287,300.0,0.09346802
3,0.23377083,0.20403236,80.0,0.84552306,-8.7893095,0.0,0.63602763,0.008333333333333333,0.057266247,400.0,0.09562701
4,0.23575473,0.20391832,100.0,0.84519655,-10.77518,0.0,0.61473227,0.0,0.06290659,500.0,0.09784982
5,0.23727255,0.20387799,120.0,0.8449381,-12.132472,0.0,0.60400885,0.008333333333333333,0.0703429,600.0,0.1017347
6,0.24734539,0.20397659,140.0,0.8449485,-12.984309,0.0016666666666666668,0.60160464,0.0,0.075457126,700.0,0.10332882
7,0.21779704,0.20408602,160.0,0.84509206,-12.250173,0.0016666666666666668,0.5965281,0.008333333333333333,0.08110914,800.0,0.1047773
8,0.18322583,0.20412476,180.0,0.8452588,-11.477322,0.01,0.597063,0.05833333333333334,0.08739253,900.0,0.105862
9,0.20105906,0.20437868,200.0,0.8454924,-11.366221,0.011666666666666667,0.61847764,0.13333333333333333,0.093191214,1000.0,0.10611788
10,0.14879437,0.20432793,220.0,0.84557563,-9.447999,0.04,0.6477284,0.3666666666666667,0.099064715,1100.0,0.10797512
11,0.18440495,0.20442916,240.0,0.84565,-11.11993,0.06,0.6449515,0.3583333333333334,0.10360831,1200.0,0.10869602
12,0.1626132,0.20430209,260.0,0.84553504,-10.857106,0.10666666666666667,0.6607437,0.4083333333333334,0.10650583,1300.0,0.108786725
13,0.14601423,0.20435672,280.0,0.84562796,-9.566077,0.125,0.60368896,0.5166666666666667,0.108082734,1400.0,0.108797826
14,0.16161782,0.20452385,300.0,0.84575015,-11.020523,0.1466666666666667,0.6085137,0.47500000000000003,0.10966673,1500.0,0.108629234
15,0.111983426,0.20461422,320.0,0.845638,-7.436174,0.17333333333333334,0.56768733,0.6083333333333334,0.1105657,1600.0,0.10852026
16,0.11646441,0.20479487,340.0,0.8458183,-7.460502,0.19666666666666668,0.54547864,0.7166666666666667,0.111020125,1700.0,0.10822218
17,0.10328076,0.20483072,360.0,0.845802,-5.5514092,0.22,0.60767573,0.7166666666666667,0.11166158,1800.0,0.10844975
18,0.08082945,0.2049176,380.0,0.8460569,-3.7078464,0.18833333333333332,0.5978895,0.7416666666666667,0.1123991,1900.0,0.109031886
19,0.07297818,0.20493793,400.0,0.84631425,-2.9915428,0.21833333333333335,0.51591784,0.775,0.1129388,2000.0,0.10921902
20,0.060093317,0.20496197,420.0,0.84644026,-2.6524966,0.205,0.59431326,0.8500000000000001,0.11321031,2100.0,0.109507285
21,0.056686487,0.2048948,440.0,0.8467774,-2.6305373,0.22833333333333336,0.47431663,0.8916666666666666,0.11393488,2200.0,0.1097968
22,0.048935026,0.20496593,460.0,0.84702086,-2.289563,0.20833333333333334,0.5124591,0.85,0.11434033,2300.0,0.10998734
23,0.05653705,0.20507753,480.0,0.84723806,-2.4717135,0.20166666666666666,0.79644555,0.85,0.11496514,2400.0,0.10993182
24,0.05636586,0.20518897,500.0,0.84751177,-2.4462585,0.21166666666666667,0.60439867,0.8583333333333334,0.11551962,2500.0,0.11046121
25,0.05928294,0.2052521,520.0,0.84775114,-2.3383057,0.165,0.5281507,0.8416666666666667,0.11586895,2600.0,0.11060826
26,0.055388838,0.20529987,540.0,0.8480177,-2.3504274,0.19666666666666668,0.4634539,0.8833333333333333,0.11636141,2700.0,0.110743724
27,0.059570055,0.20536281,560.0,0.84828657,-2.8323438,0.21666666666666667,0.48886165,0.875,0.116564386,2800.0,0.11080084
28,0.056304235,0.20544659,580.0,0.84848166,-2.476597,0.20166666666666666,0.46300343,0.8916666666666667,0.11680025,2900.0,0.110855915
29,0.047512457,0.20548517,600.0,0.8486424,-2.3084502,0.19000000000000003,0.4779558,0.9166666666666666,0.116927244,3000.0,0.110995434
30,0.05501004,0.20550783,620.0,0.84871596,-2.390741,0.17166666666666663,0.6319991,0.85,0.117179774,3100.0,0.11108146
31,0.050149847,0.20552957,640.0,0.8487885,-2.3862214,0.22,0.53197235,0.9,0.11746409,3200.0,0.11097467
32,0.044873606,0.2055399,660.0,0.84887105,-2.245124,0.18000000000000002,0.45296183,0.9166666666666666,0.11754259,3300.0,0.110941015
