test/mean_Q,test/ag_g_dist,test/episode,test/success_rate,train/episode,train/critic_loss,epoch,stats_g/mean,train/success_rate,stats_g/std,stats_o/mean,stats_o/std
-2.7750442,0.17480035,20.0,0.0,100.0,0.090071954,0,0.8372534,0.0016666666666666668,0.07045729,0.20099084,0.04516984
-4.888483,0.18188941,40.0,0.008333333333333333,200.0,0.08856309,1,0.83723086,0.0016666666666666668,0.07063154,0.20096342,0.04802673
-6.7932687,0.17012548,60.0,0.008333333333333333,300.0,0.08537668,2,0.8373205,0.0033333333333333335,0.071700744,0.20090728,0.046484742
-8.929981,0.1820157,80.0,0.0,400.0,0.09260977,3,0.8377247,0.013333333333333334,0.07566462,0.20120831,0.051058814
-10.562934,0.18711297,100.0,0.0,500.0,0.10546303,4,0.8386109,0.006666666666666667,0.07909976,0.20149338,0.055506554
-11.405936,0.15776227,120.0,0.016666666666666666,600.0,0.10171502,5,0.8387773,0.013333333333333334,0.08016607,0.2015026,0.057601046
-11.383513,0.1503416,140.0,0.075,700.0,0.13570806,6,0.8387292,0.02,0.08055879,0.20138896,0.06350006
-10.75295,0.14359976,160.0,0.10000000000000002,800.0,0.14922358,7,0.83933336,0.065,0.08044152,0.20166671,0.0689074
-8.818435,0.11160833,180.0,0.21666666666666667,900.0,0.15928607,8,0.83932513,0.10333333333333333,0.08057727,0.20187032,0.076394945
-6.1232047,0.085182965,200.0,0.325,1000.0,0.19687593,9,0.8392803,0.16333333333333333,0.08069346,0.20162655,0.08399435
-3.91809,0.05356066,220.0,0.5583333333333332,1100.0,0.24972296,10,0.83906645,0.26999999999999996,0.080728956,0.20137215,0.0912655
-3.244995,0.045023423,240.0,0.7666666666666667,1200.0,0.20211947,11,0.8390456,0.3466666666666667,0.08060753,0.20126873,0.0970668
-3.142663,0.049609065,260.0,0.7333333333333334,1300.0,0.21325608,12,0.83904976,0.34833333333333333,0.080040805,0.20138872,0.10180369
-3.1530304,0.051640958,280.0,0.7833333333333332,1400.0,0.21996664,13,0.83885527,0.4466666666666666,0.079457484,0.20129885,0.10491075
-2.90424,0.04576129,300.0,0.775,1500.0,0.211012,14,0.8387137,0.42,0.079516,0.20110911,0.10755988
-2.7336235,0.046750396,320.0,0.8416666666666668,1600.0,0.27921852,15,0.838793,0.4566666666666667,0.07897886,0.20124531,0.10970392
-2.3859098,0.0413552,340.0,0.9416666666666665,1700.0,0.25971672,16,0.83880955,0.47,0.078885,0.20118839,0.11177709
-2.5446386,0.045743007,360.0,0.9416666666666668,1800.0,0.23031984,17,0.8389492,0.46166666666666667,0.07898774,0.20112263,0.11350193
-2.6927185,0.047654215,380.0,0.8666666666666666,1900.0,0.28112766,18,0.8389563,0.48333333333333334,0.07900567,0.2011251,0.11549627
-2.3856454,0.04152101,400.0,0.9333333333333332,2000.0,0.2903134,19,0.8388892,0.49,0.07910354,0.20109223,0.11738012
-2.4331806,0.043513376,420.0,0.9499999999999998,2100.0,0.34211564,20,0.8388508,0.5166666666666667,0.078813724,0.20120887,0.11862367
