epoch,stats_o/mean,test/success_rate,stats_o/std,train/success_rate,stats_g/mean,test/mean_Q,train/critic_loss,test/ag_g_dist,stats_g/std,test/episode,train/episode
0,0.17684835,0.0,0.057855204,0.0,0.7413926,-3.1611683,0.09230241,0.47843495,0.1210972,20.0,100.0
1,0.17640169,0.0,0.055831898,0.0,0.7429642,-5.207768,0.092517614,0.44888747,0.11984265,40.0,200.0
2,0.17677337,0.0,0.05542774,0.0,0.7433861,-7.258816,0.08461636,0.42647934,0.1199371,60.0,300.0
3,0.17709546,0.0,0.05560876,0.0,0.7448918,-9.273643,0.10125592,0.46673927,0.12028653,80.0,400.0
4,0.17760615,0.0,0.05693912,0.0,0.7458995,-11.018307,0.097851954,0.45414266,0.1258281,100.0,500.0
5,0.17762946,0.0,0.05840617,0.0,0.7461522,-12.841258,0.09781065,0.47677907,0.12875353,120.0,600.0
6,0.17785756,0.0,0.059739675,0.0,0.747174,-14.502894,0.11341891,0.47684276,0.13258064,140.0,700.0
7,0.17800462,0.0,0.062124033,0.0,0.74810094,-15.554515,0.226245,0.4257621,0.13715245,160.0,800.0
8,0.17821425,0.0,0.06472365,0.0,0.7492812,-17.164011,0.28319052,0.4773167,0.14333087,180.0,900.0
9,0.17863564,0.0,0.06808927,0.0,0.7508213,-18.441442,0.27529964,0.4863794,0.14876139,200.0,1000.0
10,0.17876667,0.0,0.07108755,0.0016666666666666668,0.75175524,-19.088295,0.45253912,0.48553047,0.15459271,220.0,1100.0
11,0.17888035,0.0,0.07539895,0.0,0.75234604,-19.5927,0.64604634,0.47145298,0.16177404,240.0,1200.0
12,0.17931102,0.0,0.07918311,0.0,0.7535643,-19.897366,0.47917882,0.45673802,0.16890585,260.0,1300.0
13,0.17960195,0.0,0.08444353,0.0016666666666666668,0.75401163,-20.264997,0.7174693,0.52344847,0.17721178,280.0,1400.0
14,0.17989688,0.0,0.08873568,0.0033333333333333335,0.75425214,-20.910355,0.58578235,0.4729047,0.18424098,300.0,1500.0
15,0.18029512,0.0,0.09162732,0.0,0.7553205,-20.534971,1.0278692,0.44341394,0.19026361,320.0,1600.0
16,0.18046884,0.016666666666666666,0.0945844,0.005,0.7560839,-20.210188,0.46824387,0.35143164,0.19461536,340.0,1700.0
17,0.18094976,0.0,0.09623023,0.0,0.7579277,-21.334696,0.6242304,0.40734252,0.19709313,360.0,1800.0
18,0.18153183,0.0,0.09755657,0.0016666666666666668,0.7598064,-21.46016,0.3965629,0.396703,0.19884925,380.0,1900.0
19,0.18191038,0.0,0.09867222,0.0,0.76154107,-21.131178,0.6081522,0.3805882,0.20012991,400.0,2000.0
20,0.18237086,0.008333333333333333,0.100202836,0.0,0.76330024,-22.86026,1.0762893,0.37049308,0.20219952,420.0,2100.0
21,0.18285722,0.008333333333333333,0.10202262,0.0033333333333333335,0.7656005,-22.689672,1.7267047,0.37895325,0.20443416,440.0,2200.0
22,0.18318373,0.0,0.103234164,0.0016666666666666668,0.7672038,-21.246126,2.096722,0.35599947,0.20613045,460.0,2300.0
23,0.18355249,0.0,0.10419679,0.0033333333333333335,0.7688739,-22.642656,0.9411376,0.38185713,0.20740491,480.0,2400.0
24,0.1840114,0.008333333333333333,0.10514679,0.0,0.7714851,-21.390228,2.067119,0.29612646,0.2087173,500.0,2500.0
25,0.18450592,0.0,0.10598111,0.0,0.7739053,-23.107666,1.7716289,0.3317769,0.20998399,520.0,2600.0
26,0.18491791,0.0,0.10663316,0.0,0.776377,-23.114656,1.1781219,0.30515352,0.2107542,540.0,2700.0
27,0.18526112,0.008333333333333333,0.107063524,0.0,0.7785024,-24.993372,2.0392678,0.32759607,0.21135245,560.0,2800.0
28,0.18554224,0.016666666666666666,0.10733352,0.0033333333333333335,0.78044254,-23.70275,1.7201439,0.3220849,0.2119867,580.0,2900.0
29,0.18582594,0.008333333333333333,0.10775235,0.0,0.78233796,-23.205612,2.2385137,0.31098607,0.2124434,600.0,3000.0
30,0.18600422,0.008333333333333333,0.108073585,0.015,0.78393704,-23.399748,3.2947721,0.31705728,0.21264626,620.0,3100.0
31,0.18618135,0.008333333333333333,0.1084621,0.0033333333333333335,0.7857282,-26.234177,2.1556616,0.30901363,0.21305476,640.0,3200.0
32,0.18638404,0.0,0.10864681,0.006666666666666667,0.7871378,-23.272898,2.8598747,0.3246554,0.21346025,660.0,3300.0
33,0.18662971,0.016666666666666666,0.109012984,0.0033333333333333335,0.7887106,-25.326742,1.0995206,0.29733315,0.2139362,680.0,3400.0
34,0.18685944,0.0,0.10907794,0.0016666666666666668,0.79014665,-28.006968,3.0429847,0.31989,0.214384,700.0,3500.0
35,0.18710105,0.016666666666666666,0.1091874,0.0016666666666666668,0.79174036,-26.419348,2.3086245,0.3009093,0.21449597,720.0,3600.0
36,0.18730961,0.008333333333333333,0.109124996,0.0,0.792855,-26.669806,3.7482672,0.32746673,0.2143572,740.0,3700.0
37,0.18741888,0.016666666666666666,0.10915754,0.0033333333333333335,0.7938524,-24.995386,4.938866,0.2503496,0.21426946,760.0,3800.0
38,0.18764298,0.0,0.10912631,0.0016666666666666668,0.79511505,-25.979643,5.5768166,0.28157333,0.21414344,780.0,3900.0
39,0.18782127,0.016666666666666666,0.109105796,0.0016666666666666668,0.7962885,-25.310331,4.084768,0.28238684,0.21394229,800.0,4000.0
40,0.18799393,0.008333333333333333,0.109167404,0.0033333333333333335,0.7972495,-25.561775,3.9359362,0.23166986,0.21369521,820.0,4100.0
41,0.18810755,0.008333333333333333,0.10918733,0.005,0.7979598,-25.262054,5.5091667,0.27638003,0.21347372,840.0,4200.0
42,0.18820174,0.008333333333333333,0.10919873,0.0033333333333333335,0.79865307,-24.472406,3.7144432,0.25300416,0.2133559,860.0,4300.0
43,0.18835641,0.025000000000000005,0.109103344,0.005,0.7994802,-19.60561,2.786805,0.28793016,0.21303928,880.0,4400.0
44,0.18844746,0.0,0.10898116,0.0033333333333333335,0.8000853,-24.542181,4.957024,0.25820714,0.21243781,900.0,4500.0
45,0.18859798,0.008333333333333333,0.10900643,0.006666666666666667,0.80084467,-21.971827,4.17761,0.25443646,0.21193165,920.0,4600.0
46,0.18866266,0.03333333333333333,0.10906886,0.0016666666666666668,0.8014218,-22.281273,5.17079,0.24188225,0.21138667,940.0,4700.0
47,0.1887719,0.03333333333333333,0.10911373,0.013333333333333334,0.8020582,-19.728312,4.189304,0.20011628,0.21095605,960.0,4800.0
48,0.18891716,0.008333333333333333,0.10912857,0.0016666666666666668,0.8027331,-23.42163,4.1041026,0.2259015,0.21051455,980.0,4900.0
49,0.18900627,0.0,0.10912285,0.006666666666666667,0.803344,-22.47318,3.1585724,0.23939323,0.21013679,1000.0,5000.0
50,0.18910843,0.03333333333333333,0.10904726,0.006666666666666667,0.80381685,-21.316751,2.6528697,0.23067598,0.20967667,1020.0,5100.0
51,0.18913634,0.05000000000000001,0.10901576,0.01,0.8042782,-21.47735,4.890888,0.20285256,0.2091345,1040.0,5200.0
52,0.18917732,0.025000000000000005,0.10900428,0.005,0.80457586,-22.029776,5.114207,0.22116537,0.20866185,1060.0,5300.0
53,0.18923189,0.025000000000000005,0.10895934,0.011666666666666667,0.80496746,-21.69307,3.8614044,0.19028044,0.20819008,1080.0,5400.0
54,0.18932913,0.07500000000000001,0.108892165,0.0016666666666666668,0.80543,-22.844904,3.2356093,0.21777369,0.2077079,1100.0,5500.0
55,0.18937457,0.03333333333333333,0.108837,0.006666666666666667,0.8057751,-22.716482,2.6262286,0.17712331,0.20714664,1120.0,5600.0
56,0.189445,0.05000000000000001,0.108830415,0.013333333333333334,0.8059998,-22.902613,2.6438258,0.19789214,0.20669448,1140.0,5700.0
57,0.18950252,0.03333333333333333,0.10886794,0.005,0.80621666,-23.137182,4.9655385,0.2475174,0.2063163,1160.0,5800.0
58,0.18957739,0.05000000000000001,0.10892075,0.01,0.8063998,-21.454185,2.6129625,0.1966819,0.20590244,1180.0,5900.0
59,0.18961231,0.025000000000000005,0.10893927,0.005,0.8066404,-24.379541,4.4957566,0.20144887,0.20560066,1200.0,6000.0
60,0.18966782,0.05000000000000001,0.10892602,0.018333333333333337,0.8069101,-24.676064,3.551511,0.18770225,0.20532264,1220.0,6100.0
61,0.18970753,0.025000000000000005,0.10896686,0.005,0.8070578,-23.967392,2.9612389,0.20986342,0.20512898,1240.0,6200.0
62,0.18975993,0.07500000000000001,0.10892681,0.01,0.8073047,-25.312296,3.9988337,0.21350585,0.20484011,1260.0,6300.0
63,0.18981063,0.05833333333333333,0.10899839,0.011666666666666667,0.80762297,-26.019121,6.0949383,0.2127053,0.20464133,1280.0,6400.0
64,0.18984394,0.041666666666666664,0.109045066,0.01,0.80784446,-23.561571,3.8254035,0.1926784,0.20443797,1300.0,6500.0
65,0.18992485,0.06666666666666667,0.10906306,0.015,0.80814856,-22.8467,4.117035,0.19544236,0.20406634,1320.0,6600.0
66,0.1899926,0.05833333333333333,0.10905447,0.006666666666666667,0.80838865,-23.95613,3.9315536,0.1836984,0.2037677,1340.0,6700.0
67,0.19002266,0.025000000000000005,0.10914823,0.011666666666666667,0.8085916,-24.571264,2.7891243,0.18699153,0.20353782,1360.0,6800.0
68,0.19007206,0.10833333333333334,0.109260924,0.01,0.8088946,-23.04276,2.7497082,0.18306382,0.20335563,1380.0,6900.0
69,0.19010787,0.075,0.10938198,0.01,0.80911285,-23.838629,1.9660021,0.2030329,0.2031662,1400.0,7000.0
70,0.19012292,0.041666666666666664,0.109582126,0.008333333333333333,0.80926704,-21.66511,1.5812435,0.1899517,0.20297553,1420.0,7100.0
71,0.19013427,0.075,0.10974897,0.011666666666666667,0.80943424,-21.808777,3.522578,0.19486879,0.20291628,1440.0,7200.0
72,0.1901672,0.06666666666666667,0.10987819,0.015,0.8096432,-21.15146,3.2626963,0.20882916,0.20264955,1460.0,7300.0
73,0.19022281,0.025000000000000005,0.11007396,0.008333333333333333,0.8098267,-17.524633,2.9855978,0.17612775,0.20243506,1480.0,7400.0
74,0.19030328,0.05000000000000001,0.11020047,0.008333333333333333,0.81018203,-18.052835,2.3275414,0.17280395,0.20205657,1500.0,7500.0
75,0.19036324,0.05000000000000001,0.11034229,0.016666666666666666,0.81053656,-19.236639,3.2669132,0.18123414,0.20185332,1520.0,7600.0
76,0.19044347,0.05833333333333334,0.110483736,0.011666666666666667,0.8108487,-19.482197,2.166929,0.17511545,0.20168547,1540.0,7700.0
77,0.19049282,0.05000000000000001,0.11059421,0.015,0.8110718,-18.351736,2.6035147,0.17084648,0.20151542,1560.0,7800.0
78,0.19056666,0.03333333333333333,0.110699266,0.006666666666666667,0.8113832,-20.202417,1.9423324,0.1925565,0.2014242,1580.0,7900.0
79,0.19061702,0.10833333333333334,0.11083168,0.008333333333333333,0.81164265,-19.875511,2.8694801,0.17226295,0.20127755,1600.0,8000.0
80,0.19069575,0.10000000000000002,0.11078318,0.02,0.81192845,-19.363928,2.4703689,0.18710165,0.2010483,1620.0,8100.0
81,0.1907595,0.09166666666666667,0.110831,0.01,0.81214994,-21.909332,1.4621438,0.19711553,0.20085962,1640.0,8200.0
82,0.19080721,0.06666666666666667,0.110825695,0.008333333333333333,0.8123432,-21.3259,1.8708916,0.19953875,0.20068596,1660.0,8300.0
83,0.19086225,0.10000000000000002,0.11083085,0.005,0.81255656,-21.041636,2.2093353,0.17570876,0.2005177,1680.0,8400.0
84,0.19090392,0.05833333333333334,0.11075344,0.01,0.81282544,-22.072533,2.65472,0.17375545,0.20028234,1700.0,8500.0
85,0.19091314,0.06666666666666667,0.11080697,0.01,0.8130112,-21.013243,3.2404413,0.16801357,0.20017421,1720.0,8600.0
86,0.1909595,0.06666666666666667,0.11079612,0.01,0.8132886,-22.723127,3.0411785,0.19101691,0.19993669,1740.0,8700.0
87,0.19103356,0.075,0.11085341,0.011666666666666667,0.81353307,-20.27317,2.9436958,0.17287703,0.19975471,1760.0,8800.0
88,0.19107963,0.06666666666666667,0.11094735,0.011666666666666667,0.81368846,-20.099392,2.6836727,0.20187633,0.19963051,1780.0,8900.0
89,0.19112466,0.08333333333333333,0.11098209,0.011666666666666667,0.81389385,-20.125574,1.2399882,0.170807,0.19939531,1800.0,9000.0
90,0.19116051,0.06666666666666667,0.111038715,0.006666666666666667,0.8141096,-19.58526,2.2739377,0.17688286,0.19914357,1820.0,9100.0
91,0.19117421,0.14166666666666666,0.111059874,0.02666666666666667,0.81423616,-18.894361,2.2774076,0.16551049,0.19884418,1840.0,9200.0
92,0.19122262,0.13333333333333333,0.11114717,0.008333333333333333,0.8144147,-17.081879,2.7799537,0.18170266,0.19858263,1860.0,9300.0
93,0.19128092,0.10000000000000002,0.11122504,0.006666666666666667,0.8146352,-17.394077,1.5500606,0.16865249,0.19830273,1880.0,9400.0
94,0.1913249,0.05833333333333333,0.11133238,0.013333333333333334,0.8148772,-21.882866,1.5754083,0.18050246,0.19812329,1900.0,9500.0
95,0.1913497,0.10833333333333334,0.11140489,0.01,0.81510687,-19.003557,2.2147388,0.16970336,0.1979292,1920.0,9600.0
96,0.19141471,0.13333333333333333,0.11145875,0.01,0.8153588,-15.9782295,2.2825882,0.15177149,0.19776396,1940.0,9700.0
97,0.19145377,0.075,0.11150361,0.008333333333333333,0.8156066,-19.877134,1.8084558,0.17216557,0.19760327,1960.0,9800.0
98,0.19149612,0.09166666666666667,0.111566365,0.015,0.8158198,-18.175455,1.6259576,0.17046535,0.19744341,1980.0,9900.0
99,0.19152333,0.14166666666666666,0.1115722,0.008333333333333333,0.8160811,-19.789686,2.7194033,0.16217679,0.19723862,2000.0,10000.0
100,0.19157852,0.09166666666666667,0.111579925,0.015,0.81631756,-18.608816,1.7884942,0.17836201,0.19703679,2020.0,10100.0
101,0.19163139,0.15,0.111608766,0.016666666666666666,0.81656504,-17.894083,1.7294011,0.18065059,0.19686966,2040.0,10200.0
102,0.19166403,0.18333333333333335,0.11162871,0.008333333333333333,0.81675315,-18.856813,1.8019139,0.1766506,0.1966315,2060.0,10300.0
103,0.19167572,0.09166666666666667,0.11161562,0.011666666666666667,0.81689376,-17.85449,2.076823,0.14900684,0.19643982,2080.0,10400.0
104,0.19169925,0.03333333333333333,0.111617655,0.01,0.8170287,-17.734093,3.0525215,0.17681825,0.1963004,2100.0,10500.0
105,0.19171846,0.10833333333333334,0.11166694,0.006666666666666667,0.8171513,-18.390476,2.1197388,0.18432772,0.19614242,2120.0,10600.0
106,0.19175749,0.11666666666666665,0.11171777,0.011666666666666667,0.8173154,-20.400217,1.2542272,0.189749,0.19599777,2140.0,10700.0
107,0.19182056,0.05833333333333333,0.111766964,0.023333333333333334,0.8174811,-19.172995,1.8954328,0.17005442,0.19585042,2160.0,10800.0
108,0.19187887,0.09999999999999999,0.11178329,0.006666666666666667,0.8176965,-19.439308,2.9886549,0.17653416,0.19569083,2180.0,10900.0
109,0.19192553,0.125,0.111877225,0.015000000000000001,0.81782794,-18.560171,2.3778493,0.15449017,0.19551094,2200.0,11000.0
110,0.19196062,0.14166666666666666,0.11193765,0.006666666666666667,0.81799763,-17.920362,1.0990452,0.18273252,0.19539535,2220.0,11100.0
111,0.1920048,0.09166666666666667,0.11196512,0.011666666666666665,0.8182195,-21.786589,2.8614852,0.17377464,0.19527407,2240.0,11200.0
112,0.19202001,0.17500000000000002,0.11203843,0.013333333333333334,0.8183002,-17.89253,1.6089948,0.17185442,0.19514851,2260.0,11300.0
113,0.19202717,0.14166666666666666,0.11206701,0.011666666666666667,0.8183973,-18.559084,3.6037033,0.17623253,0.19500536,2280.0,11400.0
114,0.19206607,0.125,0.112081565,0.015,0.8185463,-20.8959,3.118307,0.17627764,0.19485252,2300.0,11500.0
115,0.1920908,0.05000000000000001,0.11209086,0.01,0.8186946,-20.426569,2.2092655,0.17144239,0.19473253,2320.0,11600.0
116,0.19211517,0.05833333333333334,0.11214921,0.01,0.8188425,-18.380829,2.0540955,0.15988372,0.19455858,2340.0,11700.0
117,0.19213532,0.08333333333333333,0.1121824,0.018333333333333333,0.8189494,-18.78567,2.6421769,0.17410298,0.19443814,2360.0,11800.0
118,0.1921549,0.125,0.1121911,0.006666666666666667,0.8190422,-20.262877,3.1828077,0.1667654,0.19428222,2380.0,11900.0
119,0.19218235,0.14166666666666666,0.11220496,0.011666666666666665,0.8191615,-19.804277,2.857816,0.16406012,0.19412719,2400.0,12000.0
120,0.19222401,0.125,0.112214185,0.013333333333333334,0.8193287,-18.832151,2.5995007,0.17332159,0.1940009,2420.0,12100.0
121,0.19223881,0.14166666666666666,0.112232864,0.011666666666666667,0.81940365,-18.956215,3.1261365,0.16997342,0.19387497,2440.0,12200.0
122,0.1922657,0.11666666666666665,0.11223632,0.016666666666666666,0.8194893,-18.93296,3.606694,0.1795336,0.19380502,2460.0,12300.0
