stats_o/mean,stats_o/std,train/critic_loss,test/ag_g_dist,train/episode,train/success_rate,test/mean_Q,stats_g/mean,test/episode,epoch,stats_g/std,test/success_rate
0.17676795,0.05578111,0.24471414,0.47845402,100.0,0.0,-3.0406806,0.74286836,20.0,0,0.12261468,0.0
0.17613702,0.055811595,0.4018643,0.4487585,200.0,0.0,-5.1541457,0.7422218,40.0,1,0.12450037,0.0
0.1766153,0.05582225,1.4073828,0.4273901,300.0,0.0,-7.174457,0.7430591,60.0,2,0.12317303,0.0
0.17695005,0.055383038,0.20581765,0.46558404,400.0,0.0,-9.255832,0.7439266,80.0,3,0.12311887,0.0
0.17740946,0.055581268,0.44351974,0.44834697,500.0,0.0,-11.024303,0.7448662,100.0,4,0.1237547,0.0
0.17726381,0.05610461,0.7263501,0.473336,600.0,0.0,-12.903275,0.7440362,120.0,5,0.12471854,0.0
0.17739546,0.057646375,0.2082655,0.4598074,700.0,0.0,-14.380368,0.7441583,140.0,6,0.12624852,0.0
0.17729153,0.059189763,0.59064597,0.41652754,800.0,0.0,-15.883609,0.7440319,160.0,7,0.12836264,0.0
0.17713971,0.060327064,0.4189485,0.46210447,900.0,0.0,-17.671114,0.74357635,180.0,8,0.12995452,0.0
0.1773086,0.061819535,0.92283696,0.4500445,1000.0,0.0,-19.027182,0.7434656,200.0,9,0.13240649,0.0
0.1772909,0.06323371,0.748328,0.4799687,1100.0,0.0,-20.324965,0.74381334,220.0,10,0.13547362,0.0
0.17741127,0.064976476,0.73426706,0.48367324,1200.0,0.0,-21.86535,0.7445789,240.0,11,0.13843858,0.0
0.17765372,0.067426674,1.0239202,0.48116383,1300.0,0.0,-21.2689,0.7453163,260.0,12,0.14304578,0.0
0.17788333,0.069958664,0.75064665,0.45847967,1400.0,0.0,-22.626547,0.74596673,280.0,13,0.14757206,0.0
0.17820054,0.07230543,1.0548955,0.43946537,1500.0,0.0,-22.350317,0.74672365,300.0,14,0.15241705,0.0
0.17858237,0.07456519,1.0208226,0.43085924,1600.0,0.0,-22.398401,0.7481864,320.0,15,0.15719746,0.0
0.17866538,0.077737644,0.83453864,0.4060097,1700.0,0.0,-22.11246,0.7488715,340.0,16,0.16345586,0.008333333333333333
0.17877798,0.080118306,0.932512,0.46299264,1800.0,0.0,-22.714354,0.7501507,360.0,17,0.1681776,0.0
0.17904992,0.082503445,0.8586461,0.4822898,1900.0,0.0,-24.094658,0.75110024,380.0,18,0.17316918,0.008333333333333333
0.17931326,0.084238894,0.7512746,0.50100714,2000.0,0.0,-23.333715,0.7523187,400.0,19,0.17648834,0.008333333333333333
0.17951918,0.08686856,1.2944602,0.42789444,2100.0,0.0,-22.8518,0.7535332,420.0,20,0.18026413,0.0
0.17964093,0.08958987,1.4565324,0.42666343,2200.0,0.0,-23.433863,0.75477797,440.0,21,0.18464446,0.0
0.17985868,0.091600634,0.82023954,0.43851945,2300.0,0.0,-23.307442,0.75602716,460.0,22,0.18814357,0.0
0.18024938,0.09322706,1.1999469,0.40915963,2400.0,0.0016666666666666668,-24.631693,0.7578173,480.0,23,0.19099873,0.0
0.18065721,0.09473761,2.1558194,0.37517753,2500.0,0.0,-24.07843,0.75995207,500.0,24,0.1937352,0.0
0.18109447,0.09547571,1.4242282,0.36851785,2600.0,0.0,-24.42218,0.76184535,520.0,25,0.19525544,0.0
0.18157808,0.09664094,1.3722538,0.36550298,2700.0,0.0016666666666666668,-25.227888,0.764003,540.0,26,0.19690807,0.0
0.18197094,0.09733304,1.3146558,0.3539507,2800.0,0.0016666666666666668,-24.545212,0.7663484,560.0,27,0.19790564,0.0
0.18232603,0.0977259,2.0789077,0.36716214,2900.0,0.0,-25.547255,0.76840144,580.0,28,0.1985169,0.0
0.18274654,0.09825924,1.9449601,0.3516917,3000.0,0.0,-25.290762,0.77050287,600.0,29,0.19939597,0.008333333333333333
0.18302698,0.09897891,2.2464015,0.31991276,3100.0,0.0,-25.46543,0.7722915,620.0,30,0.20067303,0.0
0.18341702,0.09943414,2.4751875,0.30798844,3200.0,0.0016666666666666668,-25.61291,0.77442455,640.0,31,0.20127009,0.0
0.18370111,0.099914394,1.3843088,0.3290182,3300.0,0.0016666666666666668,-26.714233,0.7760062,660.0,32,0.20156239,0.008333333333333333
0.18402638,0.100344956,1.5415372,0.32546818,3400.0,0.0016666666666666668,-26.349981,0.777816,680.0,33,0.20210527,0.0
0.18434267,0.100855745,2.0204065,0.3050839,3500.0,0.0,-26.21604,0.77941257,700.0,34,0.20279054,0.0
0.18463688,0.101358004,1.9892298,0.3309873,3600.0,0.0016666666666666668,-25.360847,0.78115004,720.0,35,0.20306553,0.008333333333333333
0.18493016,0.10182125,3.8079042,0.32001483,3700.0,0.0033333333333333335,-26.111961,0.7826493,740.0,36,0.2032975,0.0
0.18515663,0.10212717,3.1752193,0.30858034,3800.0,0.0,-25.929441,0.78394675,760.0,37,0.20366551,0.0
0.18542178,0.10241253,2.498083,0.30912554,3900.0,0.0016666666666666668,-27.25083,0.78544396,780.0,38,0.20390457,0.0
0.18566759,0.10279074,4.082223,0.30034754,4000.0,0.0,-25.870626,0.78683215,800.0,39,0.20431395,0.0
0.18593572,0.10311399,3.6682985,0.28915322,4100.0,0.005,-26.033012,0.7881255,820.0,40,0.2048255,0.0
0.18612786,0.103433646,3.7871008,0.31797394,4200.0,0.0016666666666666668,-25.77063,0.78926545,840.0,41,0.20499253,0.008333333333333333
