train/critic_loss,test/success_rate,epoch,train/success_rate,stats_o/mean,stats_o/std,stats_g/mean,test/mean_Q,train/episode,stats_g/std,test/episode,test/ag_g_dist
0.051554132,0.0,0,0.0,0.1972521,0.7509412,0.3830904,-2.0799704,100.0,0.22211896,20.0,1.042045
0.04655982,0.008333333333333333,1,0.0,0.20227976,0.74871945,0.38328043,-4.4480433,200.0,0.22334433,40.0,0.96763676
0.04179288,0.008333333333333333,2,0.0016666666666666668,0.2027489,0.7464566,0.3842599,-6.506006,300.0,0.22469078,60.0,0.97910595
0.041030873,0.03333333333333333,3,0.006666666666666667,0.20234354,0.7476981,0.38307187,-8.408389,400.0,0.2257003,80.0,0.9893823
0.035627592,0.025000000000000005,4,0.0016666666666666668,0.20238693,0.74964833,0.38307497,-10.058932,500.0,0.22670908,100.0,0.9770315
0.04538616,0.03333333333333333,5,0.006666666666666667,0.20225804,0.75220174,0.38338426,-12.014253,600.0,0.22638501,120.0,0.98925704
0.049707353,0.03333333333333333,6,0.03,0.20217317,0.7560999,0.38437787,-13.777995,700.0,0.22636707,140.0,1.0189607
0.051872343,0.05833333333333334,7,0.011666666666666667,0.20189317,0.75908273,0.38407812,-14.24696,800.0,0.22706927,160.0,0.88335544
0.055572916,0.10833333333333334,8,0.023333333333333334,0.2014808,0.76511794,0.38371065,-15.223849,900.0,0.2279134,180.0,0.9325234
0.06383061,0.08333333333333333,9,0.04,0.20114537,0.76971316,0.3832623,-17.263315,1000.0,0.22867547,200.0,0.9384699
0.061270922,0.08333333333333333,10,0.034999999999999996,0.2009254,0.7739952,0.38251975,-18.936705,1100.0,0.22971533,220.0,0.9936338
0.06283188,0.10833333333333334,11,0.065,0.20103097,0.7788086,0.38238493,-18.632467,1200.0,0.22979079,240.0,0.8652658
0.066467635,0.09166666666666667,12,0.051666666666666666,0.20125455,0.78496486,0.38246933,-20.989439,1300.0,0.23003463,260.0,1.0016645
0.0667123,0.17500000000000002,13,0.060000000000000005,0.20128576,0.7908659,0.38231704,-19.633154,1400.0,0.2302304,280.0,0.8607023
0.07958487,0.16666666666666666,14,0.041666666666666664,0.2011934,0.795701,0.38199165,-21.594116,1500.0,0.23079443,300.0,0.9130745
0.07962873,0.14166666666666666,15,0.05333333333333334,0.20091014,0.8002866,0.3819355,-21.707336,1600.0,0.23121421,320.0,0.8895375
0.08271023,0.21666666666666667,16,0.065,0.20063575,0.8054929,0.3819193,-20.550323,1700.0,0.2314543,340.0,0.80476505
0.086536385,0.08333333333333333,17,0.07500000000000001,0.20051397,0.81113404,0.3819972,-25.416449,1800.0,0.23175104,360.0,0.9299076
0.100062944,0.17499999999999996,18,0.09166666666666667,0.20046757,0.81577843,0.38165393,-22.982351,1900.0,0.23183405,380.0,0.84885836
0.10380227,0.125,19,0.09166666666666667,0.2003919,0.82093316,0.38138208,-23.719917,2000.0,0.23207454,400.0,0.8207825
0.102934934,0.1416666666666667,20,0.08333333333333333,0.20040594,0.82566565,0.38136342,-25.613161,2100.0,0.23204793,420.0,0.8787932
0.11265731,0.17500000000000002,21,0.08166666666666667,0.20044161,0.83024955,0.38141695,-24.335495,2200.0,0.23230238,440.0,0.80178994
0.11083072,0.18333333333333335,22,0.07500000000000001,0.20023067,0.8348596,0.38144168,-24.982077,2300.0,0.23251332,460.0,0.793873
0.10881104,0.19166666666666665,23,0.085,0.20013966,0.83989483,0.38142917,-24.505096,2400.0,0.23241313,480.0,0.76078826
0.11001859,0.25,24,0.105,0.2000102,0.8448326,0.381387,-22.479227,2500.0,0.23226885,500.0,0.6969268
