epoch,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/success_rate,stats_o/std,test/ag_g_dist,test/mean_Q,stats_g/std,train/critic_loss
0,0.0,0.19602744,100.0,0.3675902,20.0,0.0,0.7671957,0.99354666,-2.8342865,0.23472054,0.06830728
1,0.0,0.19955774,200.0,0.37460402,40.0,0.0,0.75721973,0.992475,-4.7374573,0.23585701,0.09249876
2,0.0,0.19860168,300.0,0.376367,60.0,0.0,0.75341743,0.96482116,-6.919024,0.23638065,0.08713762
3,0.0,0.19799495,400.0,0.37779233,80.0,0.0,0.7532255,1.0138503,-9.181058,0.23479478,0.09726908
4,0.0,0.19787706,500.0,0.37821522,100.0,0.0,0.75406283,0.9540846,-10.667287,0.23441015,0.10729065
5,0.0,0.19781612,600.0,0.37789968,120.0,0.0,0.7536524,1.0074922,-12.873012,0.23515962,0.13037722
6,0.0,0.19791,700.0,0.37795618,140.0,0.008333333333333333,0.7545292,1.0740501,-14.570079,0.23587735,0.116984986
7,0.0033333333333333335,0.19789378,800.0,0.37757993,160.0,0.008333333333333333,0.7562774,0.96013004,-15.959352,0.23658104,0.13025664
8,0.0016666666666666668,0.1977908,900.0,0.3770059,180.0,0.008333333333333333,0.7595732,0.9224623,-16.917585,0.23740412,0.13043816
9,0.0,0.19739062,1000.0,0.37699237,200.0,0.008333333333333333,0.76273614,1.0009488,-19.132479,0.23828067,0.14533241
10,0.008333333333333333,0.19724472,1100.0,0.3766459,220.0,0.025000000000000005,0.76592106,0.94088006,-19.219538,0.23897345,0.14985643
11,0.008333333333333333,0.1969012,1200.0,0.37648538,240.0,0.025000000000000005,0.7700557,0.94467133,-20.212137,0.23951323,0.14860542
12,0.005,0.19674005,1300.0,0.3764116,260.0,0.0,0.77578527,0.96012354,-22.083603,0.23994683,0.20175834
13,0.0033333333333333335,0.19630079,1400.0,0.37562346,280.0,0.05833333333333334,0.7815512,0.9030873,-22.037683,0.24062152,0.19277115
14,0.006666666666666667,0.19610287,1500.0,0.37513375,300.0,0.0,0.7872777,0.94272774,-24.137403,0.24106772,0.22414565
15,0.006666666666666667,0.19597994,1600.0,0.37505746,320.0,0.03333333333333333,0.79367214,0.8493006,-24.253557,0.24115026,0.23126797
16,0.006666666666666667,0.19567907,1700.0,0.3740026,340.0,0.016666666666666666,0.8001644,0.85091466,-25.651438,0.24160562,0.22235246
17,0.013333333333333334,0.19534229,1800.0,0.3735229,360.0,0.05000000000000001,0.8071049,0.86073256,-24.378748,0.2416421,0.26375178
18,0.011666666666666667,0.19502304,1900.0,0.3733677,380.0,0.07500000000000001,0.81361103,0.77055454,-22.126669,0.241839,0.28202733
19,0.011666666666666667,0.19463223,2000.0,0.37339234,400.0,0.041666666666666664,0.8203551,0.6767884,-22.751757,0.2419018,0.23739421
20,0.0016666666666666668,0.19420332,2100.0,0.37325475,420.0,0.049999999999999996,0.8270462,0.6959906,-23.495459,0.24218775,0.327602
21,0.0033333333333333335,0.19390638,2200.0,0.37310037,440.0,0.06666666666666667,0.8334778,0.65902656,-23.512146,0.24228652,0.33272138
22,0.011666666666666667,0.19341154,2300.0,0.3727657,460.0,0.025000000000000005,0.84041387,0.62039894,-22.734472,0.2421773,0.29744324
23,0.023333333333333334,0.19307901,2400.0,0.37268838,480.0,0.05833333333333333,0.84663796,0.6257588,-23.721626,0.24221028,0.320999
24,0.015,0.1927525,2500.0,0.37286386,500.0,0.08333333333333333,0.8531024,0.6324444,-23.458183,0.24200873,0.48316932
25,0.01,0.19251959,2600.0,0.3730639,520.0,0.03333333333333333,0.8592122,0.692229,-26.824804,0.24181692,0.3746914
26,0.028333333333333335,0.19248553,2700.0,0.37321737,540.0,0.07500000000000001,0.86519796,0.6346857,-23.621574,0.24178128,0.4811783
27,0.021666666666666667,0.19234641,2800.0,0.37325373,560.0,0.07500000000000001,0.870827,0.6096047,-21.9552,0.24164991,0.36798617
28,0.011666666666666667,0.19225973,2900.0,0.3734046,580.0,0.06666666666666667,0.8759668,0.55924386,-20.74454,0.2414157,0.4220889
29,0.015,0.19224834,3000.0,0.37346694,600.0,0.09999999999999999,0.8812537,0.62933636,-22.930506,0.24127148,0.45249692
30,0.015,0.19203989,3100.0,0.37331906,620.0,0.075,0.8858216,0.5693492,-20.184023,0.24118662,0.4544495
31,0.021666666666666667,0.19193421,3200.0,0.37344494,640.0,0.03333333333333333,0.89018434,0.5494881,-21.770859,0.24117978,0.3922111
32,0.011666666666666667,0.19178386,3300.0,0.37330428,660.0,0.10000000000000002,0.89428633,0.55379057,-21.272818,0.24110515,0.4594054
33,0.013333333333333334,0.191685,3400.0,0.3734015,680.0,0.09166666666666667,0.8982823,0.56119996,-20.758818,0.24092416,0.5349861
34,0.028333333333333335,0.19145769,3500.0,0.37336597,700.0,0.08333333333333333,0.9019564,0.55208683,-19.859222,0.24083923,0.4695476
35,0.016666666666666666,0.19125573,3600.0,0.37337866,720.0,0.10833333333333334,0.90581495,0.5344126,-19.642202,0.24072273,0.55254906
36,0.025000000000000005,0.19110614,3700.0,0.37352905,740.0,0.11666666666666665,0.9092637,0.52040803,-19.186481,0.24052961,0.7006472
