test/ag_g_dist,stats_g/std,stats_o/std,stats_g/mean,epoch,test/episode,train/episode,test/mean_Q,train/critic_loss,train/success_rate,test/success_rate,stats_o/mean
0.99854916,0.23658352,0.7568674,0.36918983,0,20.0,100.0,-2.8529313,0.10154364,0.0,0.0,0.19649817
1.0017867,0.23790784,0.75295,0.37517127,1,40.0,200.0,-4.817867,0.10360918,0.0,0.0,0.19883178
0.9743605,0.23926246,0.75157857,0.37726846,2,60.0,300.0,-7.127257,0.097189754,0.0,0.0,0.19718288
1.0429583,0.23818667,0.7532857,0.3778677,3,80.0,400.0,-9.1703415,0.10936,0.0,0.0,0.19690134
0.9764561,0.23790832,0.75486034,0.37731215,4,100.0,500.0,-10.805461,0.11233441,0.0,0.0,0.19712222
1.0106859,0.23840666,0.75618285,0.37717858,5,120.0,600.0,-12.519699,0.12405189,0.0,0.0,0.19703758
1.0777515,0.23920603,0.76032543,0.37716344,6,140.0,700.0,-14.299286,0.11762699,0.0,0.0,0.19693632
0.9477442,0.2395881,0.7636254,0.37613055,7,160.0,800.0,-15.463096,0.12142608,0.0,0.0,0.19677377
0.88383293,0.24046238,0.76682633,0.37530842,8,180.0,900.0,-16.786734,0.12405831,0.0,0.0,0.19636153
0.9759391,0.24103324,0.7705018,0.375142,9,200.0,1000.0,-18.644238,0.12690258,0.0,0.008333333333333333,0.19576536
0.9339202,0.24130492,0.7743587,0.3749431,10,220.0,1100.0,-19.531141,0.13587739,0.005,0.008333333333333333,0.19540392
0.9775142,0.24171591,0.7780103,0.37479094,11,240.0,1200.0,-21.050097,0.14724432,0.0,0.0,0.19506808
0.9644044,0.24227054,0.7831843,0.37462673,12,260.0,1300.0,-21.928125,0.1698379,0.0,0.008333333333333333,0.19480552
0.93237954,0.2427095,0.7888352,0.3736441,13,280.0,1400.0,-22.333633,0.15697627,0.0,0.024999999999999998,0.1942978
0.9806299,0.24323194,0.79451793,0.37280813,14,300.0,1500.0,-24.808258,0.18295486,0.0033333333333333335,0.008333333333333333,0.19409607
0.82132834,0.24340884,0.80168563,0.37263134,15,320.0,1600.0,-23.461792,0.17379232,0.0016666666666666668,0.0,0.19372116
0.8418414,0.24356674,0.8095159,0.37198523,16,340.0,1700.0,-24.274225,0.18863411,0.0033333333333333335,0.008333333333333333,0.19302438
0.84732217,0.24351738,0.8165768,0.37187937,17,360.0,1800.0,-24.695707,0.21772367,0.006666666666666667,0.03333333333333333,0.1925355
0.8227391,0.2436191,0.8237861,0.3720335,18,380.0,1900.0,-24.58606,0.33473098,0.0016666666666666668,0.03333333333333333,0.19198556
0.68525124,0.24353349,0.8310278,0.37200084,19,400.0,2000.0,-22.836815,0.20760678,0.0016666666666666668,0.03333333333333333,0.19163089
0.67935735,0.243573,0.8380751,0.37218496,20,420.0,2100.0,-22.257471,0.23356825,0.006666666666666667,0.049999999999999996,0.1912549
0.6627802,0.24355625,0.8452198,0.3720757,21,440.0,2200.0,-22.6725,0.25318155,0.011666666666666667,0.016666666666666666,0.19076128
0.63624257,0.24324489,0.8524945,0.37176678,22,460.0,2300.0,-22.843088,0.25526512,0.006666666666666667,0.05833333333333334,0.19035079
0.6206451,0.24314849,0.8593824,0.37154508,23,480.0,2400.0,-22.7135,0.2254662,0.015,0.03333333333333333,0.18988718
0.59073895,0.24295266,0.8657635,0.37158203,24,500.0,2500.0,-22.42732,0.2448013,0.005,0.05000000000000001,0.18969564
0.62487966,0.24272637,0.87193257,0.37152073,25,520.0,2600.0,-22.215574,0.27311957,0.0033333333333333335,0.06666666666666667,0.1894799
0.69802904,0.2425281,0.87804383,0.3716158,26,540.0,2700.0,-26.931082,0.42480525,0.006666666666666667,0.041666666666666664,0.1891924
0.6210447,0.2423691,0.88353366,0.37158498,27,560.0,2800.0,-23.836847,0.25949505,0.008333333333333333,0.06666666666666667,0.18893175
0.6669614,0.24213941,0.8885581,0.3716503,28,580.0,2900.0,-25.264898,0.31387568,0.006666666666666667,0.041666666666666664,0.18869524
0.6873314,0.24210095,0.8935886,0.37144288,29,600.0,3000.0,-25.4627,0.33046615,0.005,0.0,0.1884966
0.6033383,0.24212335,0.8979865,0.3712096,30,620.0,3100.0,-24.051798,0.25077865,0.006666666666666667,0.016666666666666666,0.188227
0.6301504,0.24211656,0.9020664,0.37127444,31,640.0,3200.0,-24.610498,0.314417,0.01,0.041666666666666664,0.18815517
0.6978379,0.24204183,0.90614915,0.37115523,32,660.0,3300.0,-26.536905,0.2610145,0.006666666666666667,0.03333333333333333,0.18795972
0.5975587,0.24193835,0.91015744,0.37117037,33,680.0,3400.0,-24.26593,0.3670056,0.005,0.016666666666666666,0.1878391
0.645211,0.2418166,0.9137595,0.37118626,34,700.0,3500.0,-23.952011,0.3242478,0.01,0.008333333333333333,0.18763477
0.62179,0.241823,0.91749364,0.3711795,35,720.0,3600.0,-23.568125,0.33068943,0.011666666666666667,0.041666666666666664,0.18736285
0.63456154,0.24167733,0.9210539,0.3711796,36,740.0,3700.0,-24.453135,0.26446673,0.013333333333333334,0.075,0.18713172
0.5531546,0.24149911,0.92421156,0.3713436,37,760.0,3800.0,-21.473017,0.3058441,0.01,0.049999999999999996,0.18696605
0.6078376,0.24133722,0.9275221,0.37152743,38,780.0,3900.0,-24.280104,0.3480854,0.011666666666666665,0.016666666666666666,0.18671186
0.5112205,0.24117194,0.93068856,0.37157997,39,800.0,4000.0,-19.049366,0.29044887,0.018333333333333337,0.05833333333333333,0.18659289
0.4857004,0.24096762,0.9337964,0.37173262,40,820.0,4100.0,-18.138708,0.45955685,0.011666666666666667,0.06666666666666667,0.18647774
0.5395798,0.240795,0.93691653,0.37198505,41,840.0,4200.0,-19.182537,0.35537562,0.018333333333333337,0.10000000000000002,0.18639259
0.46456614,0.24081254,0.9397871,0.3719723,42,860.0,4300.0,-17.283829,0.31462178,0.02,0.10000000000000002,0.18628384
0.5538005,0.24071468,0.94256085,0.37209496,43,880.0,4400.0,-20.05237,0.28670564,0.005,0.05833333333333334,0.18613154
0.5164198,0.24059539,0.9452634,0.37211093,44,900.0,4500.0,-17.215614,0.34043214,0.02,0.05833333333333334,0.18597887
0.45276296,0.2406301,0.9479359,0.37215456,45,920.0,4600.0,-18.438757,0.2904257,0.018333333333333333,0.03333333333333333,0.18579192
0.4830548,0.24058194,0.95043135,0.37220946,46,940.0,4700.0,-16.936852,0.44213724,0.013333333333333334,0.06666666666666667,0.18561609
0.47582605,0.2405067,0.9528156,0.3722603,47,960.0,4800.0,-16.532034,0.3464668,0.016666666666666666,0.041666666666666664,0.18547322
0.45404983,0.24043457,0.9550264,0.37220892,48,980.0,4900.0,-14.825618,0.3531268,0.023333333333333334,0.03333333333333333,0.18535532
0.44648802,0.24036275,0.95712036,0.37211874,49,1000.0,5000.0,-14.56049,0.29661152,0.015,0.10833333333333334,0.18522303
