train/episode,test/episode,stats_o/mean,stats_o/std,epoch,stats_g/mean,test/ag_g_dist,test/success_rate,train/success_rate,train/critic_loss,test/mean_Q,stats_g/std
100.0,20.0,0.19405039,0.75407964,0,0.36937365,0.99780685,0.0,0.0,0.043570276,-2.7788448,0.23634242
200.0,40.0,0.19591822,0.75292,1,0.37610054,1.0134852,0.0,0.0,0.058948588,-4.8265557,0.23765397
300.0,60.0,0.19477057,0.7535793,2,0.37695727,0.9734065,0.0,0.0,0.060947996,-6.834934,0.23795252
400.0,80.0,0.19460674,0.7559082,3,0.37841472,1.0473062,0.0,0.0,0.077399336,-9.155035,0.23715346
500.0,100.0,0.19427527,0.75766546,4,0.37796703,0.99001235,0.0,0.0,0.08942288,-10.646022,0.23732638
600.0,120.0,0.19383734,0.75862664,5,0.37688884,1.0116245,0.0,0.0,0.095636584,-12.300102,0.23868366
700.0,140.0,0.19368322,0.76107794,6,0.37622282,1.0878645,0.0,0.0,0.106092155,-14.283715,0.24016257
800.0,160.0,0.19360863,0.7634805,7,0.37513462,0.9531267,0.0,0.0,0.10539349,-15.35889,0.24067907
900.0,180.0,0.19358607,0.76672125,8,0.37460136,0.9410835,0.0,0.0,0.112672925,-17.37056,0.24080627
1000.0,200.0,0.19353281,0.77041596,9,0.37477303,0.9928902,0.0,0.0,0.118402936,-18.770845,0.24083649
1100.0,220.0,0.19352734,0.7748411,10,0.37494603,0.9609116,0.0,0.0,0.121048056,-19.812616,0.24088621
1200.0,240.0,0.19338606,0.77970034,11,0.37493202,0.94093865,0.016666666666666666,0.0,0.14823371,-20.7092,0.24094515
1300.0,260.0,0.19320856,0.78615135,12,0.37491032,0.97005755,0.008333333333333333,0.0016666666666666668,0.15699287,-22.525091,0.24133535
1400.0,280.0,0.1928051,0.7933974,13,0.37421033,0.91694903,0.016666666666666666,0.0,0.17048676,-23.240854,0.24176915
1500.0,300.0,0.19270504,0.80013293,14,0.3737118,0.9513096,0.0,0.0,0.17157938,-24.689575,0.24192394
1600.0,320.0,0.19248015,0.80838925,15,0.3740163,0.79700804,0.0,0.0,0.19218843,-23.710028,0.24175213
1700.0,340.0,0.19204761,0.81612283,16,0.3732988,0.8013126,0.0,0.0016666666666666668,0.1830794,-24.956179,0.24184884
1800.0,360.0,0.19195904,0.8231433,17,0.37311557,0.85525393,0.0,0.0016666666666666668,0.19956131,-25.176971,0.24164717
