test/ag_g_dist,test/episode,stats_g/mean,test/mean_Q,train/episode,stats_g/std,train/success_rate,train/critic_loss,epoch,test/success_rate,stats_o/std,stats_o/mean
0.8957054,20.0,0.34220886,-2.8326547,100.0,0.15564008,0.0033333333333333335,0.116820194,0,0.0,0.7186103,0.20177089
0.96492535,40.0,0.34101668,-4.8907995,200.0,0.15766847,0.0016666666666666668,0.11080822,1,0.008333333333333333,0.7169554,0.2038585
0.93083256,60.0,0.3404093,-6.9111495,300.0,0.15768369,0.0016666666666666668,0.10682564,2,0.008333333333333333,0.7157326,0.20302196
0.9316821,80.0,0.34102276,-9.045365,400.0,0.15702383,0.0,0.11357457,3,0.0,0.71437687,0.20219643
0.91068125,100.0,0.34147546,-11.002063,500.0,0.15664127,0.0016666666666666668,0.113970876,4,0.0,0.7133824,0.2020313
0.9625003,120.0,0.3414555,-12.844546,600.0,0.15693045,0.006666666666666667,0.12032604,5,0.008333333333333333,0.7146673,0.20177537
0.9579525,140.0,0.34149715,-13.980953,700.0,0.15803309,0.005,0.12557822,6,0.041666666666666664,0.7182622,0.2016648
0.862706,160.0,0.341167,-14.719177,800.0,0.16083673,0.0016666666666666668,0.1257773,7,0.025000000000000005,0.7250375,0.2011654
0.9252229,180.0,0.3422514,-15.369084,900.0,0.16421308,0.006666666666666667,0.12643924,8,0.05833333333333334,0.7328272,0.20083599
0.7297247,200.0,0.3432075,-14.808761,1000.0,0.16688551,0.008333333333333333,0.12987465,9,0.07500000000000001,0.7392327,0.200414
0.83814144,220.0,0.34411642,-16.78651,1100.0,0.16928013,0.0016666666666666668,0.13439152,10,0.05833333333333333,0.7468721,0.20045793
0.6809161,240.0,0.34519696,-16.572638,1200.0,0.17137532,0.005,0.1417412,11,0.125,0.75469065,0.2005889
0.9522974,260.0,0.34583125,-20.482878,1300.0,0.17377909,0.015,0.13356856,12,0.016666666666666666,0.7616398,0.20057984
0.80162835,280.0,0.34629157,-18.925161,1400.0,0.17533417,0.006666666666666667,0.14834101,13,0.05000000000000001,0.7685792,0.20051827
0.88323253,300.0,0.3469286,-20.018686,1500.0,0.17623425,0.0033333333333333335,0.16759197,14,0.03333333333333333,0.77430254,0.20058031
0.9291482,320.0,0.3476738,-21.640121,1600.0,0.17747043,0.01,0.14603508,15,0.03333333333333333,0.7786917,0.20050849
