train/critic_loss,test/success_rate,train/episode,stats_o/mean,stats_g/mean,test/episode,stats_g/std,epoch,test/ag_g_dist,test/mean_Q,stats_o/std,train/success_rate
0.040882166,0.09166666666666667,100.0,0.31494346,0.6724815,20.0,0.01852214,0,0.029876301,-1.6334491,0.7160988,0.0
0.044606794,0.19166666666666665,200.0,0.30858582,0.6729601,40.0,0.018034998,1,0.025308102,-1.6048151,0.77397853,0.005
0.04468912,0.08333333333333333,300.0,0.30835456,0.6730326,60.0,0.017756512,2,0.033251528,-2.0861604,0.7951389,0.0016666666666666668
0.041053023,0.2916666666666667,400.0,0.30827975,0.67320055,80.0,0.017648732,3,0.029159652,-2.7255147,0.8056776,0.006666666666666667
0.04207371,0.2416666666666667,500.0,0.30820405,0.67350864,100.0,0.017449219,4,0.033805415,-3.3813493,0.8099027,0.006666666666666667
0.046765845,0.19166666666666665,600.0,0.30846,0.6739118,120.0,0.017525677,5,0.030632922,-3.0721264,0.8136091,0.0033333333333333335
0.045563664,0.2833333333333333,700.0,0.30838308,0.6739276,140.0,0.01745673,6,0.028231496,-3.2477582,0.816581,0.005
0.044000056,0.43333333333333335,800.0,0.3079377,0.67408293,160.0,0.017417828,7,0.03655013,-4.3455772,0.8178975,0.01
0.04748388,0.2916666666666667,900.0,0.30832946,0.67431444,180.0,0.017615251,8,0.03516141,-3.2230814,0.823337,0.006666666666666667
0.050672945,0.2416666666666667,1000.0,0.30896363,0.6743358,200.0,0.01766471,9,0.028430184,-3.218734,0.8277944,0.008333333333333333
0.042316247,0.375,1100.0,0.3085766,0.67434907,220.0,0.017660677,10,0.02799501,-3.561443,0.8296104,0.0016666666666666668
0.048755635,0.43333333333333335,1200.0,0.3077419,0.67432404,240.0,0.017671732,11,0.023220235,-3.2698538,0.8316152,0.015
0.04767932,0.4166666666666667,1300.0,0.30740485,0.6742609,260.0,0.017609764,12,0.028970605,-4.3253574,0.83212703,0.016666666666666666
0.05001007,0.4833333333333334,1400.0,0.30713606,0.6742756,280.0,0.017561536,13,0.020563906,-3.0693386,0.83322924,0.015
0.049473096,0.45,1500.0,0.30674067,0.674288,300.0,0.017561374,14,0.027657894,-3.9305668,0.8348802,0.008333333333333333
0.044417303,0.6583333333333333,1600.0,0.3063197,0.67428285,320.0,0.017569516,15,0.026452543,-4.029519,0.8363152,0.015
0.04618601,0.65,1700.0,0.30607298,0.6742964,340.0,0.017554821,16,0.02704177,-4.25614,0.8369207,0.011666666666666665
0.042370558,0.625,1800.0,0.30582923,0.67431074,360.0,0.017533831,17,0.026795723,-5.1022596,0.8367555,0.016666666666666666
0.04288594,0.6916666666666668,1900.0,0.3058175,0.67433995,380.0,0.017511792,18,0.050694767,-5.0344353,0.8367925,0.01
0.050945655,0.6416666666666667,2000.0,0.30587336,0.67448694,400.0,0.017721664,19,0.03954881,-4.789486,0.8368626,0.01
0.04219206,0.6583333333333333,2100.0,0.30580992,0.67460555,420.0,0.017885495,20,0.0309862,-5.636129,0.837254,0.011666666666666667
0.045518633,0.7000000000000001,2200.0,0.30571684,0.6746476,440.0,0.017931787,21,0.030466914,-5.31405,0.83751184,0.01
0.046985764,0.6583333333333333,2300.0,0.30555657,0.67465633,460.0,0.017938025,22,0.026006067,-4.7397656,0.8377199,0.006666666666666667
0.050246816,0.6083333333333334,2400.0,0.30532557,0.67468053,480.0,0.017942633,23,0.046692643,-6.6480293,0.83746624,0.011666666666666667
0.04854762,0.7166666666666667,2500.0,0.30512235,0.67468673,500.0,0.017915396,24,0.035878807,-4.605284,0.83681864,0.016666666666666666
0.04368019,0.7083333333333334,2600.0,0.30520836,0.6746695,520.0,0.017879277,25,0.02990519,-5.425608,0.83612055,0.008333333333333333
0.04583959,0.575,2700.0,0.30522224,0.6746749,540.0,0.0178429,26,0.033892933,-6.3478017,0.8351989,0.0033333333333333335
0.043462712,0.6583333333333333,2800.0,0.30514437,0.6746803,560.0,0.01781458,27,0.04104608,-7.2851653,0.8345278,0.008333333333333333
0.048162688,0.6416666666666667,2900.0,0.30508402,0.67470646,580.0,0.0178104,28,0.035365246,-7.7001266,0.8338868,0.008333333333333333
0.04724521,0.725,3000.0,0.30507955,0.6747187,600.0,0.01778909,29,0.032183822,-7.0107765,0.8331656,0.008333333333333333
0.047849778,0.65,3100.0,0.30506402,0.6747214,620.0,0.017763354,30,0.03137996,-6.8452926,0.8323012,0.006666666666666667
0.047246013,0.6916666666666668,3200.0,0.3050497,0.67471343,640.0,0.017733328,31,0.03273569,-7.9096084,0.83147407,0.013333333333333334
