test/mean_Q,epoch,test/episode,stats_g/std,train/critic_loss,train/success_rate,test/ag_g_dist,train/episode,stats_o/std,test/success_rate,stats_g/mean,stats_o/mean
-3.1799917,0,20.0,0.09274007,0.08248846,0.0016666666666666668,0.23722328,100.0,0.049560785,0.0,0.8465155,0.20309265
-5.1025662,1,40.0,0.09245957,0.059379708,0.005,0.22205597,200.0,0.04507466,0.0,0.84867096,0.20367058
-7.1717167,2,60.0,0.09247557,0.08609716,0.0033333333333333335,0.21805616,300.0,0.043770332,0.0,0.8493565,0.20385022
-9.053584,3,80.0,0.09210214,0.08794793,0.0016666666666666668,0.2289085,400.0,0.043315277,0.008333333333333333,0.84994483,0.20405178
-11.1679735,4,100.0,0.09204078,0.10026559,0.0033333333333333335,0.23477262,500.0,0.046245333,0.0,0.84979653,0.20390226
-12.883358,5,120.0,0.09244928,0.0882199,0.0,0.2404068,600.0,0.04736991,0.008333333333333333,0.8498549,0.20398933
-14.400121,6,140.0,0.0929515,0.14372036,0.0,0.2509019,700.0,0.04889451,0.008333333333333333,0.85010237,0.20409946
-16.042847,7,160.0,0.09335265,0.1609192,0.0,0.23579691,800.0,0.050528158,0.0,0.8501354,0.20416562
-17.179867,8,180.0,0.09352056,0.27833813,0.0016666666666666668,0.22038697,900.0,0.05235829,0.0,0.84991795,0.2041233
-18.339914,9,200.0,0.094476976,0.16558349,0.0033333333333333335,0.23093514,1000.0,0.055866133,0.016666666666666666,0.84966326,0.20415659
-19.564941,10,220.0,0.09519992,0.27381942,0.0016666666666666668,0.22013831,1100.0,0.05824626,0.0,0.84999484,0.20429175
-21.09342,11,240.0,0.09567714,0.28655338,0.0,0.24505998,1200.0,0.059850443,0.0,0.8499256,0.20431776
-20.354733,12,260.0,0.09627988,0.23076308,0.0016666666666666668,0.2340095,1300.0,0.062590785,0.008333333333333333,0.8496999,0.20425637
-21.49053,13,280.0,0.09671885,0.2796701,0.0,0.22484477,1400.0,0.06487693,0.008333333333333333,0.84987307,0.20425458
