test/mean_Q,stats_o/mean,test/episode,stats_o/std,train/critic_loss,test/success_rate,train/episode,epoch,stats_g/std,train/success_rate,stats_g/mean,test/ag_g_dist
-3.110425,0.20299129,20.0,0.04504327,0.15566741,0.0,100.0,0,0.09093437,0.0016666666666666668,0.84660935,0.23722328
-5.1809464,0.20368631,40.0,0.043647517,0.1544048,0.0,200.0,1,0.09133878,0.005,0.8487293,0.22205597
-7.0864587,0.20386387,60.0,0.04359761,0.15137617,0.0,300.0,2,0.09190034,0.0033333333333333335,0.84932756,0.21804166
-8.908982,0.20402963,80.0,0.04507855,0.20306064,0.008333333333333333,400.0,3,0.09231386,0.0016666666666666668,0.84992605,0.22866513
-10.929551,0.204004,100.0,0.04879188,0.19823062,0.0,500.0,4,0.09318215,0.0,0.8496923,0.23530109
-12.638908,0.20392811,120.0,0.05439808,0.19936557,0.008333333333333333,600.0,5,0.094263114,0.0,0.84996825,0.24165708
-14.086368,0.20382725,140.0,0.058103666,0.21947855,0.0,700.0,6,0.09591293,0.0,0.8498981,0.2561388
-15.369031,0.20403367,160.0,0.06568968,0.21614523,0.0,800.0,7,0.098311394,0.0,0.8496731,0.24022828
-15.342445,0.2039964,180.0,0.07135007,0.24950393,0.0,900.0,8,0.10007539,0.0,0.8495204,0.21956486
-16.86001,0.20410687,200.0,0.07561715,0.26302925,0.016666666666666666,1000.0,9,0.101422906,0.0016666666666666668,0.84928846,0.24402893
-17.33949,0.20434491,220.0,0.08076154,0.34647062,0.008333333333333333,1100.0,10,0.10401544,0.0016666666666666668,0.8496161,0.23191492
-17.858315,0.20455211,240.0,0.08531168,0.2953588,0.016666666666666666,1200.0,11,0.10632066,0.005,0.84941787,0.24197
-17.335276,0.20434041,260.0,0.08899123,0.33471537,0.008333333333333333,1300.0,12,0.1081413,0.005,0.8491989,0.22216232
-16.988432,0.20420341,280.0,0.09181332,0.32399175,0.008333333333333333,1400.0,13,0.1090678,0.008333333333333333,0.84930164,0.21407469
-18.573988,0.20414032,300.0,0.09493708,0.35099593,0.016666666666666666,1500.0,14,0.11038032,0.013333333333333334,0.849364,0.23223405
-17.27062,0.2040763,320.0,0.09764948,0.4364864,0.08333333333333333,1600.0,15,0.11145068,0.015,0.848932,0.21229045
-14.211594,0.20405544,340.0,0.10011823,0.44361007,0.13333333333333333,1700.0,16,0.11233574,0.016666666666666666,0.8488781,0.17891109
-15.491475,0.20407896,360.0,0.10239156,0.3704308,0.07500000000000001,1800.0,17,0.1127459,0.03833333333333334,0.848646,0.18393557
-15.940223,0.20396908,380.0,0.10449681,0.5170087,0.15,1900.0,18,0.11333118,0.03166666666666667,0.848424,0.20090216
-14.592602,0.20405586,400.0,0.10631359,0.4003477,0.19166666666666665,2000.0,19,0.113475226,0.05333333333333334,0.84868187,0.18292828
-14.0052185,0.20398502,420.0,0.10810945,0.42557672,0.2583333333333333,2100.0,20,0.114061944,0.06,0.84868646,0.16989529
-12.540367,0.20402928,440.0,0.10996756,0.3275711,0.325,2200.0,21,0.11445582,0.08333333333333333,0.84894985,0.15207627
-11.448799,0.204059,460.0,0.11145159,0.44852364,0.35000000000000003,2300.0,22,0.11525681,0.10833333333333332,0.848845,0.14592598
-10.461979,0.20410115,480.0,0.11267201,0.4666719,0.4166666666666667,2400.0,23,0.11561996,0.09000000000000001,0.84887767,0.15462305
-8.073135,0.20411837,500.0,0.11380207,0.5861762,0.39999999999999997,2500.0,24,0.116536476,0.12666666666666668,0.8490505,0.122585155
-7.172835,0.20406668,520.0,0.114762165,0.39985892,0.4916666666666667,2600.0,25,0.11698391,0.12833333333333333,0.8491864,0.12098509
-4.5476494,0.20407073,540.0,0.11576793,0.43100086,0.45,2700.0,26,0.11732591,0.14,0.84940314,0.0968946
-3.097681,0.20423704,560.0,0.116617836,0.66322273,0.43333333333333335,2800.0,27,0.11732394,0.18833333333333332,0.8497122,0.07754222
-3.229646,0.2042461,580.0,0.11773187,0.74099857,0.5833333333333334,2900.0,28,0.117802836,0.15333333333333335,0.84989285,0.084305525
-4.122002,0.20427023,600.0,0.11837816,0.53194505,0.5666666666666668,3000.0,29,0.11792052,0.19666666666666666,0.8502505,0.10101547
-2.878194,0.2043073,620.0,0.11872087,0.72494215,0.5583333333333333,3100.0,30,0.117892474,0.16166666666666665,0.8505034,0.08478556
-2.5891573,0.20432329,640.0,0.11914101,0.65078276,0.7666666666666666,3200.0,31,0.11796043,0.22,0.8507734,0.06883187
-2.5466905,0.20433803,660.0,0.11963436,0.50579137,0.5916666666666667,3300.0,32,0.11807466,0.2133333333333333,0.8509064,0.065776445
-3.3254719,0.20436244,680.0,0.11993936,0.37207627,0.7000000000000001,3400.0,33,0.117878504,0.23,0.85110325,0.08212066
-2.432333,0.20433958,700.0,0.12008923,0.6637358,0.7583333333333333,3500.0,34,0.11770749,0.24166666666666667,0.8512463,0.065411754
-2.643852,0.20442672,720.0,0.12029711,0.42766985,0.725,3600.0,35,0.117563844,0.25,0.8515003,0.06975862
-2.2699862,0.20448011,740.0,0.12036846,0.428571,0.75,3700.0,36,0.11739244,0.265,0.8516574,0.05964907
-2.379545,0.2044876,760.0,0.120534696,0.3966423,0.8250000000000001,3800.0,37,0.11726097,0.26666666666666666,0.8518538,0.060830038
-2.2967827,0.20452295,780.0,0.120739184,0.5592788,0.75,3900.0,38,0.11716264,0.24666666666666667,0.8519685,0.0567394
-2.2490506,0.20462553,800.0,0.12089819,0.4348735,0.8416666666666668,4000.0,39,0.117028095,0.25833333333333336,0.8521008,0.059504926
-2.3555136,0.20468074,820.0,0.12093204,0.506216,0.7083333333333334,4100.0,40,0.11679447,0.2416666666666667,0.85228366,0.06272938
-2.1186132,0.20476015,840.0,0.12097452,0.34696114,0.8166666666666668,4200.0,41,0.11655497,0.27499999999999997,0.8524274,0.050713304
-2.0917985,0.20482063,860.0,0.120991796,0.32796767,0.8583333333333333,4300.0,42,0.116394944,0.255,0.8526085,0.054473076
-2.3856726,0.2048456,880.0,0.12089505,0.44273844,0.8250000000000001,4400.0,43,0.116234206,0.285,0.85279036,0.055400997
-2.4519436,0.2048297,900.0,0.120931365,0.32436863,0.8916666666666666,4500.0,44,0.116097726,0.29833333333333334,0.85287756,0.062286317
-2.4012299,0.20479663,920.0,0.12099279,0.35597983,0.8416666666666667,4600.0,45,0.11606266,0.27999999999999997,0.85301274,0.057869732
-2.1792772,0.20476957,940.0,0.120966434,0.32894206,0.9,4700.0,46,0.11590979,0.3183333333333333,0.85310155,0.054102387
-2.242226,0.20472102,960.0,0.12101537,0.96823215,0.85,4800.0,47,0.11575717,0.33166666666666667,0.85322213,0.056962714
-2.2360508,0.2047049,980.0,0.121150106,0.4261671,0.9416666666666665,4900.0,48,0.11561147,0.295,0.8532927,0.052171927
-2.1857207,0.2047094,1000.0,0.12117983,0.5012129,0.7916666666666666,5000.0,49,0.11549603,0.2966666666666667,0.85335684,0.057753604
-2.165024,0.20473331,1020.0,0.12112191,0.376731,0.875,5100.0,50,0.1153206,0.27499999999999997,0.85356086,0.053248804
-2.1879365,0.2047417,1040.0,0.12110988,0.64430624,0.8666666666666667,5200.0,51,0.115207255,0.29833333333333334,0.85360926,0.059286058
-2.197805,0.20472835,1060.0,0.121065296,0.42221847,0.8583333333333334,5300.0,52,0.11506186,0.26499999999999996,0.85373455,0.06320519
-2.1862352,0.20471911,1080.0,0.121012054,0.40709516,0.8666666666666666,5400.0,53,0.1149267,0.3133333333333333,0.8537409,0.05773279
-2.184813,0.20470618,1100.0,0.120975904,0.34650683,0.8333333333333334,5500.0,54,0.11478182,0.31666666666666665,0.8537469,0.0584276
-2.297055,0.20472491,1120.0,0.12086257,0.3712941,0.8999999999999999,5600.0,55,0.11458483,0.27666666666666667,0.8538628,0.056933474
-2.110001,0.20472921,1140.0,0.12084874,0.3878522,0.9083333333333332,5700.0,56,0.11447094,0.2916666666666667,0.85397005,0.053845923
