epoch,train/success_rate,stats_g/mean,train/episode,test/episode,stats_o/mean,stats_o/std,train/critic_loss,stats_g/std,test/ag_g_dist,test/success_rate,test/mean_Q
0,0.0016666666666666668,0.8463285,100.0,20.0,0.2030683,0.049735833,0.034129728,0.091747075,0.23722763,0.0,-2.5347834
1,0.005,0.8485136,200.0,40.0,0.20350033,0.04886627,0.020636147,0.09204388,0.22205597,0.0,-4.622559
2,0.0033333333333333335,0.8492213,300.0,60.0,0.20373754,0.046750817,0.020628888,0.09266467,0.21799938,0.008333333333333333,-6.6240005
3,0.0016666666666666668,0.8497367,400.0,80.0,0.20382126,0.047409963,0.035205413,0.09256848,0.23069102,0.008333333333333333,-8.434419
4,0.0016666666666666668,0.8495727,500.0,100.0,0.20388101,0.049459714,0.03141621,0.09275483,0.23466651,0.0,-10.495782
5,0.0,0.84972167,600.0,120.0,0.2039448,0.052971754,0.040800367,0.09332418,0.24077076,0.008333333333333333,-12.171731
6,0.0,0.8497751,700.0,140.0,0.20402926,0.05726518,0.0642728,0.09485743,0.25265554,0.0,-13.796882
7,0.0016666666666666668,0.8493623,800.0,160.0,0.20411111,0.061329264,0.048964996,0.096508406,0.23649645,0.008333333333333333,-15.208514
8,0.0,0.84903336,900.0,180.0,0.20411646,0.06463612,0.063896485,0.097435914,0.22301996,0.008333333333333333,-16.632706
9,0.005,0.8488638,1000.0,200.0,0.20398623,0.06753265,0.06288742,0.09913624,0.23718119,0.025000000000000005,-17.629438
10,0.0033333333333333335,0.8491771,1100.0,220.0,0.20412426,0.070459545,0.08145825,0.10115468,0.22315317,0.0,-18.940186
11,0.005,0.8490456,1200.0,240.0,0.2041278,0.07353763,0.099776335,0.1025373,0.2483408,0.0,-20.352324
12,0.005,0.8491389,1300.0,260.0,0.20408563,0.07548111,0.12934782,0.102934204,0.23125583,0.008333333333333333,-20.895227
13,0.0033333333333333335,0.8493213,1400.0,280.0,0.20418115,0.07698809,0.12871577,0.103608556,0.22608693,0.016666666666666666,-21.126123
14,0.008333333333333333,0.8494749,1500.0,300.0,0.20423575,0.079240814,0.10475081,0.10428238,0.24164052,0.0,-21.889717
15,0.016666666666666666,0.8492367,1600.0,320.0,0.20403522,0.08163844,0.19103105,0.10499702,0.20476027,0.025000000000000005,-21.347635
16,0.018333333333333333,0.8491748,1700.0,340.0,0.20401162,0.08354569,0.15739797,0.10557378,0.2101392,0.025000000000000005,-20.689432
17,0.018333333333333337,0.84909576,1800.0,360.0,0.20398824,0.08544939,0.13771643,0.10613174,0.20863749,0.041666666666666664,-21.167189
