stats_g/mean,stats_g/std,test/success_rate,train/episode,train/success_rate,epoch,train/critic_loss,test/ag_g_dist,stats_o/mean,stats_o/std,test/episode,test/mean_Q
0.84182864,0.073095165,0.0,100.0,0.0016666666666666668,0,0.14917298,0.17467766,0.20106746,0.04617549,20.0,-2.7651184
0.8416925,0.07137154,0.008333333333333333,200.0,0.0016666666666666668,1,0.15508695,0.18178912,0.20082825,0.046426132,40.0,-4.9707966
0.84145856,0.07239632,0.0,300.0,0.0033333333333333335,2,0.16933669,0.16696303,0.200967,0.048573136,60.0,-6.9055176
0.84217244,0.07494334,0.0,400.0,0.005,3,0.17533274,0.18293886,0.20121984,0.0511141,80.0,-8.742953
0.84306353,0.07798124,0.0,500.0,0.0033333333333333335,4,0.17958362,0.1831795,0.2014182,0.054672528,100.0,-10.492116
0.84310555,0.08023285,0.0,600.0,0.005,5,0.20883459,0.17521842,0.2013443,0.057823967,120.0,-12.269981
0.84329313,0.08132417,0.008333333333333333,700.0,0.0016666666666666668,6,0.19724202,0.17874122,0.20144765,0.06030849,140.0,-13.43592
0.8436716,0.08254997,0.016666666666666666,800.0,0.011666666666666665,7,0.22612858,0.17059965,0.2013991,0.06358619,160.0,-13.744682
0.84375,0.08344039,0.03333333333333333,900.0,0.013333333333333334,8,0.2582504,0.15744187,0.20150988,0.06726838,180.0,-13.151383
0.8440276,0.08375376,0.09166666666666667,1000.0,0.035,9,0.3468931,0.14955129,0.20165843,0.071083814,200.0,-12.2113085
0.8441978,0.08323092,0.19166666666666665,1100.0,0.09500000000000001,10,0.3566883,0.11344009,0.2019399,0.07500666,220.0,-10.119827
0.8441902,0.083179556,0.35833333333333334,1200.0,0.11166666666666668,11,0.4211559,0.07314162,0.20204945,0.07870456,240.0,-7.151787
0.84416944,0.08257912,0.25,1300.0,0.18333333333333335,12,0.4412963,0.081299745,0.20216356,0.0822395,260.0,-7.572394
0.84393734,0.08207759,0.5416666666666666,1400.0,0.245,13,0.4512941,0.062010016,0.20197248,0.08570405,280.0,-6.1432266
0.8437688,0.081626065,0.6333333333333334,1500.0,0.28500000000000003,14,0.357193,0.061036106,0.20173037,0.08888743,300.0,-5.2545924
0.84377503,0.08091966,0.625,1600.0,0.32333333333333336,15,0.34555575,0.06065393,0.20167802,0.09159873,320.0,-5.369744
0.84379625,0.080613814,0.75,1700.0,0.305,16,0.37529603,0.04879879,0.20169073,0.09405943,340.0,-4.3429728
0.8438539,0.08057261,0.6916666666666668,1800.0,0.34333333333333327,17,0.32820043,0.057521507,0.20167397,0.09654235,360.0,-4.861912
0.84376496,0.08044168,0.6333333333333333,1900.0,0.36000000000000004,18,0.35946098,0.059115853,0.20147127,0.09894753,380.0,-5.0502405
0.8436885,0.080148704,0.6750000000000002,2000.0,0.38999999999999996,19,0.41230583,0.052357968,0.20140165,0.10070947,400.0,-4.5985465
0.84360796,0.08003358,0.8250000000000001,2100.0,0.3516666666666666,20,0.29504773,0.046894476,0.20147003,0.10248891,420.0,-3.8958633
0.84360313,0.07973251,0.875,2200.0,0.40166666666666667,21,0.35367242,0.04630931,0.2014129,0.10429534,440.0,-3.5782356
0.843461,0.07942288,0.8583333333333334,2300.0,0.35833333333333334,22,0.44711828,0.05072245,0.20128338,0.105949365,460.0,-3.9480467
0.84343904,0.07911991,0.8333333333333334,2400.0,0.38166666666666665,23,0.37029,0.048170652,0.20122047,0.10765293,480.0,-3.8720906
0.84346133,0.078942664,0.8999999999999999,2500.0,0.43,24,0.35808766,0.04917565,0.20130415,0.10913243,500.0,-3.924076
0.84343547,0.078887604,0.8916666666666666,2600.0,0.4466666666666667,25,0.29370087,0.050390135,0.20131576,0.11038375,520.0,-3.991985
0.84334105,0.0787357,0.9249999999999999,2700.0,0.4383333333333333,26,0.300633,0.046470802,0.20132618,0.111442305,540.0,-3.601101
0.84335333,0.078450896,0.9833333333333334,2800.0,0.49333333333333335,27,0.33986998,0.03933085,0.20128173,0.11226056,560.0,-3.1608162
0.8432593,0.07832201,0.9583333333333334,2900.0,0.46833333333333327,28,0.32520714,0.04653916,0.20129775,0.11324427,580.0,-3.3070247
0.84316057,0.07815195,0.9333333333333332,3000.0,0.49,29,0.34185573,0.046512946,0.20128147,0.114034034,600.0,-3.3841336
0.8431718,0.07800278,0.9500000000000001,3100.0,0.48,30,0.31658223,0.04053695,0.20130329,0.114823125,620.0,-3.0495331
0.8430502,0.07779495,0.9833333333333334,3200.0,0.505,31,0.42760786,0.04476413,0.20127706,0.11555793,640.0,-3.1012504
0.84305054,0.07748912,0.9666666666666667,3300.0,0.5583333333333332,32,0.26476836,0.041501965,0.20130174,0.116345316,660.0,-2.7892172
0.8430124,0.07727962,0.9916666666666667,3400.0,0.5466666666666666,33,0.30138874,0.041055936,0.20126456,0.117108814,680.0,-2.7906039
0.8430006,0.07724186,0.975,3500.0,0.5316666666666667,34,0.41262475,0.039668925,0.20130043,0.11764405,700.0,-2.887256
0.8429864,0.07728817,0.9833333333333334,3600.0,0.5483333333333333,35,0.3210241,0.041325774,0.2013237,0.11830605,720.0,-2.7836418
0.8430147,0.07716676,0.975,3700.0,0.5683333333333334,36,0.2954557,0.04258302,0.20138715,0.11879658,740.0,-2.7642353
0.8429818,0.07698565,0.975,3800.0,0.58,37,0.3112348,0.04396343,0.20135337,0.11919574,760.0,-2.9341793
0.842969,0.07689789,0.975,3900.0,0.625,38,0.34216738,0.04319321,0.20136787,0.119846486,780.0,-2.7975693
0.8429385,0.076773934,0.9916666666666667,4000.0,0.5683333333333334,39,0.3054566,0.042844962,0.20133428,0.12029716,800.0,-2.7040749
0.84286386,0.076660156,0.9916666666666667,4100.0,0.6233333333333334,40,0.30913576,0.039651334,0.20132935,0.12073895,820.0,-2.6281996
0.8429026,0.07659197,0.9916666666666667,4200.0,0.6,41,0.3718737,0.045233708,0.20127665,0.121022135,840.0,-2.7165134
0.84288293,0.076516785,0.9833333333333334,4300.0,0.5950000000000001,42,0.24004309,0.042573467,0.20128173,0.12142516,860.0,-2.7250118
0.842901,0.07648678,1.0,4400.0,0.5666666666666667,43,0.2718071,0.044228524,0.20125131,0.12189061,880.0,-2.6735308
0.84288764,0.07646853,0.975,4500.0,0.605,44,0.26660445,0.040794432,0.20128496,0.122265406,900.0,-2.654552
0.84284335,0.07652101,0.9916666666666667,4600.0,0.605,45,0.50223035,0.044899374,0.20126383,0.12250697,920.0,-2.8349762
0.8427847,0.076497674,0.9833333333333334,4700.0,0.6083333333333333,46,0.37561193,0.044961426,0.20122282,0.12276272,940.0,-2.6628406
0.8428381,0.07630735,1.0,4800.0,0.6116666666666667,47,0.27012718,0.041810054,0.20125718,0.12294487,960.0,-2.408878
0.8428529,0.07617456,0.9916666666666667,4900.0,0.6116666666666667,48,0.3391296,0.04299899,0.20122297,0.123092495,980.0,-2.5293171
0.84291124,0.07602925,0.9833333333333334,5000.0,0.625,49,0.29236916,0.03768553,0.20131195,0.12332698,1000.0,-2.212716
0.84290546,0.07588474,1.0,5100.0,0.6466666666666666,50,0.2345509,0.04081655,0.2012881,0.12342104,1020.0,-2.3564475
0.8429119,0.075830184,1.0,5200.0,0.6033333333333333,51,0.28967386,0.04025443,0.20124573,0.12352252,1040.0,-2.2788532
0.84290785,0.07584461,1.0,5300.0,0.5816666666666667,52,0.3232239,0.035941493,0.20125991,0.12383294,1060.0,-2.0658753
0.84286624,0.075951524,0.9916666666666667,5400.0,0.61,53,0.3172498,0.038042545,0.20130329,0.124130346,1080.0,-2.1336648
0.8428569,0.07593504,0.9916666666666667,5500.0,0.6066666666666666,54,0.2656096,0.036377624,0.20129345,0.124418564,1100.0,-1.9800242
0.84286386,0.0758841,0.9916666666666667,5600.0,0.6416666666666667,55,0.22252433,0.04021264,0.20130993,0.12449915,1120.0,-2.242134
0.842858,0.07577922,1.0,5700.0,0.6583333333333333,56,0.3760903,0.041436326,0.20133163,0.12455943,1140.0,-2.3195496
0.8428869,0.07572218,1.0,5800.0,0.5916666666666667,57,0.26258647,0.04141491,0.20135681,0.12470449,1160.0,-2.215172
0.842859,0.07565658,1.0,5900.0,0.59,58,0.28689846,0.040891152,0.20136589,0.12489589,1180.0,-2.1907809
0.84285825,0.075554945,0.9916666666666667,6000.0,0.585,59,0.23998515,0.040458594,0.20142938,0.12501858,1200.0,-2.2027829
