stats_g/mean,epoch,train/success_rate,stats_o/mean,test/episode,train/episode,test/ag_g_dist,test/success_rate,stats_o/std,train/critic_loss,stats_g/std,test/mean_Q
0.84182924,0,0.0016666666666666668,0.2008451,20.0,100.0,0.17473273,0.0,0.041970175,0.013409499,0.0771394,-3.0479908
0.8419332,1,0.0016666666666666668,0.20098715,40.0,200.0,0.18380666,0.0,0.049788963,0.013537181,0.07774084,-5.104503
0.84178543,2,0.0,0.20112197,60.0,300.0,0.16866787,0.0,0.053062674,0.037888024,0.07930316,-7.022068
0.8424638,3,0.0,0.20163496,80.0,400.0,0.178255,0.0,0.05677129,0.0569678,0.08150352,-8.943638
0.84330535,4,0.0,0.2018557,100.0,500.0,0.18386994,0.0,0.057903033,0.069109775,0.0819397,-10.735734
0.8434253,5,0.0,0.20187598,120.0,600.0,0.16615184,0.0,0.059528153,0.090569146,0.08268716,-12.398681
0.84340334,6,0.0016666666666666668,0.20190354,140.0,700.0,0.16940969,0.0,0.060047526,0.07680921,0.08309671,-13.733772
0.84382063,7,0.0033333333333333335,0.20209382,160.0,800.0,0.181652,0.0,0.062187154,0.14620148,0.08405715,-15.162511
0.84412545,8,0.0033333333333333335,0.20235519,180.0,900.0,0.170655,0.0,0.06437024,0.21493922,0.08408716,-16.179237
0.8441724,9,0.0016666666666666668,0.20229638,200.0,1000.0,0.18495375,0.0,0.06693138,0.15004246,0.084770046,-17.094774
0.844016,10,0.008333333333333333,0.20231968,220.0,1100.0,0.16971582,0.008333333333333333,0.069232665,0.2603707,0.08469058,-16.533403
0.8439097,11,0.006666666666666667,0.20229071,240.0,1200.0,0.13661449,0.008333333333333333,0.07160558,0.20907104,0.08516153,-14.206632
0.84384364,12,0.016666666666666666,0.20223361,260.0,1300.0,0.13702808,0.016666666666666666,0.07545226,0.24841098,0.08540281,-14.421177
0.84372395,13,0.03833333333333333,0.20229961,280.0,1400.0,0.12754883,0.10833333333333332,0.07876558,0.36079654,0.08484956,-12.973218
0.8436907,14,0.035,0.20246272,300.0,1500.0,0.1079152,0.05833333333333333,0.08246537,0.30205262,0.08504353,-11.772614
0.84393615,15,0.05833333333333333,0.20247622,320.0,1600.0,0.11079372,0.2333333333333333,0.08514134,0.28444046,0.08472288,-10.808296
0.8440516,16,0.09000000000000001,0.20234917,340.0,1700.0,0.093880914,0.18333333333333335,0.08753421,0.48239157,0.08461673,-10.646389
0.844229,17,0.12666666666666668,0.2024291,360.0,1800.0,0.09339696,0.26666666666666666,0.08931016,0.33571124,0.08418032,-9.839127
0.8443304,18,0.13,0.20249051,380.0,1900.0,0.08360811,0.31666666666666665,0.0905306,0.3806975,0.0836092,-9.583126
0.8443858,19,0.19666666666666668,0.20239592,400.0,2000.0,0.069100596,0.4416666666666667,0.0915496,0.27892098,0.0831134,-8.786044
0.8443251,20,0.18500000000000003,0.20238547,420.0,2100.0,0.06881683,0.6249999999999999,0.092416465,0.42354837,0.08255509,-8.133773
0.8443373,21,0.21333333333333335,0.20231219,440.0,2200.0,0.07391911,0.48333333333333334,0.093417734,0.21796869,0.08218225,-8.267774
0.844187,22,0.19666666666666666,0.20224406,460.0,2300.0,0.0707837,0.525,0.094548024,0.37982368,0.08160852,-8.52945
0.84415,23,0.22666666666666668,0.2021534,480.0,2400.0,0.062801786,0.6083333333333334,0.09604726,0.38994813,0.08119238,-8.210555
0.84421283,24,0.2233333333333333,0.20210612,500.0,2500.0,0.06493511,0.43333333333333335,0.097130395,0.28035223,0.08080816,-8.745346
0.844292,25,0.22166666666666668,0.20211704,520.0,2600.0,0.064052574,0.6083333333333334,0.09862252,0.3348627,0.08054722,-8.027356
0.8444285,26,0.22166666666666668,0.20194022,540.0,2700.0,0.07113556,0.7166666666666667,0.09979566,0.27094966,0.08030892,-7.9323845
0.84466124,27,0.28500000000000003,0.20188688,560.0,2800.0,0.06808891,0.725,0.100719415,0.2832019,0.07999979,-8.0600605
0.84475917,28,0.3216666666666667,0.20190448,580.0,2900.0,0.075238764,0.75,0.10144254,0.30485773,0.07974405,-7.90901
0.84487635,29,0.2816666666666667,0.20190881,600.0,3000.0,0.082561485,0.625,0.10221818,0.32219067,0.07945664,-9.048276
0.8450883,30,0.25833333333333336,0.20195271,620.0,3100.0,0.071285926,0.5916666666666667,0.10303252,0.33544883,0.079237066,-8.193921
0.84522945,31,0.24666666666666667,0.20194183,640.0,3200.0,0.07884484,0.6583333333333333,0.103575565,0.32444277,0.07909932,-9.201669
0.8454149,32,0.2516666666666667,0.20203167,660.0,3300.0,0.07050383,0.7166666666666667,0.10385543,0.2968427,0.07879629,-8.867578
0.8455948,33,0.26166666666666666,0.20214589,680.0,3400.0,0.079060785,0.625,0.10421536,0.24929672,0.078644924,-10.054568
0.8456676,34,0.27,0.20211409,700.0,3500.0,0.06393748,0.7166666666666668,0.10449162,0.2785044,0.07847129,-8.9419565
0.845829,35,0.305,0.20213604,720.0,3600.0,0.076046854,0.6416666666666667,0.104691006,0.27635112,0.078295864,-9.426797
0.84592724,36,0.295,0.20221166,740.0,3700.0,0.06314374,0.7166666666666667,0.10477256,0.36239657,0.07815368,-8.762318
0.84590167,37,0.2633333333333333,0.20226447,760.0,3800.0,0.07699711,0.6833333333333332,0.105034925,0.2858654,0.07793305,-9.203765
0.84591514,38,0.3033333333333333,0.20231362,780.0,3900.0,0.06352651,0.75,0.1053187,0.30363354,0.077743515,-9.411357
0.84587735,39,0.36166666666666664,0.20238954,800.0,4000.0,0.058685143,0.7833333333333333,0.1057599,0.28876415,0.077591196,-8.757844
0.84577036,40,0.38166666666666665,0.20236687,820.0,4100.0,0.055217713,0.85,0.106410705,0.28133023,0.07767709,-7.651895
0.8457938,41,0.3516666666666666,0.20239592,840.0,4200.0,0.07242002,0.6333333333333333,0.106770486,0.28108707,0.07750913,-8.877833
0.84576154,42,0.28833333333333333,0.20241927,860.0,4300.0,0.055799093,0.8833333333333333,0.10704558,0.23405975,0.07728877,-8.064353
