test/mean_Q,train/success_rate,train/episode,stats_g/std,train/critic_loss,stats_g/mean,stats_o/std,epoch,stats_o/mean,test/success_rate,test/episode,test/ag_g_dist
-1.3127805,0.0,20.0,0.09696012,0.04602744,0.87325,0.03062815,0,0.26172125,0.0,20.0,0.15493831
-1.6062618,0.0,40.0,0.08978114,0.024574196,0.8798435,0.028585115,1,0.26319718,0.10000000000000002,40.0,0.15165801
-1.7713838,0.05000000000000001,60.0,0.08738624,0.0152083365,0.88545865,0.027889887,2,0.26455775,0.26666666666666666,60.0,0.13094826
-2.0848691,0.041666666666666664,80.0,0.08429087,0.014850178,0.88977766,0.027037105,3,0.26552242,0.31666666666666665,80.0,0.11504201
-1.9818487,0.14166666666666666,100.0,0.082641356,0.018830571,0.8919646,0.026611501,4,0.26607808,0.525,100.0,0.09521294
-2.2209702,0.15833333333333333,120.0,0.081222214,0.015967019,0.892615,0.026232466,5,0.26632777,0.4083333333333334,120.0,0.113236755
-2.1286557,0.16666666666666666,140.0,0.080495365,0.018047167,0.8923528,0.026163677,6,0.26636085,0.5166666666666666,140.0,0.09622127
-1.3528061,0.25833333333333336,160.0,0.07974347,0.013288899,0.8921676,0.026191762,7,0.26632708,0.7833333333333333,160.0,0.052489135
-1.1736989,0.20833333333333334,180.0,0.079651594,0.019533256,0.891465,0.026404535,8,0.26619726,0.8250000000000001,180.0,0.04506241
-0.9030618,0.25,200.0,0.07988349,0.01974913,0.8906931,0.026756411,9,0.26597887,0.8416666666666667,200.0,0.03265367
-0.5662224,0.2583333333333333,220.0,0.08031299,0.017053314,0.88972384,0.027166998,10,0.26571688,0.9249999999999999,220.0,0.01799286
-0.46522474,0.2333333333333333,240.0,0.080811076,0.01787299,0.88853955,0.027567452,11,0.26537606,0.9249999999999999,240.0,0.013280348
-0.49925983,0.3666666666666667,260.0,0.08114907,0.019445756,0.8878638,0.02791343,12,0.26518065,0.9083333333333333,260.0,0.011788002
