stats_g/mean,test/episode,epoch,train/episode,stats_o/std,test/ag_g_dist,stats_o/mean,stats_g/std,test/mean_Q,train/critic_loss,test/success_rate,train/success_rate
0.7461343,20.0,0,100.0,0.05430646,0.4784541,0.17680693,0.122172475,-3.0117424,0.06497792,0.0,0.0
0.7472555,40.0,1,200.0,0.054182902,0.44879922,0.1763978,0.11760217,-5.022198,0.05385554,0.0,0.0
0.74851125,60.0,2,300.0,0.05445324,0.4263811,0.17691667,0.11712722,-7.11628,0.08925426,0.0,0.0
0.7490557,80.0,3,400.0,0.053874616,0.46268192,0.17708747,0.1165449,-9.174664,0.1038148,0.0,0.0
0.7493501,100.0,4,500.0,0.053852808,0.446242,0.17735748,0.11609181,-10.961472,0.08673835,0.0,0.0016666666666666668
0.748847,120.0,5,600.0,0.05419336,0.46932232,0.17728221,0.11640495,-12.983685,0.11788381,0.0,0.0
0.74952203,140.0,6,700.0,0.0539927,0.4530631,0.17738132,0.11610482,-14.631711,0.11330976,0.0,0.0
0.7494349,160.0,7,800.0,0.05376528,0.40629068,0.17732088,0.11590513,-16.350845,0.12013944,0.0,0.0
0.7495036,180.0,8,900.0,0.05394881,0.45361742,0.17726035,0.11672896,-18.132385,0.27168322,0.0,0.0
0.7493153,200.0,9,1000.0,0.054388355,0.44661418,0.17740162,0.11724109,-19.484877,0.15055202,0.0,0.0
0.748945,220.0,10,1100.0,0.054655734,0.46034518,0.17727621,0.11856095,-21.130796,0.23068382,0.0,0.0
0.7490253,240.0,11,1200.0,0.055102963,0.47162354,0.17724691,0.11942101,-22.403868,0.29865915,0.0,0.0
0.749209,260.0,12,1300.0,0.055495977,0.4514936,0.17732804,0.120338954,-23.58161,0.45733646,0.0,0.0
0.7491234,280.0,13,1400.0,0.05608657,0.4529775,0.17733835,0.12156504,-24.755396,0.26703748,0.0,0.0
0.74952716,300.0,14,1500.0,0.056487713,0.43796125,0.17748873,0.12241749,-25.785975,0.20124203,0.0,0.0
0.7497501,320.0,15,1600.0,0.05749106,0.43249214,0.17763682,0.12422585,-26.456362,0.29926673,0.0,0.0016666666666666668
0.74980265,340.0,16,1700.0,0.057970334,0.42947242,0.17766716,0.12565534,-27.605154,0.34292546,0.0,0.0
0.7501219,360.0,17,1800.0,0.05875613,0.44841778,0.17770462,0.12706095,-28.45608,0.31185848,0.0,0.0
0.75040007,380.0,18,1900.0,0.059458017,0.45019647,0.17779867,0.1285252,-29.128052,0.29393604,0.0,0.0
0.7503386,400.0,19,2000.0,0.061056864,0.4510422,0.1777962,0.13125473,-30.243902,0.5018227,0.008333333333333333,0.0
0.7501275,420.0,20,2100.0,0.061953377,0.44425812,0.17780678,0.1326919,-30.07258,0.7250948,0.0,0.0
0.75008625,440.0,21,2200.0,0.06286253,0.44786486,0.17785822,0.13436933,-30.909586,0.5333307,0.0,0.0
0.7500641,460.0,22,2300.0,0.06402245,0.44644323,0.17788716,0.13630676,-31.64982,0.38387918,0.0,0.0
0.750077,480.0,23,2400.0,0.065101735,0.46191368,0.1779213,0.13849044,-32.985546,0.359679,0.0,0.0
0.7500889,500.0,24,2500.0,0.06667392,0.43179357,0.17789836,0.14157458,-32.79635,0.6069495,0.0,0.0
