stats_o/mean,train/episode,stats_g/mean,train/critic_loss,test/episode,stats_o/std,epoch,test/ag_g_dist,train/success_rate,test/mean_Q,stats_g/std,test/success_rate
0.1767608,100.0,0.74769926,0.15417899,20.0,0.053109854,0,0.4784542,0.0,-3.030297,0.115181185,0.0
0.1765297,200.0,0.74820465,0.1595877,40.0,0.053545643,1,0.4482554,0.0,-5.079984,0.11429191,0.0
0.17695232,300.0,0.74863404,0.15636599,60.0,0.053996563,2,0.4260855,0.0,-7.317375,0.11582323,0.0
0.17706238,400.0,0.74905014,0.17028137,80.0,0.053689986,3,0.46219242,0.0,-9.127812,0.11550954,0.0
0.17736961,500.0,0.7498655,0.17409019,100.0,0.054928165,4,0.45388952,0.0,-11.072362,0.11838609,0.0
0.17727236,600.0,0.749271,0.18831204,120.0,0.05623923,5,0.47724688,0.0016666666666666668,-13.023864,0.12181842,0.0
0.17744173,700.0,0.75034785,0.18221289,140.0,0.056833386,6,0.46727553,0.0,-14.73565,0.12447999,0.0
0.17738368,800.0,0.7503638,0.20322506,160.0,0.057285774,7,0.41722584,0.0016666666666666668,-16.118809,0.12595443,0.0
0.1773958,900.0,0.7505863,0.23491816,180.0,0.057547107,8,0.45973444,0.0,-17.768461,0.12698244,0.0
0.17749083,1000.0,0.75044966,0.23533218,200.0,0.058129195,9,0.4575384,0.0,-19.284208,0.128439,0.0
0.17749308,1100.0,0.7503619,0.2448953,220.0,0.058738273,10,0.46371627,0.0,-20.516619,0.12957591,0.0
0.17757593,1200.0,0.75065374,0.2454045,240.0,0.0595084,11,0.47775713,0.0,-22.23969,0.13124917,0.0
0.17766178,1300.0,0.75062895,0.30638185,260.0,0.060313072,12,0.45210445,0.0,-22.739763,0.13307993,0.008333333333333333
0.17774205,1400.0,0.7505377,0.27838823,280.0,0.061532106,13,0.455583,0.0,-24.17216,0.13448541,0.0
0.17780264,1500.0,0.7506873,0.30928576,300.0,0.06222132,14,0.44021884,0.0,-25.323074,0.13519573,0.0
0.17796917,1600.0,0.75111264,0.33341923,320.0,0.06309165,15,0.4426341,0.0,-25.687632,0.13657214,0.0
0.17794158,1700.0,0.7510635,0.642921,340.0,0.063926406,16,0.4373382,0.0,-26.845732,0.13835555,0.0
