test/episode,test/success_rate,test/ag_g_dist,train/success_rate,train/episode,stats_o/std,train/critic_loss,epoch,stats_o/mean,test/mean_Q,stats_g/std,stats_g/mean
20.0,0.0,0.47837937,0.0,100.0,0.050145093,0.031678725,0,0.1769254,-2.509555,0.11558443,0.7469297
40.0,0.0,0.44880137,0.0,200.0,0.05183916,0.020073084,1,0.17663558,-4.488788,0.11356065,0.7477048
60.0,0.0,0.42594025,0.0,300.0,0.05217362,0.046138663,2,0.17707384,-6.8220572,0.11427913,0.74843216
80.0,0.0,0.46128392,0.0,400.0,0.05272199,0.024193749,3,0.17725486,-8.690381,0.11480612,0.749028
100.0,0.0,0.4446166,0.0016666666666666668,500.0,0.052299757,0.05951037,4,0.17749697,-10.568004,0.1138832,0.74945384
120.0,0.0,0.4681317,0.0,600.0,0.052662026,0.051419348,5,0.17735273,-12.654202,0.11523077,0.7486488
140.0,0.0,0.45137724,0.0,700.0,0.052804355,0.03226013,6,0.17740792,-14.262094,0.11550114,0.7490582
160.0,0.0,0.4070852,0.0,800.0,0.05361486,0.04407717,7,0.17739038,-15.959205,0.11708913,0.7487603
180.0,0.0,0.45444402,0.0,900.0,0.05360647,0.13497333,8,0.17733438,-17.56161,0.117593735,0.7487364
200.0,0.0,0.45077524,0.0,1000.0,0.053548027,0.087350756,9,0.17742698,-19.239035,0.11749008,0.74871653
220.0,0.0,0.457751,0.0,1100.0,0.05362181,0.06452491,10,0.17736357,-20.660267,0.118325084,0.74858856
240.0,0.0,0.47446656,0.0,1200.0,0.053905535,0.12833644,11,0.17727457,-22.164062,0.11931893,0.7484753
260.0,0.0,0.4534274,0.0,1300.0,0.054463487,0.07244042,12,0.17736155,-23.393595,0.12020307,0.74863267
280.0,0.0,0.45265725,0.0,1400.0,0.05475238,0.09483055,13,0.17738838,-24.671011,0.12127475,0.7485164
300.0,0.0,0.43544087,0.0,1500.0,0.05512141,0.10979486,14,0.17745276,-25.805475,0.12187403,0.74876356
320.0,0.0,0.42597607,0.0,1600.0,0.05561052,0.08464023,15,0.17758782,-26.1434,0.12301743,0.7490217
340.0,0.0,0.42638016,0.0,1700.0,0.055904284,0.1321943,16,0.177552,-27.516273,0.1240002,0.74913335
360.0,0.0,0.4460267,0.0,1800.0,0.05630887,0.13373257,17,0.17760636,-28.953583,0.12505488,0.7495129
380.0,0.0,0.444553,0.0,1900.0,0.056739315,0.096354164,18,0.17773171,-29.323347,0.12613195,0.74976087
400.0,0.0,0.44809285,0.0,2000.0,0.05737563,0.12913558,19,0.17778409,-30.352287,0.12747112,0.74989754
420.0,0.0,0.4363804,0.0,2100.0,0.05798459,0.11313718,20,0.1778183,-30.37887,0.128389,0.75008446
440.0,0.0,0.43136406,0.0,2200.0,0.05877629,0.12797774,21,0.17792825,-31.007986,0.12970366,0.7503502
460.0,0.0,0.4388602,0.0016666666666666668,2300.0,0.05985226,0.108700626,22,0.17791694,-32.702785,0.13195108,0.7502548
480.0,0.0,0.44647217,0.0,2400.0,0.060361687,0.2654928,23,0.1780426,-32.630524,0.13294049,0.75061303
500.0,0.0,0.42213348,0.0,2500.0,0.06111741,0.26189616,24,0.17804132,-32.80192,0.1340075,0.7507053
520.0,0.0,0.47349527,0.0,2600.0,0.061744735,0.12774357,25,0.17803581,-33.97822,0.13505466,0.75058895
540.0,0.0,0.45345473,0.0033333333333333335,2700.0,0.06238598,0.22892185,26,0.17798491,-33.9816,0.13618495,0.7504279
560.0,0.0,0.45006326,0.0016666666666666668,2800.0,0.06348944,0.1556349,27,0.17801087,-33.599392,0.13798884,0.75057393
580.0,0.0,0.4307233,0.0,2900.0,0.064390555,0.2217858,28,0.17802544,-34.86056,0.1395047,0.7503078
600.0,0.0,0.44245157,0.0,3000.0,0.0654271,0.11406525,29,0.17805004,-34.169037,0.1406781,0.7502966
620.0,0.0,0.4388739,0.0,3100.0,0.06618637,0.15582506,30,0.178052,-33.465305,0.1413948,0.7502486
640.0,0.0,0.42486802,0.0,3200.0,0.066765785,0.21747024,31,0.17805453,-33.16361,0.14193685,0.75027823
660.0,0.0,0.42114535,0.0,3300.0,0.06776276,0.21220736,32,0.1780409,-33.72462,0.14330123,0.75005555
680.0,0.0,0.4452034,0.0016666666666666668,3400.0,0.06822992,0.20895831,33,0.17806728,-34.099796,0.14377086,0.75002384
700.0,0.0,0.42573443,0.0,3500.0,0.06882503,0.13289538,34,0.17805363,-33.26543,0.14415926,0.750001
720.0,0.008333333333333333,0.4431585,0.0,3600.0,0.06920732,0.12311437,35,0.17807789,-34.83611,0.1445672,0.7500593
740.0,0.0,0.44165468,0.0,3700.0,0.06963556,0.17590992,36,0.17807,-35.09079,0.14523038,0.75021356
760.0,0.008333333333333333,0.42155945,0.0,3800.0,0.06991717,0.26690328,37,0.17809759,-35.07123,0.14578693,0.7503743
780.0,0.0,0.41520628,0.0016666666666666668,3900.0,0.07022605,0.13996513,38,0.17814882,-34.106907,0.14632149,0.75051045
800.0,0.0,0.47408772,0.0,4000.0,0.070582926,0.21689086,39,0.17822261,-35.97765,0.14700319,0.75067
820.0,0.0,0.42703792,0.0,4100.0,0.07074896,0.1954772,40,0.17830636,-34.54813,0.14731412,0.750896
840.0,0.0,0.42082822,0.0033333333333333335,4200.0,0.071365006,0.22939827,41,0.17845045,-35.34541,0.14857273,0.7512875
860.0,0.0,0.3991449,0.0016666666666666668,4300.0,0.071924545,0.21720219,42,0.17854951,-34.735405,0.1497655,0.75154454
880.0,0.0,0.40793285,0.0016666666666666668,4400.0,0.07213053,0.216493,43,0.17864287,-35.040524,0.15035413,0.75187206
900.0,0.0,0.43640065,0.0,4500.0,0.07237301,0.17060037,44,0.17870454,-35.374554,0.15080567,0.7521445
920.0,0.0,0.42070258,0.0,4600.0,0.07279138,0.23031859,45,0.17878722,-35.47539,0.15173966,0.75245506
940.0,0.0,0.42365584,0.0,4700.0,0.0732566,0.21365349,46,0.17882365,-35.141415,0.15277524,0.7526719
960.0,0.0,0.4190669,0.0,4800.0,0.07345255,0.28805768,47,0.17889763,-35.751057,0.15319304,0.75305074
980.0,0.0,0.4266838,0.0033333333333333335,4900.0,0.073680274,0.20737417,48,0.17892028,-35.32149,0.15365462,0.7531643
1000.0,0.0,0.44722924,0.0033333333333333335,5000.0,0.07392082,0.19684462,49,0.17894554,-36.57593,0.15405895,0.75336224
1020.0,0.0,0.42849362,0.0016666666666666668,5100.0,0.07400578,0.24810326,50,0.17902172,-35.752758,0.15433276,0.7537232
1040.0,0.0,0.40484944,0.0016666666666666668,5200.0,0.07432787,0.20800455,51,0.17907308,-36.32973,0.15484852,0.7541124
1060.0,0.0,0.42028603,0.0033333333333333335,5300.0,0.07480658,0.43390086,52,0.17912938,-35.376102,0.15553351,0.75439316
1080.0,0.008333333333333333,0.40344036,0.0033333333333333335,5400.0,0.07514586,0.2062993,53,0.17918539,-34.54022,0.15602715,0.75490785
1100.0,0.0,0.42186308,0.0033333333333333335,5500.0,0.0754959,0.28895417,54,0.17923659,-34.573483,0.15651958,0.7552805
1120.0,0.0,0.40692213,0.0,5600.0,0.07603676,0.19339032,55,0.17924243,-34.118893,0.1571385,0.7554727
1140.0,0.0,0.4188509,0.0033333333333333335,5700.0,0.076272435,0.4418393,56,0.17926343,-34.88436,0.15749949,0.7556786
