epoch,test/mean_Q,train/success_rate,train/episode,test/episode,stats_o/std,train/critic_loss,stats_g/mean,stats_o/mean,test/ag_g_dist,test/success_rate,stats_g/std
0,-3.1292944,0.0,100.0,20.0,0.059000667,0.008646902,0.7449527,0.1764807,0.47845396,0.0,0.12677373
1,-5.2555275,0.0,200.0,40.0,0.05528109,0.015931536,0.7474179,0.17639239,0.45108,0.0,0.12040478
2,-7.2128663,0.0,300.0,60.0,0.056805443,0.03440666,0.7476018,0.17676704,0.429912,0.0,0.124867
3,-9.280877,0.0,400.0,80.0,0.05687901,0.031903487,0.7484107,0.17715992,0.47078165,0.0,0.12549476
4,-10.938401,0.0,500.0,100.0,0.05662715,0.06261015,0.74941474,0.17760713,0.4518377,0.0,0.1253025
5,-12.954839,0.0,600.0,120.0,0.057889346,0.0330441,0.74835205,0.17750393,0.4788206,0.0,0.1283489
6,-14.777783,0.0,700.0,140.0,0.05956812,0.07245743,0.7491808,0.17779712,0.4731749,0.0,0.13173659
7,-16.261095,0.0,800.0,160.0,0.059911985,0.087361366,0.74907464,0.17768495,0.42693266,0.0,0.13317409
8,-17.959152,0.0,900.0,180.0,0.060744386,0.06079161,0.7491341,0.17757909,0.46713486,0.0,0.13571642
9,-19.222586,0.0016666666666666668,1000.0,200.0,0.061935347,0.11679518,0.74933714,0.17779039,0.45780087,0.0,0.13852063
10,-20.72214,0.0,1100.0,220.0,0.06271216,0.08587211,0.7495508,0.17779215,0.46796784,0.0,0.13978243
11,-21.621885,0.0,1200.0,240.0,0.06348128,0.09822293,0.7496515,0.1777982,0.47746396,0.0,0.14093812
12,-22.425531,0.0,1300.0,260.0,0.063825466,0.24369411,0.7499644,0.17791633,0.4640528,0.0,0.14147891
13,-23.762262,0.0,1400.0,280.0,0.064134866,0.24079876,0.75009227,0.17789346,0.45427823,0.0,0.14139393
14,-24.70333,0.0,1500.0,300.0,0.06426949,0.13046104,0.75030786,0.17790651,0.440181,0.0,0.14078875
15,-24.493484,0.0016666666666666668,1600.0,320.0,0.065234214,0.14352319,0.75038606,0.17795426,0.4443674,0.0,0.14163065
16,-25.485483,0.0,1700.0,340.0,0.06637579,0.21915221,0.75032014,0.1779282,0.433995,0.0,0.14279349
17,-25.227081,0.0,1800.0,360.0,0.06739832,1.3298824,0.7506562,0.17795116,0.44280824,0.0,0.14337277
18,-26.428381,0.0,1900.0,380.0,0.06881651,0.19251229,0.75083,0.17806225,0.45004213,0.0,0.14430091
19,-27.088661,0.0,2000.0,400.0,0.069906026,0.60616285,0.75088906,0.17805104,0.46239623,0.0,0.14559944
20,-25.747248,0.0016666666666666668,2100.0,420.0,0.0714695,0.14951687,0.75158143,0.17821915,0.43137714,0.0,0.14787306
21,-25.245344,0.0,2200.0,440.0,0.07264569,0.18980443,0.75171375,0.1782397,0.44822493,0.0,0.14950866
22,-25.11756,0.0,2300.0,460.0,0.073569305,0.13938984,0.75160676,0.1781699,0.4553596,0.008333333333333333,0.15066032
23,-25.348282,0.0,2400.0,480.0,0.07444597,0.21965785,0.7512956,0.17810303,0.47300294,0.0,0.15119308
24,-26.079994,0.0,2500.0,500.0,0.0754217,0.32335857,0.7512426,0.17808126,0.43468204,0.0,0.1518792
25,-26.189064,0.0016666666666666668,2600.0,520.0,0.07645627,0.32384777,0.75132775,0.17806886,0.45926854,0.0,0.1526117
26,-27.446932,0.0,2700.0,540.0,0.07731363,0.25720552,0.75141096,0.17801471,0.45815524,0.016666666666666666,0.15356156
27,-26.18307,0.0,2800.0,560.0,0.07792696,0.1279615,0.7515836,0.1780252,0.44957283,0.0,0.15414463
28,-27.443672,0.0016666666666666668,2900.0,580.0,0.07850377,0.30241778,0.7519029,0.17803001,0.43157116,0.0,0.15410246
