epoch,stats_g/mean,test/episode,train/episode,stats_g/std,train/critic_loss,stats_o/std,stats_o/mean,test/success_rate,test/ag_g_dist,train/success_rate,test/mean_Q
0,0.38801304,20.0,100.0,0.22369571,0.14150667,0.7499946,0.20024867,0.008333333333333333,1.0138215,0.0,-2.8904068
1,0.39130783,40.0,200.0,0.2240086,0.1555587,0.7458592,0.19984323,0.008333333333333333,0.9614997,0.0016666666666666668,-5.0022826
2,0.39192414,60.0,300.0,0.22442566,0.14673612,0.7446986,0.20029788,0.0,1.0149711,0.0016666666666666668,-7.1450334
3,0.39177498,80.0,400.0,0.22495289,0.15112801,0.74436593,0.20112483,0.0,1.0028847,0.0,-8.988104
4,0.38851568,100.0,500.0,0.22580354,0.16533479,0.7456296,0.20093459,0.0,0.9577749,0.005,-10.782664
5,0.38787296,120.0,600.0,0.22585042,0.16573718,0.7483346,0.20070003,0.025000000000000005,0.96692824,0.006666666666666667,-12.498675
6,0.3874434,140.0,700.0,0.2258877,0.17833054,0.7520712,0.2004586,0.008333333333333333,0.93885326,0.016666666666666666,-13.742878
7,0.386609,160.0,800.0,0.22726415,0.18657315,0.75720495,0.20050369,0.05833333333333333,0.8783581,0.008333333333333333,-14.469341
8,0.3857739,180.0,900.0,0.227921,0.17057133,0.76254994,0.19993822,0.016666666666666666,0.9804055,0.016666666666666666,-16.449205
9,0.3847228,200.0,1000.0,0.22925074,0.19620371,0.768208,0.19962876,0.025000000000000005,0.960378,0.015,-17.67366
10,0.38441995,220.0,1100.0,0.2301266,0.20848747,0.77270347,0.19965021,0.016666666666666666,1.0033829,0.015,-19.750668
11,0.3845757,240.0,1200.0,0.23040406,0.21127439,0.7782592,0.19963382,0.075,0.940475,0.023333333333333334,-19.626354
12,0.38445643,260.0,1300.0,0.23057818,0.20771992,0.7837525,0.19963716,0.09166666666666667,0.9504077,0.028333333333333332,-20.674276
13,0.38422868,280.0,1400.0,0.23089443,0.22110653,0.7899492,0.19977002,0.06666666666666667,0.8564382,0.04666666666666667,-20.018406
14,0.38383207,300.0,1500.0,0.23169453,0.23266096,0.7958376,0.19992596,0.075,0.9009926,0.03166666666666667,-22.39621
15,0.38384232,320.0,1600.0,0.23203601,0.21464626,0.8013392,0.20010917,0.05000000000000001,0.90283203,0.03,-23.845894
16,0.38364366,340.0,1700.0,0.23228537,0.2245453,0.8073003,0.20021218,0.08333333333333333,0.87834334,0.03166666666666667,-22.967712
17,0.38360676,360.0,1800.0,0.23261607,0.23441727,0.81270176,0.20002061,0.025000000000000005,1.0003003,0.04666666666666667,-26.864334
18,0.38357544,380.0,1900.0,0.2327408,0.23548734,0.8181643,0.19994767,0.06666666666666667,0.82765436,0.06166666666666667,-23.678772
19,0.38375995,400.0,2000.0,0.23278932,0.24723037,0.82366157,0.19993748,0.05833333333333334,0.77712464,0.049999999999999996,-22.445597
20,0.38357043,420.0,2100.0,0.23283587,0.24960566,0.8294676,0.19962211,0.125,0.8069369,0.05000000000000001,-23.971231
21,0.3836302,440.0,2200.0,0.23285277,0.26216772,0.83526486,0.19949304,0.10833333333333334,0.75732404,0.043333333333333335,-23.03087
22,0.38349375,460.0,2300.0,0.23299138,0.2708536,0.8406177,0.19923753,0.10000000000000002,0.7987887,0.05166666666666667,-25.448828
23,0.3835087,480.0,2400.0,0.2329768,0.26331532,0.846018,0.19892506,0.10000000000000002,0.778825,0.051666666666666666,-23.965317
24,0.3835161,500.0,2500.0,0.23282532,0.28601566,0.8512094,0.19867642,0.15,0.70242196,0.07333333333333333,-22.228727
25,0.38381195,520.0,2600.0,0.23277657,0.30236873,0.8561625,0.19871493,0.15833333333333333,0.65296936,0.06833333333333334,-21.370798
26,0.3839225,540.0,2700.0,0.23251472,0.31674019,0.86043125,0.19876395,0.125,0.7779713,0.06666666666666667,-25.155294
27,0.38417062,560.0,2800.0,0.23243271,0.2913238,0.8648034,0.19861154,0.15,0.67234397,0.06166666666666667,-21.98408
28,0.3840641,580.0,2900.0,0.23226757,0.31350812,0.8692201,0.19828074,0.19166666666666665,0.795121,0.07500000000000001,-25.131254
